moneda,pais,destino,actividad,precio_desde_original,precio_real,opiniones,viajeros,url_fuente,fuente,fecha_scan
COL,Colombia,Cali,Tour por la Comuna 20,,"65.756,79 CL$",12 opiniones,113 viajeros,https://www.civitatis.com/es/cali/tour-comuna-20/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Tour panorámico por Cali,,"70.805,53 CL$",32 opiniones,319 viajeros,https://www.civitatis.com/es/cali/tour-panoramico-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Pub Crawl ¡Tour de fiesta por Cali!,,"44.330,42 CL$",Sin valorar,14 viajeros,https://www.civitatis.com/es/cali/pub-crawl-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Tour de comida callejera por Cali,,"49.256,02 CL$",1 opinión,15 viajeros,https://www.civitatis.com/es/cali/tour-comida-callejera-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Tour de la cerveza artesanal por Cali,,"39.404,81 CL$",Sin valorar,9 viajeros,https://www.civitatis.com/es/cali/tour-cerveza-artesanal-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Cena y espectáculo de salsa en Cali,,"100.974,84 CL$",Sin valorar,70 viajeros,https://www.civitatis.com/es/cali/cena-espectaculo-salsa/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Traslados en Cali,,"27.107,80 CL$",73 opiniones,1.645 viajeros,https://www.civitatis.com/es/cali/traslados/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Free tour de la salsa y arte urbano por Cali,,¡Gratis!,30 opiniones,1.514 viajeros,https://www.civitatis.com/es/cali/free-tour-salsa-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Free tour gastronómico por la Galería Alameda,,¡Gratis!,18 opiniones,812 viajeros,https://www.civitatis.com/es/cali/free-tour-gastronomico-galeria-alameda/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Free tour a pie por Cali,,¡Gratis!,317 opiniones,13.984 viajeros,https://www.civitatis.com/es/cali/free-tour-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Tour del café por Cali,,"135.454,06 CL$",3 opiniones,48 viajeros,https://www.civitatis.com/es/cali/tour-cafe-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Tour por Cali y el Cristo Rey,,"64.032,83 CL$",4 opiniones,113 viajeros,https://www.civitatis.com/es/cali/tour-cali-cristo-rey/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Tarjeta eSIM Civitatis Colombia,,"4.078,07 CL$",26 opiniones,1.053 viajeros,https://www.civitatis.com/es/tarjeta-esim-colombia/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Ruta de la salsa en Cali,,"55.413,02 CL$",39 opiniones,393 viajeros,https://www.civitatis.com/es/cali/ruta-salsa-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Clase de salsa caleña,,"34.479,21 CL$",2 opiniones,35 viajeros,https://www.civitatis.com/es/cali/clase-salsa-calena/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Excursión a la Reserva Natural San Cipriano,,"135.454,06 CL$",6 opiniones,116 viajeros,https://www.civitatis.com/es/cali/excursion-reserva-natural-san-cipriano/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Tour privado por Cali,,"96.049,24 CL$",13 opiniones,437 viajeros,https://www.civitatis.com/es/cali/tour-privado-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Seguro de viaje Civitatis,,"19.929,17 CL$",2.894 opiniones,95.680 viajeros,https://www.civitatis.com/es/seguro-viaje/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Excursión a Buga,,"103.437,65 CL$",5 opiniones,119 viajeros,https://www.civitatis.com/es/cali/excursion-buga/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Excursión al Parque del Café,,"98.512,04 CL$",Sin valorar,185 viajeros,https://www.civitatis.com/es/cali/excursion-parque-cafe/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Excursión a la Reserva Natural El Danubio,,"160.082,07 CL$",1 opinión,57 viajeros,https://www.civitatis.com/es/cali/excursion-reserva-natural-danubio/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Tour por las haciendas de caña de azúcar del Valle del Cauca,,"120.677,25 CL$",2 opiniones,43 viajeros,https://www.civitatis.com/es/cali/tour-haciendas-cana-azucar-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Excursión a los Farallones de Cali y El Topacio,,"95.154,99 CL$",1 opinión,104 viajeros,https://www.civitatis.com/es/cali/excursion-farallones-cali/,Civitatis,2026-01-30 10:56
COL,Colombia,Cali,Excursión a Popayán,,"177.321,68 CL$",1 opinión,112 viajeros,https://www.civitatis.com/es/cali/excursion-popayan/,Civitatis,2026-01-30 10:56
