zona_url,ciudad,actividad,precio,opiniones,fuente,fecha_scan
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé,"26,32 €",1.804 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé,"26,32 €",1.804 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé + Paseo en barco,"32,77 €",3.634 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé + Paseo en barco,"32,77 €",3.634 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour de Pablo Escobar,"32,17 €",940 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour de Pablo Escobar,"32,17 €",940 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 13,¡Gratis!,10.296 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 13,¡Gratis!,10.296 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 + Metrocable de Medellín,"27,58 €",128 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 + Metrocable de Medellín,"27,58 €",128 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour por Medellín,¡Gratis!,4.577 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour por Medellín,¡Gratis!,4.577 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour privado por Medellín ¡Tú eliges!,"90,09 €",51 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour privado por Medellín ¡Tú eliges!,"90,09 €",51 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé en chiva + Visita a la hacienda La Manuela,"45,73 €",77 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé en chiva + Visita a la hacienda La Manuela,"45,73 €",77 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Visita a una finca de café en el barrio La Sierra,"43,09 €",19 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Visita a una finca de café en el barrio La Sierra,"43,09 €",19 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Antioquia,"57,22 €",100 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Antioquia,"57,22 €",100 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Medellín,"64,35 €",313 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Medellín,"64,35 €",313 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour de Medellín al completo,"108,94 €",213 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour de Medellín al completo,"108,94 €",213 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 en minibús temático,"20,11 €",217 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 en minibús temático,"20,11 €",217 opiniones,Civitatis,2025-12-30
