moneda,zona_url,ciudad,actividad,precio,opiniones,fuente,fecha_scan
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé,"29.916,79 CL$",1.804 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé + Paseo en barco,"37.245,26 CL$",3.634 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour de Pablo Escobar,"36.566,18 CL$",940 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 13,¡Gratis!,10.296 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 + Metrocable de Medellín,"31.342,44 CL$",128 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por Medellín,¡Gratis!,4.576 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour privado por Medellín ¡Tú eliges!,"102.385,30 CL$",51 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé en chiva + Visita a la hacienda La Manuela,"51.976,21 CL$",77 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Visita a una finca de café en el barrio La Sierra,"48.972,56 CL$",19 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Antioquia,"65.035,56 CL$",100 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Medellín,"73.132,36 CL$",313 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour de Medellín al completo,"123.802,64 CL$",213 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 en minibús temático,"22.853,86 CL$",217 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour en chiva por Medellín,"20.633,77 CL$",180 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour gastronómico por Guatapé + Paseo en barco,"40.810,47 CL$",67 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,"Free tour por El Poblado, Provenza y Manila",¡Gratis!,457 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a la Hacienda Nápoles,"62.162,50 CL$",185 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Tour nocturno en chiva rumbera + Degustación de comida callejera,"25.857,51 CL$",313 opiniones,Civitatis,2025-12-30 19:16
CLP,https://www.civitatis.com/es/antioquia/,Medellín,Pub Crawl ¡Tour de fiesta por Medellín!,"28.208,19 CL$",41 opiniones,Civitatis,2025-12-30 19:16
