moneda,pais,destino,actividad,precio,opiniones,viajeros,url_fuente,fuente,fecha_scan
CLP,Chile,Santiago de Chile,Excursión a Valparaíso y Viña del Mar,36.440 CL$,1.847 opiniones,26.840 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Excursión al Cajón del Maipo en grupo reducido,38.000 CL$,259 opiniones,3.745 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Visita guiada por Santiago,15.000 CL$,175 opiniones,1.696 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Free tour por Santiago,¡Gratis!,2.374 opiniones,48.965 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Excursión al Parque Nacional Siete Tazas,93.500 CL$,4 opiniones,122 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Traslados en Santiago de Chile,"39.940,50 CL$",1.179 opiniones,25.200 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Excursión a la Viña Concha y Toro,86.000 CL$,478 opiniones,5.227 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Excursión a la Viña Undurraga,54.340 CL$,68 opiniones,702 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Tour panorámico por Santiago,41.340 CL$,336 opiniones,3.629 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Tour por Santiago + Teleférico del cerro San Cristóbal,100.000 CL$,61 opiniones,584 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Tour por Patronato y Bellavista,"34.234,71 CL$",36 opiniones,431 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Excursión al Cajón del Maipo,60.000 CL$,702 opiniones,11.001 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Tarjeta eSIM Civitatis Chile,"4.754,82 CL$",37 opiniones,800 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Tour por Lastarria y el cerro Santa Lucía,"10.460,60 CL$",38 opiniones,1.325 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Free tour por el exterior de los museos y palacios de Santiago,¡Gratis!,375 opiniones,10.608 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Tour por el Museo de la Memoria y los Derechos Humanos,"19.970,25 CL$",12 opiniones,107 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Free tour por el barrio Yungay,¡Gratis!,390 opiniones,7.122 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Free tour por el barrio de Providencia,¡Gratis!,78 opiniones,2.015 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Free tour por Santiago + Cambio de Guardia en el Palacio de La Moneda,¡Gratis!,51 opiniones,2.885 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Tour privado por Santiago de Chile,149.990 CL$,77 opiniones,1.815 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:33
CLP,Chile,Santiago de Chile,Excursión a las termas de Colina y el embalse El Yeso,"75.274,40 CL$",2 opiniones,94 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,"Estación de esquí El Portillo, Laguna del Inca y Viña San Esteban","60.747,60 CL$",184 opiniones,2.485 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,Visita a las bodegas de Santa Rita,59.980 CL$,67 opiniones,918 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,Excursión al Parque Safari de Rancagua,"84.416,12 CL$",8 opiniones,763 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,Excursión al viñedo Alyan al atardecer,"109.279,49 CL$",49 opiniones,1.008 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,Autobús turístico de Santiago de Chile,44.000 CL$,23 opiniones,639 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,"Cascada Invertida, Muela del Diablo y Parque Nacional Siete Tazas en 2 días",280.000 CL$,Sin valorar,11 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,Excursión al Valle Nevado al atardecer,"73.870,68 CL$",32 opiniones,476 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,Excursión a las termas de Valle de Colina,65.000 CL$,46 opiniones,433 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,Excursión privada desde Santiago de Chile,320.990 CL$,7 opiniones,236 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,Cena y espectáculo tradicional,95.000 CL$,28 opiniones,623 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
CLP,Chile,Santiago de Chile,Tour por el Museo de Arte Precolombino y el Museo Histórico Nacional,"43.744,35 CL$",Sin valorar,13 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-05 17:34
