moneda,zona_url,ciudad,actividad,precio,opiniones,fuente,fecha_scan
USD,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé,31 US$,1.804 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé + Paseo en barco,"38,59 US$",3.634 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour de Pablo Escobar,"37,89 US$",940 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 13,¡Gratis!,10.296 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 + Metrocable de Medellín,"32,47 US$",129 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por Medellín,¡Gratis!,4.577 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour privado por Medellín ¡Tú eliges!,"106,09 US$",51 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé en chiva + Visita a la hacienda La Manuela,"53,85 US$",77 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Visita a una finca de café en el barrio La Sierra,"50,74 US$",19 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Antioquia,"67,39 US$",100 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Medellín,"75,78 US$",313 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour de Medellín al completo,"128,28 US$",213 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 en minibús temático,"23,68 US$",217 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour en chiva por Medellín,"21,38 US$",180 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour gastronómico por Guatapé + Paseo en barco,"42,28 US$",67 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,"Free tour por El Poblado, Provenza y Manila",¡Gratis!,457 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a la Hacienda Nápoles,"64,41 US$",185 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour nocturno en chiva rumbera + Degustación de comida callejera,"26,79 US$",313 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Pub Crawl ¡Tour de fiesta por Medellín!,"29,22 US$",41 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 3 Manrique,¡Gratis!,108 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Free tour en chiva por Medellín,¡Gratis!,166 opiniones,Civitatis,2025-12-30 17:06:34
USD,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé,31 US$,1.804 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé + Paseo en barco,"38,59 US$",3.634 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour de Pablo Escobar,"37,89 US$",940 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 13,¡Gratis!,10.296 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 + Metrocable de Medellín,"32,47 US$",129 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por Medellín,¡Gratis!,4.577 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour privado por Medellín ¡Tú eliges!,"106,09 US$",51 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Guatapé en chiva + Visita a la hacienda La Manuela,"53,85 US$",77 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Visita a una finca de café en el barrio La Sierra,"50,74 US$",19 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Antioquia,"67,39 US$",100 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour del café por Medellín,"75,78 US$",313 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour de Medellín al completo,"128,28 US$",213 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour del grafiti por la Comuna 13 en minibús temático,"23,68 US$",217 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour en chiva por Medellín,"21,38 US$",180 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour gastronómico por Guatapé + Paseo en barco,"42,28 US$",67 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,"Free tour por El Poblado, Provenza y Manila",¡Gratis!,457 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Excursión a la Hacienda Nápoles,"64,41 US$",185 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Tour nocturno en chiva rumbera + Degustación de comida callejera,"26,79 US$",313 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Pub Crawl ¡Tour de fiesta por Medellín!,"29,22 US$",41 opiniones,Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 3 Manrique,¡Gratis!,"108
									opiniones",Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Free tour en chiva por Medellín,¡Gratis!,"166
									opiniones",Civitatis,2025-12-30 17:06:38
USD,https://www.civitatis.com/es/antioquia/,Medellín,Free tour por el barrio de Miraflores,¡Gratis!,170 opiniones,Civitatis,2025-12-30 17:06:42
USD,https://www.civitatis.com/es/antioquia/,Medellín,Free tour del conflicto armado de Colombia,¡Gratis!,12 opiniones,Civitatis,2025-12-30 17:06:42
