pais,url_destino,actividad,precio,moneda,resenas,fuente,fecha_scan
Chile,https://www.nomades.com/puerto-natales,Circuito W (4 días),469.000,CLP$,Octubre 2025 a abril 2026,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Circuito W con opcional Glaciar Grey (5 días),599.000,CLP$,Octubre 2025 a abril 2026,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Circuito O (8 días),949.000,CLP$,Noviembre 2025 a febrero 2026,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Full Day Torres del Paine,49.000,CLP$,871 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Navegación Glaciares Balmaceda y Serrano,179.000,CLP$,576 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Navegación Glaciar Grey,110.000,CLP$,269 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Traslado Hotel Lago Grey,44.000,CLP$,124 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Full Day Glaciar Perito Moreno,110.000,CLP$,222 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Plan Perfecto de 4 días,211.000,CLP$,,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Plan Perfecto de 5 días,390.000,CLP$,,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Trekking Base Las Torres,75.000,CLP$,394 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Trekking Miradores Torres del Paine,79.000,CLP$,Todo el año,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Trekking Cerro Benítez,49.000,CLP$,10 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Trekking Valle del Francés,85.000,CLP$,9 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Trekking Porterías Sarmiento y Amarga,80.000,CLP$,28 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Trekking Sierra Baguales,185.000,CLP$,Octubre a abril,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Full Day Estancia La Península,227.000,CLP$,31 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Full Day Estancia Cerro Guido,218.000,CLP$,Octubre a abril,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Transfer Aeropuerto de Puerto Natales,4.000,CLP$,49 reseñas,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Traslado al Parque Nacional Torres del Paine,18.000,CLP$,Servicio privado,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Transfer Terminal Rodoviario de Puerto Natales,2.000,CLP$,Servicio privado,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Traslado a Llanuras de Diana,6.500,CLP$,Todo el año,Nomades,2026-01-06 10:44
Chile,https://www.nomades.com/puerto-natales,Traslado a El Calafate,55.000,CLP$,Servicio privado,Nomades,2026-01-06 10:44
