Ciudad / Destino,País,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Buenos Aires,Argentina,0.3375083439925607,0.30605519790046815,0.4054632936807967,0.33442075052043024,0.38735560071752695,0.35585367370751625,0.3950791645912698,0.3699370055398753,0.3554602519432113,0.3731188844297692,0.40485208393264077,0.3727008568302119,0.3728788000348586,0.37521470084888936,0.4093494151263973
San Carlos de Bariloche,Argentina,0.09437616122528021,0.1395891528289126,0.0969385733654069,0.09484260966317042,0.12237105807115888,0.17058056471451613,0.1331566727581703,0.15714537848753807,0.17017442375028025,0.15939386659942445,0.1298123102398048,0.16545844115391467,0.1304352238442735,0.12575774704162201,0.09030128900901603
Mendoza,Argentina,0.12392056167418325,0.10171362428486862,0.10402786769185242,0.0765710093595607,0.08563255142786301,0.09249347130983741,0.14034552882196985,0.15796932360988816,0.0819293232789833,0.09493610242399758,0.07867795699857852,0.0856501964393648,0.12613065224921216,0.13485708244954978,0.08907558571721948
El Calafate,Argentina,0.16004442448684433,0.16080747720095878,0.14109681358758733,0.1487612026962082,0.10239914085414906,0.14441261623411103,0.08342928194497133,0.0692039768441615,0.1539191679114951,0.11501715956434713,0.1630480445489395,0.15976625409858883,0.13653266738431843,0.12597091066979876,0.1412574605429086
Resto Argentina,Argentina,0.28415050862113156,0.291834547784792,0.25247345167435653,0.3454044277606304,0.3022416489293022,0.2366596740340191,0.24798935188361862,0.245744315518537,0.23851683311603009,0.25753398698246155,0.22360960428003634,0.21642425147791974,0.23402265648733736,0.23819955899013998,0.27001624960445864
Río de Janeiro,Brasil,0.4364565065378209,0.4753199642960078,0.3680523727223929,0.48372604547243203,0.4628421210565771,0.5162372706382039,0.606602135393222,0.4944940065008261,0.5502902393826844,0.4634367408847114,0.45531039001035944,0.3882916589932367,0.4071709136825239,0.45061661738811065,0.472534439550169
Foz de Iguazú,Brasil,0.07754528296685767,0.0995917075685587,0.11436682622298683,0.17317809548371688,0.14324574103114787,0.1561826931145935,0.08686450101545445,0.14432971539621184,0.1322203193434265,0.1414282620501549,0.10082588477591457,0.120156677974181,0.12098904005222771,0.05252698145396645,0.13155428059788218
Florianópolis,Brasil,0.06404945303870947,0.1032908124747004,0.14439379497953253,0.058018437789304274,0.06767057982808461,0.04420739595337027,0.04785805184549032,0.03428689241846208,0.03980133617569571,0.033000755231,0.06670440751583208,0.08541853242002408,0.09635488608941964,0.10899870487585124,0.10098201496037336
São Paulo,Brasil,0.23261364035775758,0.14308370850723953,0.166406301280712,0.12019215852417947,0.229024998287173,0.15304027450485155,0.16679656865731876,0.1644394580423494,0.10992068036685268,0.12031889029921652,0.10147095081898698,0.10957940083486405,0.07669619033327424,0.10163681043114171,0.12802419727482342
Salvador de Bahía,Brasil,0.004054043402376135,0.04225738385836282,0.02582040158255545,0.010506525195621121,0.007141535240316797,0.053658350779644884,0.004573655045820963,0.05379248216533211,0.018653576882964058,0.08816717704755979,0.039535186234210526,0.10263888812422972,0.049285487181701865,0.04392670339353359,0.028839048227923644
