Ciudad / Destino,País,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Buenos Aires,Argentina,33.8%,30.6%,40.5%,33.4%,38.7%,35.6%,39.5%,37.0%,35.5%,37.3%,40.5%,37.3%,37.3%,37.5%,40.9%
San Carlos de Bariloche,Argentina,9.4%,14.0%,9.7%,9.5%,12.2%,17.1%,13.3%,15.7%,17.0%,15.9%,13.0%,16.5%,13.0%,12.6%,9.0%
Mendoza,Argentina,12.4%,10.2%,10.4%,7.7%,8.6%,9.2%,14.0%,15.8%,8.2%,9.5%,7.9%,8.6%,12.6%,13.5%,8.9%
El Calafate,Argentina,16.0%,16.1%,14.1%,14.9%,10.2%,14.4%,8.3%,6.9%,15.4%,11.5%,16.3%,16.0%,13.7%,12.6%,14.1%
Resto Argentina,Argentina,28.4%,29.2%,25.2%,34.5%,30.2%,23.7%,24.8%,24.6%,23.9%,25.8%,22.4%,21.6%,23.4%,23.8%,27.0%
Río de Janeiro,Brasil,43.6%,47.5%,36.8%,48.4%,46.3%,51.6%,60.7%,49.4%,55.0%,46.3%,45.5%,38.8%,40.7%,45.1%,47.3%
Foz de Iguazú,Brasil,7.8%,10.0%,11.4%,17.3%,14.3%,15.6%,8.7%,14.4%,13.2%,14.1%,10.1%,12.0%,12.1%,5.3%,13.2%
Florianópolis,Brasil,6.4%,10.3%,14.4%,5.8%,6.8%,4.4%,4.8%,3.4%,4.0%,3.3%,6.7%,8.5%,9.6%,10.9%,10.1%
São Paulo,Brasil,23.3%,14.3%,16.6%,12.0%,22.9%,15.3%,16.7%,16.4%,11.0%,12.0%,10.1%,11.0%,7.7%,10.2%,12.8%
Salvador de Bahía,Brasil,0.4%,4.2%,2.6%,1.1%,0.7%,5.4%,0.5%,5.4%,1.9%,8.8%,4.0%,10.3%,4.9%,4.4%,2.9%
Resto Brasil,Brasil,18.5%,13.6%,18.1%,15.4%,9.0%,7.7%,8.7%,10.9%,14.9%,15.4%,23.6%,19.4%,25.0%,24.2%,13.8%
San Pedro de Atacama,Chile,27.8%,32.3%,20.5%,28.3%,18.6%,33.3%,24.0%,30.5%,24.0%,16.6%,13.8%,8.3%,12.9%,30.0%,18.9%
Puerto Natales,Chile,8.9%,12.5%,25.2%,21.8%,33.7%,2.6%,15.3%,13.3%,14.3%,7.9%,13.3%,13.1%,16.6%,9.9%,4.8%
Santiago,Chile,38.9%,29.9%,35.2%,27.7%,34.6%,51.1%,41.3%,39.6%,40.1%,58.7%,60.2%,47.9%,46.7%,45.0%,43.4%
Rapa Nui,Chile,5.0%,0.7%,0.0%,3.4%,3.4%,3.6%,6.2%,2.2%,6.8%,0.3%,3.1%,4.4%,3.1%,0.0%,5.0%
Resto Chile,Chile,19.4%,24.5%,19.2%,18.7%,9.7%,9.5%,13.2%,14.4%,14.9%,16.5%,9.6%,26.2%,20.7%,15.1%,27.9%
Cartagena de Indias,Colombia,20.3%,24.5%,26.7%,23.1%,24.1%,27.6%,28.1%,28.6%,19.5%,21.2%,18.0%,27.7%,18.8%,22.2%,26.2%
Medellín,Colombia,45.6%,33.9%,26.8%,29.6%,26.2%,21.5%,33.0%,26.4%,30.9%,29.0%,30.0%,21.2%,26.1%,25.4%,26.3%
Bogotá,Colombia,14.9%,16.5%,18.1%,19.3%,26.6%,24.8%,18.7%,22.6%,20.5%,27.7%,32.3%,24.5%,25.4%,26.6%,18.8%
Resto Colombia,Colombia,19.1%,25.2%,28.4%,28.0%,23.0%,26.1%,20.1%,22.4%,29.0%,22.1%,19.7%,26.6%,29.7%,25.8%,28.8%
Cancún / Riviera Maya,México,47.2%,39.7%,49.7%,51.3%,44.9%,55.5%,48.5%,48.6%,47.1%,46.2%,55.1%,50.5%,52.3%,50.8%,55.6%
Ciudad de México,México,30.4%,35.5%,29.0%,33.4%,34.0%,32.0%,38.7%,35.3%,37.2%,42.5%,32.7%,36.7%,35.1%,36.7%,32.5%
Resto México,México,22.4%,24.8%,21.3%,15.3%,21.1%,12.5%,12.8%,16.1%,15.8%,11.3%,12.2%,12.8%,12.6%,12.5%,11.9%
Cusco,Perú,46.3%,43.6%,46.5%,48.2%,42.0%,50.0%,44.4%,45.7%,35.2%,49.6%,50.6%,48.4%,47.1%,51.3%,49.6%
Lima,Perú,40.3%,31.4%,35.6%,31.5%,35.3%,24.6%,27.3%,28.2%,36.1%,25.3%,33.3%,44.9%,34.6%,34.9%,35.0%
Resto Peru,Perú,13.4%,25.0%,17.9%,20.3%,22.7%,25.4%,28.3%,26.1%,28.7%,25.1%,16.1%,6.8%,18.3%,13.8%,15.4%
