destino,actividad,precio,descripcion
Medellín,Excursión de 1 día a Jardín desde Medellín,$152.000,"Si estás en Medellín y quieres salirte de la rutina citadina, no pierdas la oportunidad de visitar el suroeste antioqueño en esta excursión de 1 día a Hispania, Andes y Jardín; tres hermosos y pintorescos pueblos patrimonio del departamento de Antioquia. En esta excursión de un día, tomaremos un transporte desde Medellín e iremos a: Hispania: Un tradicional pueblo antioqueño cuyo parque principal está adornado con hermosos samanes que lo llenan de vida. Andes: La capital cafetera de Antioquia y la tierra natal de Salvador Arango; un famoso escultor colombiano. Jardín: Uno de los municipios antioqueños más frecuentados por turistas, catalogado como uno de los 17 pueblos más bellos de Colombia. ¿Estás listo(a) para visitar estos lindos pueblos antioqueños con nosotros? Si es así, reserva ahora tu Excursión de 1 día a Jardín, Hispania y Andes, desde Medellín . Precio El precio para adultos o mayores de 11 años es de COP $152.000 El precio para niños o adolescentes entre 3 a 10 años es de COP $137.000 El precio para bebés hasta los 2 años es de COP $20.000"
Medellín,"Tour de 1 día a Jericó, Antioquia saliendo desde Medellín.",$145.000,"Son pocos los municipios colombianos con tantos atractivos turísticos como Jericó; por eso, este tour de un día saliendo desde la ciudad de Medellín, es la oportunidad perfecta para que te sumerjas en su cultura local y descubras por qué a este pueblo se le conoce como “La Atenas del Suroeste antioqueño”. ¿Qué actividades realizarás durante este Tour de un día a Jericó, Antioquia? Caminarás por el Cerro el Salvador, en donde apreciarás los típicos y hermosos paisajes antioqueños. Visitarás el Parque Principal que conserva la arquitectura de la época cafetera del país. Recorrerás la calle del comercio de Jericó, donde podrás comprar hermosas artesanías. Conocerás la casa natal de la Madre Laura ; la primera Santa colombiana. Asistirás al Museo de Antropología y Arte de Jericó (MAJA) ; un lugar que conserva la memoria histórica de Jericó. ¿Qué esperas para disfrutar un día en familia en el municipio de Jericó, Antioquia ? Realiza tu reserva ya y vivamos juntos esta linda aventura. Precios El precio por persona para adultos y mayores de 10 años es de COP $145.000 El precio por persona para niños de 3 a 10 años es de COP $130.000 El precio por persona para bebés de hasta los 2 años es de COP $20.000"
Medellín,Tour a la Reserva Natural Cañon Del Río Claro desde Medellín,$252.000,"Disfruta un día de aventura en la Reserva Natural Cañón del Río Claro saliendo desde Medellín , en el que además de estar rodeado de naturaleza podrás realizar deportes extremos como Rafting y Canopy o cavernas. En esta actividad disfrutarás de las cálidas aguas de Río Claro, realizarás un divertido senderismo por el bosque y visitarás la famosa Playa de Mármol; una piscina natural con fondo de mármol donde podrás nadar y refrescarte. Además… Visitarás la caverna de los Guácharos, una caverna con más de 400 metros de largo donde tendrás la oportunidad de ver los Guácharos ; especie en peligro de extinción, Conocerás la Playa Manantial, un lugar al situado al final de la cavernas que se caracteriza por sus aguas cristalinas y calmadas. Practicarás Rafting y navegarás por el río en sentido de la corriente en botes inflables. Practicarás Canopy y te transportarás de la copa de un árbol a otro mientras cuelgas de una cuerda que te sujetará por medio de un arnés. ¿Estás listo(a) para vivir esta experiencia? Reserva ya este Tour de 1 día a la Reserva del Río Claro saliendo desde Medellín y acompáñanos en esta inolvidable travesía. Precios El precio por persona para esta actividad es de COP $252.000 con Rafting. El precio por persona para esta actividad es de COP $235.000 con Cavernas. El precio por persona para esta actividad es de COP $220.000 con Canopy."
Medellín,Tour de 1 día a la Hacienda Nápoles desde Medellín. Pasaporte Safari.,$269.000,"Acompáñanos en este Tour de 1 día a la Hacienda Nápoles saliendo desde Medellín y vive un día en familia lleno de aventuras y diversión. En este Tour, visitaremos La Hacienda Nápoles; el principal atractivo turístico de la región del Magdalena Medio Antioqueño y uno de los Parques Temáticos más importantes de América Latina. El Tour incluye el Pasaporte Safari; el pasaporte de un día más completo que se ofrece actualmente en la Hacienda Nápoles, con el cual podrás disfrutar de las siguientes atracciones: El Parque de los hipopótamos: Un lugar donde observarás, de primera mano, estos hermosos mamíferos y conocerás más sobre su hábitat. El Santuario de fauna: Una simulación de la sabana africana, donde visitarás la isla de los micos, el lago de los chigüiros, el santuario de los elefantes y de los felinos. El Parque Jurásico: Un lugar cargado de réplicas realistas de estos animales prehistóricos. El Museo africano: Un espacio dedicado a la cultura del continente africano. El Mariposario: Un mágico espacio donde podrás ver de cerca diferentes especies de mariposas coloridas. El Mundo de las aves y reptiles: Un lugar donde podrás aprender más sobre la vida de estos animales. El Acuasaurus: Una divertida área del parque donde podrás disfrutar de toboganes, piscinas, ríos y zonas de comidas. Octopus: Una enorme atracción acuática donde el protagonista es un gigante Pulpo que se acompaña de toboganes y divertidos chorros de agua. Río Salvaje: Una atracción en la que te desplazarás en flotadores por el canal de un río y atravesarás caídas de agua que llevarán tus emociones al límite. Las Cataratas Victoria: La atracción más grande del mundo en su género, que se compone de ríos artificiales, espejos de agua y toboganes. Las Cobras: Una atracción acuática compuesta por seis toboganes que son custodiados por 2 gigantescas serpientes. ¿Qué esperas para conocer el Parque Temático Hacienda Nápoles? Realiza tu reserva y asegura tu cupo. Precios y Descuentos. El precio por persona para adultos y mayores de 3 años es de COP $269.000 El precio por persona para niños de 1 a 2 años es de COP $180.000 El precio por persona para bebés hasta los 11 meses es de COP $20.000"
Medellín,Tour de un día a Santa Fe de Antioquia desde Medellín,$157.000,"Sumérgete en la época colonial con este tour de un día a Santa Fe de Antioquia saliendo desde la ciudad de Medellín y descubre los secretos mejor guardados de este hermoso pueblo Patrimonio de Colombia. ¿Qué actividades realizarás durante este tour? Recorrerás los lugares más representativos del municipio de Santa Fe de Antioquia y conocerás su historia en compañía de un guía experto. Visitarás el Museo Juan del Corral ; un lugar que guarda documentos invaluables de la historia de la población santafereña. Cruzarás el Río Cauca por el Puente de Occidente , uno de los puentes colgantes mas largos del mundo. Visitarás el Parque Acuático Kanaloa donde vivirás una tarde llena de diversión. ¡Y mucho más! ¿Te animas a conocer todos los atractivos de Santa Fe de Antioquia con nosotros? Precios El precio por persona para adultos y mayores de 5 años es de COP $157.000 El precio por persona para niños de 3 a 4 años es de COP $124.000 El precio por persona para menores de 2 años es de COP $16.000"
Medellín,Tour de 1 día al Peñol y Guatapé desde Medellín.,$129.000,"Vive un día especial que te sacará de tu rutina en este tour de un día que te llevará a los municipios antioqueños del Peñol y Guatapé saliendo desde Medellín. Durante la actividad tendrás la posibilidad de realizar un recorrido en barco por el embalse donde tendrás una vista privilegiada de la imponente Piedra del Peñol , caminarás por la réplica del antiguo pueblo que fue inundado cuando realizaron la represa y disfrutarás de uno de los pueblos más coloridos y pintorescos de Sur América, Guatapé. Algunos de los sitios que visitarás en este tour son: La Replica del Peñol. El Peñol. La Piedra del Peñol. Guatapé. Recorrido en barco por la represa . ¿Qué esperas para vivir una experiencia de un día con tu familia que recordarás por siempre? Realiza tu reserva ya. Precios El precio por cada adulto o mayor de 4 años es de COP $129.000"
Medellín,"City Tour por Medellín, ciudad de la Eterna Primavera",$375.000,"Conoce los principales y más emblemáticos lugares de Medellín Antioquia en este City Tour donde aprenderás los secretos mejor guardados de su historia. Durante esta actividad de cuatro horas comprenderás la transformación que sufrió la ciudad pasando de ser una de las más violentas del mundo a ser uno de los principales destinos de América Latina. Dentro del City Tour visitarás. La Plazoleta de Botero. La Iglesia de Veracruz. El Pueblito Paisa. El Transporte en Sistema Integrado Metro. (Metro, Tranvía y Metrocable). Entre otros. No te quedes sin conocer Medellín , la ciudad de la eterna primavera. Reserva tu cupo ya. Precios El precio por persona para 1 persona es de COP $375.000 Grupo de 2 Personas precio por persona COP $195.000 Grupo de 3 Personas precio por persona COP $130.000 Grupo de 4 Personas precio por persona COP $120.000 Grupo de 5 Personas precio por persona COP $105.000 Grupo de 6 Personas precio por persona COP $90.000"
Medellín,Tour de 1 día a la Cueva del Esplendor saliendo desde Medellín,$195.000,"Conoce uno de los patrimonios naturales y culturales de Jardín, Antioquia en este tour de un día a la Cueva del Esplendor saliendo desde Medellín. Además de llegar hasta una de las principales maravillas naturales colombianas disfrutarás de un recorrido por uno de los pueblos más bonitos de Antioquia: Jardín. Siempre acompañado por un guía profesional que te contará todos los secretos del lugar durante el recorrido. Algunos de los principales atractivos que visitarás durante esta actividad serán: La Cueva del Esplendor. El Municipio de Jardín, Antioquia. La Truchera en Jardín, Antioquia. Y mucho más. ¿Estás listo(a) para vivir una aventura fascinante en la Cueva del Esplendor en Jardín, Antioquia? Si es así, reserva asegura pronto tu lugar. Precios y Descuentos El precio por persona para adultos y mayores de 6 años es de COP $195.000"
Medellín,Graffiti Tour Comuna 13 Medellín,$253.000,"Vive un día lleno de arte y cultura con este Graffiti Tour en la Comuna 13 de la ciudad de Medellín y entiende la transformación que sufrió este famoso barrio antioqueño. Hace solo unos años la comuna 13 era la comuna más peligrosa de Medellín , pero hoy es la comuna más brillante y colorida de la ciudad. A diferencia de otros paquetes turísticos a la Comuna 13, este tour incluye transporte privado con recogida en el hotel o algún punto de la ciudad al que puedas llegar con facilidad. Además, incluye el acompañamiento de un guía local durante una parte del recorrido y una charla con los lideres sociales de la comuna quienes te contarán sobre los cambios sociales y culturales que ha tenido el lugar. Durante el recorrido observarás diferentes expresiones artísticas; desde los coloridos murales hasta las creativas letras de las canciones de Hip-Hop de los artistas de la zona. Sin duda, una oportunidad única para que descubras el gran impacto que ha tenido el arte en un barrio que pasó de ser una de las zonas más peligrosas de la ciudad a uno de las más visitados por los turistas. Dentro del Tour visitarás La Comuna 13. Galerías al aire libre de Graffitis Escaleras eléctricas al aire libre. Visita, recorrido al pie de las galerías al aire libre de los graffitis. Guía local en los recorridos por las galerías y escaleras. Helado artesanal para cada participante del recorrido. Conversatorio sobre la transformación social de los jóvenes de la comuna con el guía ¿Estás listo(a) para conocer todos los secretos e historias que tiene guardada la Comuna 13 ? Precios para mayores de 4 años. Si reservas para 1 persona el precio será de COP $253.000 Si reservas para 2 personas el precio por persona será de COP $161.000 Si reservas para 3 personas el precio por persona será de COP $125.000 Si reservas para 4 personas o más el precio por persona será de COP $115.000 Los descuento para grupos se aplicarán de manera automática una vez elijas la fecha, selecciones el número de personas y hagas click en el botón “RESERVAR”."
Medellín,Tour Privado de 1 día al Peñol y Guatapé desde Medellín.,$590.000,"Vive un día especial que te sacará de tu rutina en este tour Privado de un día que te llevará a los municipios antioqueños del Peñol y Guatapé saliendo desde Medellín. Durante la actividad tendrás la posibilidad de realizar un recorrido en barco por el embalse donde tendrás una vista privilegiada de la imponente Piedra del Peñol , caminarás por la réplica del antiguo pueblo que fue inundado cuando realizaron la represa y disfrutarás de uno de los pueblos más coloridos y pintorescos de Sur América, Guatapé. Algunos de los sitios que visitarás en este tour son: La Replica del Peñol. El Peñol. La Piedra del Peñol. Guatapé. Recorrido en barco por la represa . ¿Qué esperas para vivir una experiencia de un día con tu familia que recordarás por siempre? Realiza tu reserva ya. Precios 2026. El precio por persona para grupos de 2 personas es de COP $590.000. El precio por persona para grupos de 3 personas es de COP $420.000. El precio por persona para grupos de 4 personas es de COP $330.000. El precio por persona para grupos de 5 personas es de COP $330.000. El precio por persona para grupos de 6 personas es de COP $330.000. El precio por persona para grupos de 7 personas es de COP $230.000. El precio por persona para grupos de 8 personas es de COP $210.000. El precio por persona para grupos de 9 personas es de COP $190.000. El precio por persona para grupos de 10 personas es de COP $180.000."
