destino,actividad1,precio1,actividad2,precio2,similitud_%
Bahía Solano,Avistamiento de ballenas en Bahía Málaga desde Manizales.,$650.000,Avistamiento de ballenas en Bahía Málaga,171.000 COP,96.92
Bogotá,Tour de Graffiti en la ciudad de Bogotá,$120.000,Tour privado del grafiti por Bogotá,275.000 COP,95.32
Villa de Leyva,Tour de un día a Ráquira y Villa de Leyva desde Bogotá,$230.000,Tour en chiva rumbera por Bogotá,140.000 COP,92.72
Pereira,Excursión de un día al Nevado Santa Isabel desde Pereira,$400.000,Excursión al Nevado de Santa Isabel,546.423 COP,92.21
Pereira,Excursión de un día al Nevado Santa Isabel desde Pereira,$400.000,Excursión al Nevado de Santa Isabel,546.423 COP,92.21
Mesetas,"Rafting por el Cañón del Río Güejar desde Mesetas, Meta",$250.000,Rafting en el cañón del río Güejar,780.000 COP,92.16
Manizales,Excursión de un día al Nevado Santa Isabel desde Manizales,$400.000,Excursión al Nevado de Santa Isabel,546.423 COP,91.97
La Tatacoa,Tour al Desierto de la Tatacoa y Mano del Gigante desde Bogotá,$785.000,Tour en chiva rumbera por Bogotá,140.000 COP,91.7
Pereira,Excursión de dos días al Nevado Santa Isabel e intento de cima,$1.200.000,Excursión al Nevado de Santa Isabel,546.423 COP,91.61
Manizales,Excursión de dos días al Nevado Santa Isabel e intento de cima,$1.200.000,Excursión al Nevado de Santa Isabel,546.423 COP,91.61
Manizales,Excursión de un día al Volcán Cerro Bravo + Termales El Otoño,$370.000,Excursión a las termas El Volcán,150.000 COP,91.51
Salento,"Tour privado por Salento, Valle de Cocora y Filandia",$789.000,"Excursión privada al Valle de Cocora, Salento y Filandia",2.120.000 COP,91.04
Valle de Cocora,"Tour privado por Salento, Valle de Cocora y Filandia",$789.000,"Excursión privada al Valle de Cocora, Salento y Filandia",2.120.000 COP,91.04
Leticia,Pasadía al Mundo Amazónico con Selva en el Amazonas,$140.000,Senderismo por la selva amazónica,469.000 COP,91.0
Amazonas,Pasadía al Mundo Amazónico con Selva en el Amazonas,$140.000,Senderismo por la selva amazónica,469.000 COP,91.0
Medellín,Tour de 1 día a la Cueva del Esplendor saliendo desde Medellín,$195.000,Tour por los miradores de Medellín,"184.996,80 COP",90.82
Jardín,Tour de 1 día a la Cueva del Esplendor saliendo desde Medellín,$195.000,Tour por los miradores de Medellín,"184.996,80 COP",90.82
Mesetas,"Rafting por el Cañón del Río Güejar Con Una Noche de Hospedaje en Mesetas, Meta",$330.000,Rafting en el río Calderas,627.143 COP,90.75
Mesetas,"Rafting por el Cañón del Río Güejar desde Villavicencio, Meta",$330.000,Rafting en el cañón del río Güejar,780.000 COP,90.21
Cartagena,Tour de un día al Parque Tayrona desde Cartagena,$498.000,Excursión al Parque Tayrona,512.325 COP,90.1
Villa de Leyva,Tour Guiado al Molino la Primavera y Museo Fósil en Villa de Leyva,$74.000,Tour de Villa de Leyva al completo,140.000 COP,90.03
Salento,"Tour grupal por Salento, Valle de Cocora y Filandia",$578.000,Tour por Salento y Valle de Cocora,283.000 COP,89.6
Valle de Cocora,"Tour grupal por Salento, Valle de Cocora y Filandia",$578.000,Tour por Salento y Valle de Cocora,283.000 COP,89.6
Medellín,Graffiti Tour Comuna 13 Medellín,$253.000,Tour del grafiti por la Comuna 13 + Metrocable de Medellín,120.000 COP,89.4
Laguna de Guatavita,Tour de un día a la Laguna de Guatavita y Casa Loca desde Bogotá,$160.000,Tour en chiva rumbera por Bogotá,140.000 COP,89.12
Mesetas,"Rafting en el Cañón del Río Güejar y tubing en el río Cafre, con visita a la cascada La Encantada, sin hospedaje",$460.000,Rafting en el cañón del río Güejar,780.000 COP,88.91
Montenegro,Pasadía Parque del Café desde Manizales,$225.000,Excursión al Parque del Café,400.000 COP,88.78
Cartagena,Tour a las Islas del Rosario y Playa Blanca desde Cartagena,$180.000,Excursión a Cartagena e Islas del Rosario,669.060 COP,88.75
Amazonas,Pasadía Mundo Amazónico: Combo 4 rutas,$100.000,Tour de las tres fronteras del Amazonas,280.000 COP,88.72
Leticia,Pasadía Mundo Amazónico: Combo 4 rutas,$100.000,Tour de las tres fronteras del Amazonas,280.000 COP,88.72
Mesetas,"Cascada la Encantada y Tubing por el Cañón del Río Cafre desde Mesetas, Meta",$230.000,Excursión a la cascada La Encantada + Tubing en el cañón del río Cafre,546.000 COP,88.66
