moneda,pais,destino,actividad,precio_desde_original,precio_real,opiniones,viajeros,url_fuente,fuente,fecha_scan
ARS,Argentina,Buenos Aires,Espectáculo en el teatro Tango Porteño,,"50.273,53 ARS",706 opiniones,10.035 viajeros,https://www.civitatis.com/es/buenos-aires/espectaculo-tango-porteno/,Civitatis,2026-01-30 10:24
ARS,Argentina,Buenos Aires,Tour privado por Buenos Aires,"226.992,62 ARS","205.664,45 ARS",300 opiniones,6.269 viajeros,https://www.civitatis.com/es/buenos-aires/tour-privado-buenos-aires/,Civitatis,2026-01-30 10:24
ARS,Argentina,Buenos Aires,Free tour por el centro histórico de Buenos Aires,,¡Gratis!,2.466 opiniones,84.969 viajeros,https://www.civitatis.com/es/buenos-aires/free-tour-buenos-aires/,Civitatis,2026-01-30 10:24
ARS,Argentina,Buenos Aires,Espectáculo de tango y cena en El Querandi,,"76.172,02 ARS",135 opiniones,1.572 viajeros,https://www.civitatis.com/es/buenos-aires/espectaculo-tango-querandi/,Civitatis,2026-01-30 10:24
ARS,Argentina,Buenos Aires,Free tour por el barrio de La Boca,,¡Gratis!,2.126 opiniones,52.807 viajeros,https://www.civitatis.com/es/buenos-aires/free-tour-boca/,Civitatis,2026-01-30 10:24
ARS,Argentina,Buenos Aires,Traslados en Buenos Aires,,"25.898,48 ARS",6.445 opiniones,98.524 viajeros,https://www.civitatis.com/es/buenos-aires/traslados/,Civitatis,2026-01-30 10:24
ARS,Argentina,Buenos Aires,Excursión a Tigre en barco,,"70.078,25 ARS",713 opiniones,9.784 viajeros,https://www.civitatis.com/es/buenos-aires/excursion-tigre-barco/,Civitatis,2026-01-30 10:24
ARS,Argentina,Buenos Aires,"Autobús turístico de Buenos Aires, Gray Line",,"33.515,68 ARS",16 opiniones,680 viajeros,https://www.civitatis.com/es/buenos-aires/autobus-turistico-gray-line/,Civitatis,2026-01-30 10:24
ARS,Argentina,Buenos Aires,Free tour por el cementerio de la Recoleta,,¡Gratis!,1.338 opiniones,54.848 viajeros,https://www.civitatis.com/es/buenos-aires/free-tour-cementerio-recoleta/,Civitatis,2026-01-30 10:24
ARS,Argentina,Buenos Aires,Entradas al Museo de la Pasión Boquense,,"47.226,65 ARS",38 opiniones,1.567 viajeros,https://www.civitatis.com/es/buenos-aires/entradas-bombonera-museo-pasion-boquense/,Civitatis,2026-01-30 10:24
