moneda,pais,destino,actividad,precio_desde_original,precio_real,opiniones,viajeros,url_fuente,fuente,fecha_scan
BRL,Brasil,Río de Janeiro,Tour por la favela de Rocinha,267 R$,"240,30 R$",518 opiniones,10.202 viajeros,https://www.civitatis.com/es/rio-de-janeiro/tour-favela/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Tour por el Cristo Redentor y el Pan de Azúcar,,"553,90 R$",424 opiniones,10.986 viajeros,https://www.civitatis.com/es/rio-de-janeiro/tour-corcovado-pan-azucar/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Tour de Río de Janeiro al completo con subida al Cristo Redentor en minibús,,"606,66 R$",4.434 opiniones,50.599 viajeros,https://www.civitatis.com/es/rio-de-janeiro/tour-completo-rio-janeiro/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Atardecer en el Pan de Azúcar + Tour por Río y el Cristo Redentor,,677 R$,218 opiniones,2.491 viajeros,https://www.civitatis.com/es/rio-de-janeiro/tour-atardecer-pan-azucar/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Traslados en Río de Janeiro,,"107,56 R$",2.619 opiniones,86.069 viajeros,https://www.civitatis.com/es/rio-de-janeiro/traslados/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Excursión en 4x4 a la Pedra do Telégrafo,,"485,71 R$",36 opiniones,246 viajeros,https://www.civitatis.com/es/rio-de-janeiro/excursion-4x4-pedra-telegrafo/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Paseo en helicóptero por el Cristo Redentor,,1.299 R$,Novedad,42 viajeros,https://www.civitatis.com/es/rio-de-janeiro/paseo-helicoptero-cristo-redentor/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Ala delta en Río de Janeiro,,1.200 R$,35 opiniones,525 viajeros,https://www.civitatis.com/es/rio-de-janeiro/ala-delta-rio-janeiro/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Free tour por el centro histórico de Río,,¡Gratis!,3.007 opiniones,107.304 viajeros,https://www.civitatis.com/es/rio-de-janeiro/free-tour-centro-rio-lapa/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Excursión a Arraial do Cabo,,"316,51 R$",268 opiniones,9.209 viajeros,https://www.civitatis.com/es/rio-de-janeiro/excursion-arraial-cabo/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Entrada a Roxy Dinner Show,,396 R$,57 opiniones,818 viajeros,https://www.civitatis.com/es/rio-de-janeiro/entrada-roxy-dinner-show/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Tarjeta eSIM Civitatis Brasil,,"24,89 R$",58 opiniones,1.239 viajeros,https://www.civitatis.com/es/tarjeta-esim-brasil/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Tour de Río de Janeiro al completo con subida al Cristo Redentor en tren,,839 R$,10 opiniones,126 viajeros,https://www.civitatis.com/es/rio-de-janeiro/tour-rio-cristo-redentor-tren/,Civitatis,2026-01-30 10:16
BRL,Brasil,Río de Janeiro,Tour privado por Río de Janeiro,,"1.585,72 R$",117 opiniones,3.014 viajeros,https://www.civitatis.com/es/rio-de-janeiro/tour-privado-rio-janeiro/,Civitatis,2026-01-30 10:16
