moneda,pais,destino,actividad,precio_desde_original,precio_real,opiniones,viajeros,url_fuente,fuente,fecha_scan
COP,Colombia,Cali,Tour por la Comuna 20,,267.000 COP,12 opiniones,113 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour panorámico por Cali,,287.500 COP,32 opiniones,319 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Pub Crawl ¡Tour de fiesta por Cali!,,180.000 COP,Sin valorar,14 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour de comida callejera por Cali,,200.000 COP,1 opinión,15 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour de la cerveza artesanal por Cali,,160.000 COP,Sin valorar,9 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Cena y espectáculo de salsa en Cali,,410.000 COP,Sin valorar,70 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Traslados en Cali,,110.069 COP,73 opiniones,1.645 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Free tour de la salsa y arte urbano por Cali,,¡Gratis!,30 opiniones,1.514 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Free tour gastronómico por la Galería Alameda,,¡Gratis!,18 opiniones,812 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Free tour a pie por Cali,,¡Gratis!,317 opiniones,13.984 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour del café por Cali,,550.000 COP,3 opiniones,48 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour por Cali y el Cristo Rey,,260.000 COP,4 opiniones,113 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tarjeta eSIM Civitatis Colombia,,"17.343,45 COP",26 opiniones,1.053 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Ruta de la salsa en Cali,,225.000 COP,39 opiniones,393 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Clase de salsa caleña,,140.000 COP,2 opiniones,35 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión a la Reserva Natural San Cipriano,,550.000 COP,6 opiniones,116 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Seguro de viaje Civitatis,,"85.139,20 COP",2.893 opiniones,95.653 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour privado por Cali,,390.000 COP,13 opiniones,437 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión a Buga,,420.000 COP,5 opiniones,119 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión al Parque del Café,,400.000 COP,Sin valorar,185 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión a la Reserva Natural El Danubio,,650.000 COP,1 opinión,57 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour por las haciendas de caña de azúcar del Valle del Cauca,,490.000 COP,2 opiniones,43 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión a los Farallones de Cali y El Topacio,,"404.680,50 COP",1 opinión,104 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión a Popayán,,720.000 COP,1 opinión,112 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión al lago Calima,,495.000 COP,1 opinión,27 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour panorámico por Cali + Zoológico,,320.000 COP,2 opiniones,25 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour por la Galería la Alameda y artesanías de Cali,,87.500 COP,2 opiniones,22 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Avistamiento de aves en Cali,,320.000 COP,Sin valorar,18 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour por Cali + Clase de salsa caleña,,280.000 COP,1 opinión,19 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Senderismo por la cascada Manto de la Virgen,,390.000 COP,Sin valorar,10 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión al cañón del río Achincayá,,650.000 COP,Sin valorar,9 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour del grafiti por Cali,,60.000 COP,2 opiniones,11 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour de compras por los outlets de Cali,,335.000 COP,1 opinión,10 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión al mercado indígena de Silvia,,720.000 COP,Sin valorar,31 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour de la cultura colombiana,,500.000 COP,Sin valorar,14 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión al mariposario Andoke + Cristo Rey,,320.000 COP,Sin valorar,3 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour gastronómico por Cali,,300.000 COP,1 opinión,8 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Excursión en moto desde Cali,,750.000 COP,Sin valorar,,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour en patinete eléctrico por Cali,,256.000 COP,Sin valorar,,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Tour en bicicleta por Cali,,170.000 COP,Sin valorar,,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Avistamiento de ballenas en bahía Málaga,,624.000 COP,11 opiniones,162 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Cali,Visita guiada por Cali,,140.000 COP,8 opiniones,35 viajeros,https://www.civitatis.com/es/cali/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Free tour por Bogotá,,¡Gratis!,3.829 opiniones,62.769 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Oferta: Guatavita + Catedral de Sal de Zipaquirá,,279.000 COP,774 opiniones,6.013 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Excursión a la Catedral de Sal de Zipaquirá,,179.000 COP,928 opiniones,16.766 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour de Bogotá al completo con entradas,,465.000 COP,144 opiniones,2.453 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Traslados en Bogotá,,"50.103,30 COP",879 opiniones,20.472 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Excursión a la Catedral de Sal de Zipaquirá + Andrés Carne de Res en Chía,,260.000 COP,121 opiniones,1.614 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Visita guiada por Bogotá + Teleférico a Montserrate,,330.000 COP,278 opiniones,3.758 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Free tour por el barrio de La Candelaria,,¡Gratis!,100 opiniones,3.360 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Free tour por el cerro de Monserrate,,¡Gratis!,637 opiniones,16.987 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Excursión a Villa de Leyva,,440.000 COP,65 opiniones,745 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Free tour del grafiti por Bogotá,,¡Gratis!,879 opiniones,10.794 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour de los fantasmas de Bogotá,65.000 COP,40.950 COP,51 opiniones,1.151 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tarjeta eSIM Civitatis Colombia,,"17.343,45 COP",26 opiniones,1.053 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour privado por Bogotá,,350.000 COP,83 opiniones,2.197 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour de la cerveza artesanal por Bogotá,,173.000 COP,35 opiniones,277 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Visita guiada por la Casa de Betty la Fea,,180.000 COP,11 opiniones,139 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Taller y degustación de café colombiano en La Candelaria,,130.000 COP,56 opiniones,595 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Seguro de viaje Civitatis,,"85.139,20 COP",2.893 opiniones,95.653 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Visita guiada por Monserrate,,100.000 COP,22 opiniones,589 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour nocturno por Bogotá,,330.000 COP,26 opiniones,388 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour en chiva rumbera por Bogotá,,140.000 COP,7 opiniones,91 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Excursión al Páramo de Sumapaz,,506.666 COP,9 opiniones,126 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Excursión a los cafetales colombianos,,565.000 COP,149 opiniones,1.318 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Free tour en bicicleta por el centro de Bogotá,,¡Gratis!,486 opiniones,5.530 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Excursión a Guatavita + Casa al Revés,,350.000 COP,16 opiniones,436 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Excursión al Parque Jaime Duque,,340.000 COP,39 opiniones,663 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Visita guiada por Mirador El Paraíso + Teleférico,312.500 COP,265.625 COP,67 opiniones,508 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Free tour gastronómico por Bogotá,,¡Gratis!,88 opiniones,4.998 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour de la cultura colombiana,,125.000 COP,146 opiniones,1.570 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour en patinete eléctrico por La Candelaria,105.000 COP,94.500 COP,27 opiniones,201 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Visita a la finca cafetera El Edén,,399.000 COP,3 opiniones,37 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Taller de mochilas wayuu en Bogotá,,280.000 COP,4 opiniones,29 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Free tour de Gabriel García Márquez,,¡Gratis!,10 opiniones,56 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Free tour por el barrio de Chapinero,,¡Gratis!,8 opiniones,751 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Free tour de la esmeralda,,¡Gratis!,66 opiniones,1.708 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour del café por Cundinamarca,,429.000 COP,86 opiniones,905 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour gastronómico por Bogotá,,222.222 COP,42 opiniones,455 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,¿Escala en Bogotá? Tour privado desde el aeropuerto,,827.000 COP,19 opiniones,380 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Trekking por el Parque Aventura La Chorrera,,415.000 COP,49 opiniones,331 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Excursión privada desde Bogotá,,1.612.000 COP,11 opiniones,439 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour de la cultura indígena por Bogotá,,30.000 COP,27 opiniones,566 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Excursión a la mina de sal de Nemocón,,300.000 COP,23 opiniones,242 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Excursión al salto de Tequendama,,368.000 COP,13 opiniones,194 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Tour de Jorge Eliécer Gaitán,,130.000 COP,3 opiniones,165 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
COP,Colombia,Bogotá,Visita guiada por el barrio Chapinero,,152.778 COP,17 opiniones,181 viajeros,https://www.civitatis.com/es/bogota/,Civitatis,2026-01-29 14:01
