"pais";"destino";"actividad";"url_actividad";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan";"cutoff"
"Argentina";"Buenos Aires";"Autobús turístico de Buenos Aires, Gray Line";"https://www.civitatis.com/es/buenos-aires/autobus-turistico-gray-line/";"20771.46";"55";"1486";"8.7";"CLP";"2026-04-13";""
"Argentina";"Buenos Aires";"Tour privado por Buenos Aires";"https://www.civitatis.com/es/buenos-aires/tour-privado-buenos-aires/";"113298.88";"329";"6843";"9.4";"CLP";"2026-04-13";"4.0"
"Argentina";"Buenos Aires";"Espectáculo en el teatro Tango Porteño";"https://www.civitatis.com/es/buenos-aires/espectaculo-tango-porteno/";"34367.32";"757";"10739";"9.1";"CLP";"2026-04-13";"14.0"
"Argentina";"Buenos Aires";"Espectáculo en Madero Tango";"https://www.civitatis.com/es/buenos-aires/espectaculo-madero-tango/";"17527.57";"617";"11380";"8.6";"CLP";"2026-04-13";"45.0"
"Argentina";"Buenos Aires";"Excursión a Colonia del Sacramento";"https://www.civitatis.com/es/buenos-aires/excursion-colonia-sacramento/";"67979.32";"387";"6128";"7.9";"CLP";"2026-04-13";"24.0"
"Argentina";"Buenos Aires";"Free tour por el centro histórico de Buenos Aires";"https://www.civitatis.com/es/buenos-aires/free-tour-buenos-aires/";"0.0";"2696";"93087";"9.2";"CLP";"2026-04-13";"15.0"
"Argentina";"Buenos Aires";"Traslados en Buenos Aires";"https://www.civitatis.com/es/buenos-aires/traslados/";"16050.67";"6680";"103397";"8.5";"CLP";"2026-04-13";""
"Argentina";"Buenos Aires";"Autobús turístico Buenos Aires Bus";"https://www.civitatis.com/es/buenos-aires/autobus-turistico-buenos-aires/";"19827.3";"928";"17802";"8.2";"CLP";"2026-04-13";""
"Argentina";"Buenos Aires";"Excursión a Tigre en barco";"https://www.civitatis.com/es/buenos-aires/excursion-tigre-barco/";"43431.23";"743";"10238";"8.1";"CLP";"2026-04-13";"10.0"
"Argentina";"Buenos Aires";"Free tour por el barrio de La Boca";"https://www.civitatis.com/es/buenos-aires/free-tour-boca/";"0.0";"1969";"49448";"9.4";"CLP";"2026-04-13";"7.0"
"Argentina";"Buenos Aires";"Free tour por el cementerio de la Recoleta";"https://www.civitatis.com/es/buenos-aires/free-tour-cementerio-recoleta/";"0.0";"1453";"58995";"9.7";"CLP";"2026-04-13";"30.0"
"Argentina";"Buenos Aires";"Espectáculo de tango en El Viejo Almacén";"https://www.civitatis.com/es/buenos-aires/espectaculo-tango-viejo-almacen/";"47207.86";"90";"1256";"9.0";"CLP";"2026-04-13";"2.0"
"Argentina";"Buenos Aires";"Entradas al Museo de la Pasión Boquense";"https://www.civitatis.com/es/buenos-aires/entradas-bombonera-museo-pasion-boquense/";"30213.03";"54";"2132";"8.6";"CLP";"2026-04-13";"8.0"
"Argentina";"Buenos Aires";"Espectáculo de tango y cena en El Querandi";"https://www.civitatis.com/es/buenos-aires/espectaculo-tango-querandi/";"47207.86";"142";"1755";"9.2";"CLP";"2026-04-13";"3.0"
"Argentina";"Buenos Aires";"Entrada al Museo River y Estadio Monumental";"https://www.civitatis.com/es/buenos-aires/entrada-museo-river-estadio-monumental/";"23005.19";"43";"863";"8.6";"CLP";"2026-04-13";"8.0"
"Argentina";"Buenos Aires";"Tour del fútbol, Boca Juniors y River Plate";"https://www.civitatis.com/es/buenos-aires/tour-futbol-argentino/";"107633.93";"152";"2342";"8.8";"CLP";"2026-04-13";"12.0"
"Argentina";"Buenos Aires";"Espectáculo de tango en La Ventana";"https://www.civitatis.com/es/buenos-aires/espectaculo-tango-ventana/";"66091.01";"61";"1199";"8.8";"CLP";"2026-04-13";"17.0"
"Argentina";"Buenos Aires";"Free tour por el barrio de San Telmo";"https://www.civitatis.com/es/buenos-aires/free-tour-san-telmo/";"0.0";"518";"22826";"9.1";"CLP";"2026-04-13";"15.0"
"Argentina";"Buenos Aires";"Excursión a Campanópolis";"https://www.civitatis.com/es/buenos-aires/excursion-campanopolis/";"50512.41";"113";"1324";"8.9";"CLP";"2026-04-13";"18.0"
"Argentina";"Buenos Aires";"Visita guiada por el Teatro Colón";"https://www.civitatis.com/es/buenos-aires/visita-guiada-teatro-colon/";"43431.23";"55";"880";"7.9";"CLP";"2026-04-13";"24.0"
"Argentina";"Buenos Aires";"Pub Crawl ¡Tour de fiesta por Buenos Aires!";"https://www.civitatis.com/es/buenos-aires/pub-crawl-buenos-aires/";"16994.83";"67";"641";"9.2";"CLP";"2026-04-13";"20.0"
"Argentina";"Buenos Aires";"Fiesta Gaucha en la Estancia Don Silvano";"https://www.civitatis.com/es/buenos-aires/fiesta-gaucha-don-silvano/";"82307.48";"48";"622";"8.3";"CLP";"2026-04-13";"24.0"
"Argentina";"Buenos Aires";"Tour en bicicleta por Buenos Aires";"https://www.civitatis.com/es/buenos-aires/tour-bicicleta-buenos-aires/";"35877.97";"94";"1232";"9.4";"CLP";"2026-04-13";""
"Argentina";"Buenos Aires";"Paseo en barco al atardecer por el Río de la Plata";"https://www.civitatis.com/es/buenos-aires/paseo-barco-atardecer-rio-plata/";"37294.21";"192";"3428";"8.1";"CLP";"2026-04-13";"16.0"
"Argentina";"Buenos Aires";"Paseo en barco por el Río de la Plata hasta La Boca";"https://www.civitatis.com/es/buenos-aires/paseo-barco-rio-plata/";"16994.83";"85";"1713";"7.8";"CLP";"2026-04-13";"1.0"
"Argentina";"Buenos Aires";"Free tour por el barrio de La Recoleta";"https://www.civitatis.com/es/buenos-aires/free-tour-barrio-recoleta/";"0.0";"363";"10234";"9.7";"CLP";"2026-04-13";""
"Argentina";"Buenos Aires";"Excursión a Colonia del Sacramento + Autobús turístico";"https://www.civitatis.com/es/buenos-aires/excursion-colonia-sacramento-autobus-turistico/";"81197.53";"28";"634";"7.1";"CLP";"2026-04-13";"24.0"
"Argentina";"Buenos Aires";"Ferry Colonia Express entre Buenos Aires y Colonia del Sacramento";"https://www.civitatis.com/es/buenos-aires/ferry-colonia-sacramento/";"67979.32";"59";"1264";"8.8";"CLP";"2026-04-13";"24.0"
"Argentina";"Buenos Aires";"Transporte a Montevideo: Ferry + Autobús";"https://www.civitatis.com/es/buenos-aires/excursion-montevideo/";"80253.37";"73";"1328";"8.2";"CLP";"2026-04-13";"24.0"
"Argentina";"Buenos Aires";"Paseo en velero por el río de la Plata con aperitivo";"https://www.civitatis.com/es/buenos-aires/paseo-velero-rio-plata/";"47207.86";"41";"379";"9.9";"CLP";"2026-04-13";"8.0"
"Argentina";"Buenos Aires";"Tour por el Cementerio de la Chacarita";"https://www.civitatis.com/es/buenos-aires/tour-cementerio-chacarita/";"14162.36";"193";"3174";"9.7";"CLP";"2026-04-13";"30.0"
"Argentina";"Buenos Aires";"Cena en The Argentine Experience";"https://www.civitatis.com/es/buenos-aires/cena-taller-cocina-argentina/";"108578.09";"10";"133";"9.6";"CLP";"2026-04-13";""
"Argentina";"Buenos Aires";"Free tour nocturno por Buenos Aires";"https://www.civitatis.com/es/buenos-aires/free-tour-nocturno-buenos-aires/";"0.0";"42";"2099";"9.8";"CLP";"2026-04-13";""
"Argentina";"Buenos Aires";"Free tour por Palermo";"https://www.civitatis.com/es/buenos-aires/free-tour-palermo/";"0.0";"515";"16411";"9.2";"CLP";"2026-04-13";"30.0"
"Argentina";"Buenos Aires";"Free tour por Puerto Madero";"https://www.civitatis.com/es/buenos-aires/free-tour-puerto-madero/";"0.0";"432";"13639";"9.3";"CLP";"2026-04-13";"30.0"
"Argentina";"Buenos Aires";"Visita guiada por San Telmo";"https://www.civitatis.com/es/buenos-aires/visita-guiada-san-telmo/";"9441.57";"921";"13095";"9.3";"CLP";"2026-04-13";"24.0"
"Argentina";"Buenos Aires";"Excursión a Colonia del Sacramento + Alquiler de bicicleta";"https://www.civitatis.com/es/buenos-aires/excursion-colonia-sacramento-alquiler-bicicleta/";"92527.42";"2";"29";"9.0";"CLP";"2026-04-13";"24.0"
"Argentina";"Buenos Aires";"Excursión al Bioparque Temaikèn";"https://www.civitatis.com/es/buenos-aires/excursion-bioparque-temaiken/";"92527.42";"42";"445";"9.1";"CLP";"2026-04-13";"18.0"
"Argentina";"Buenos Aires";"Tour de Maradona por Buenos Aires";"https://www.civitatis.com/es/buenos-aires/tour-diego-maradona/";"118019.66";"12";"93";"9.8";"CLP";"2026-04-13";"12.0"
"Argentina";"Buenos Aires";"Entradas para el espectáculo Ellas son tango";"https://www.civitatis.com/es/buenos-aires/entradas-ellas-son-tango/";"30673.59";"1";"24";"10.0";"CLP";"2026-04-13";""
"Argentina";"Buenos Aires";"Clase privada de tango";"https://www.civitatis.com/es/buenos-aires/clase-privada-tango/";"66091.01";"15";"96";"10.0";"CLP";"2026-04-13";"24.0"
"Argentina";"Buenos Aires";"Espectáculo de tango en Esquina Homero Manzi";"https://www.civitatis.com/es/buenos-aires/espectaculo-tango-homero-manzi/";"51928.65";"6";"88";"10.0";"CLP";"2026-04-13";"5.0"
"Argentina";"Buenos Aires";"Tour de los misterios y leyendas del Sur de Buenos Aires";"https://www.civitatis.com/es/buenos-aires/tour-misterios-sur-buenos-aires/";"16050.67";"40";"624";"8.9";"CLP";"2026-04-13";"3.0"
"Argentina";"Buenos Aires";"Tour por las librerías de Buenos Aires";"https://www.civitatis.com/es/buenos-aires/tour-librerias-buenos-aires/";"29504.91";"61";"465";"9.4";"CLP";"2026-04-13";"12.0"
"Argentina";"Buenos Aires";"Buenos Aires, Teatro Colón y museo MALBA";"https://www.civitatis.com/es/buenos-aires/teatro-colon-museo-malba/";"43261.28";"37";"279";"9.2";"CLP";"2026-04-13";"18.0"
