"pais";"destino";"actividad";"url_actividad";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan";"cutoff"
"Brasil";"Río de Janeiro";"Tour de Río de Janeiro al completo con subida al Cristo Redentor en minibús";"https://www.civitatis.com/es/rio-de-janeiro/tour-completo-rio-janeiro/";"101525.73";"4485";"52016";"8.5";"CLP";"2026-04-13";"10.0"
"Brasil";"Río de Janeiro";"Tour por la favela de Rocinha";"https://www.civitatis.com/es/rio-de-janeiro/tour-favela/";"47807.44";"499";"10316";"9.5";"CLP";"2026-04-13";""
"Brasil";"Río de Janeiro";"Tour por el Cristo Redentor y el Pan de Azúcar";"https://www.civitatis.com/es/rio-de-janeiro/tour-corcovado-pan-azucar/";"92697.4";"497";"12253";"8.4";"CLP";"2026-04-13";"24.0"
"Brasil";"Río de Janeiro";"Atardecer en el Pan de Azúcar + Tour por Río y el Cristo Redentor";"https://www.civitatis.com/es/rio-de-janeiro/tour-atardecer-pan-azucar/";"127599.6";"241";"2757";"8.6";"CLP";"2026-04-13";""
"Brasil";"Río de Janeiro";"Excursión a Arraial do Cabo";"https://www.civitatis.com/es/rio-de-janeiro/excursion-arraial-cabo/";"52969.94";"287";"9681";"7.8";"CLP";"2026-04-13";"12.0"
"Brasil";"Río de Janeiro";"Paseo en helicóptero por el Cristo Redentor";"https://www.civitatis.com/es/rio-de-janeiro/paseo-helicoptero-cristo-redentor/";"244832.91";"0";"137";"0.0";"CLP";"2026-04-13";"2.0"
"Brasil";"Río de Janeiro";"Traslados en Río de Janeiro";"https://www.civitatis.com/es/rio-de-janeiro/traslados/";"20272.69";"2834";"96852";"8.5";"CLP";"2026-04-13";""
"Brasil";"Río de Janeiro";"Entrada a Roxy Dinner Show";"https://www.civitatis.com/es/rio-de-janeiro/entrada-roxy-dinner-show/";"74637.28";"71";"1068";"9.7";"CLP";"2026-04-13";"2.0"
"Brasil";"Río de Janeiro";"Senderismo por las cuevas y cascadas del Parque Nacional de Tijuca";"https://www.civitatis.com/es/rio-de-janeiro/senderismo-cuevas-cascadas-tijuca/";"55789.48";"108";"956";"9.6";"CLP";"2026-04-13";"2.0"
"Brasil";"Río de Janeiro";"Tour de Río de Janeiro al completo con subida al Cristo Redentor en tren";"https://www.civitatis.com/es/rio-de-janeiro/tour-rio-cristo-redentor-tren/";"158133.03";"18";"338";"9.1";"CLP";"2026-04-13";""
