"pais";"destino";"actividad";"url_actividad";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan";"cutoff"
"Chile";"Santiago de Chile";"Excursión a Valparaíso y Viña del Mar";"https://www.civitatis.com/es/santiago-de-chile/excursion-valparaiso-vina-del-mar/";"36440.0";"1942";"28160";"8.2";"CLP";"2026-04-13";"18.0"
"Chile";"Santiago de Chile";"Excursión al Cajón del Maipo en grupo reducido";"https://www.civitatis.com/es/santiago-de-chile/excursion-cajon-maipo-grupo-reducido/";"38000.0";"327";"4758";"8.3";"CLP";"2026-04-13";"12.0"
"Chile";"Santiago de Chile";"Tour panorámico por Santiago";"https://www.civitatis.com/es/santiago-de-chile/tour-panoramico-santiago/";"41340.0";"351";"3875";"8.8";"CLP";"2026-04-13";"18.0"
"Chile";"Santiago de Chile";"Estación de esquí El Portillo, Laguna del Inca y Viña San Esteban";"https://www.civitatis.com/es/santiago-de-chile/estacion-esqui-portillo-laguna-inca/";"60312.77";"201";"2691";"8.8";"CLP";"2026-04-13";"6.0"
"Chile";"Santiago de Chile";"Excursión a la Viña Concha y Toro";"https://www.civitatis.com/es/santiago-de-chile/excursion-vina-concha-toro/";"86000.0";"489";"5414";"8.5";"CLP";"2026-04-13";"18.0"
"Chile";"Santiago de Chile";"Traslados en Santiago de Chile";"https://www.civitatis.com/es/santiago-de-chile/traslados/";"39654.6";"1264";"28003";"8.9";"CLP";"2026-04-13";""
"Chile";"Santiago de Chile";"Visita guiada por Santiago";"https://www.civitatis.com/es/santiago-de-chile/visita-guiada-santiago/";"15000.0";"233";"2342";"9.5";"CLP";"2026-04-13";"1.0"
"Chile";"Santiago de Chile";"Free tour por Santiago";"https://www.civitatis.com/es/santiago-de-chile/free-tour-santiago/";"0.0";"2553";"53674";"9.4";"CLP";"2026-04-13";"3.0"
"Chile";"Santiago de Chile";"Excursión al Cajón del Maipo";"https://www.civitatis.com/es/santiago-de-chile/tour-cajon-maipo-embalse-yeso/";"60000.0";"706";"11071";"8.1";"CLP";"2026-04-13";"3.0"
"Chile";"Santiago de Chile";"Excursión a la Viña Undurraga";"https://www.civitatis.com/es/santiago-de-chile/excursion-vina-undurraga/";"54340.0";"73";"778";"8.7";"CLP";"2026-04-13";"18.0"
"Chile";"Santiago de Chile";"Visita a las bodegas de Santa Rita";"https://www.civitatis.com/es/santiago-de-chile/tour-bodegas-santa-rita/";"59980.0";"71";"1038";"8.3";"CLP";"2026-04-13";"18.0"
"Chile";"Santiago de Chile";"Excursión a las termas de Colina y el embalse El Yeso";"https://www.civitatis.com/es/santiago-de-chile/excursion-termas-colina-embalse-yeso/";"103662.89";"18";"293";"9.2";"CLP";"2026-04-13";"18.0"
"Chile";"Santiago de Chile";"Excursión al viñedo Alyan al atardecer";"https://www.civitatis.com/es/santiago-de-chile/excursion-vinedo-alyan-atardecer/";"133253.94";"57";"1211";"9.1";"CLP";"2026-04-13";"10.0"
"Chile";"Santiago de Chile";"Excursión al Parque Tricao y Viña Undurraga";"https://www.civitatis.com/es/santiago-de-chile/excursion-isla-negra-parque-tricao/";"127000.0";"1";"14";"10.0";"CLP";"2026-04-13";"10.0"
"Chile";"Santiago de Chile";"Tour del vino Casillero del Diablo en la Viña Concha y Toro + Cena";"https://www.civitatis.com/es/santiago-de-chile/tour-vino-casillero-diablo/";"179000.0";"4";"52";"9.5";"CLP";"2026-04-13";"5.0"
"Chile";"Santiago de Chile";"Tour en bicicleta por Santiago";"https://www.civitatis.com/es/santiago-de-chile/tour-bicicleta-santiago/";"39654.6";"18";"154";"9.6";"CLP";"2026-04-13";"18.0"
"Chile";"Santiago de Chile";"Visita a la viña Casas del Bosque";"https://www.civitatis.com/es/santiago-de-chile/visita-vina-casas-del-bosque/";"99000.0";"0";"60";"0.0";"CLP";"2026-04-13";"24.0"
"Chile";"Santiago de Chile";"Free tour por el exterior de los museos y palacios de Santiago";"https://www.civitatis.com/es/santiago-de-chile/free-tour-museos-palacios-santiago/";"0.0";"406";"11396";"9.6";"CLP";"2026-04-13";""
"Chile";"Santiago de Chile";"Tour por el cerro San Cristóbal";"https://www.civitatis.com/es/santiago-de-chile/tour-cerro-san-cristobal/";"43431.23";"59";"735";"9.8";"CLP";"2026-04-13";"6.0"
"Chile";"Santiago de Chile";"Autobús turístico de Santiago de Chile";"https://www.civitatis.com/es/santiago-de-chile/autobus-turistico-santiago-chile/";"53000.0";"25";"800";"9.4";"CLP";"2026-04-13";"10.0"
"Chile";"Santiago de Chile";"Excursión al Valle Nevado al atardecer";"https://www.civitatis.com/es/santiago-de-chile/excursion-valle-nevado-atardecer/";"79349.23";"37";"590";"8.6";"CLP";"2026-04-13";"8.0"
"Chile";"Santiago de Chile";"Visita guiada por Sanhattan";"https://www.civitatis.com/es/santiago-de-chile/visita-guiada-sanhattan/";"36822.13";"2";"20";"10.0";"CLP";"2026-04-13";""
"Chile";"Santiago de Chile";"Excursión al Parque Aconcagua";"https://www.civitatis.com/es/santiago-de-chile/excursion-aconcagua/";"290000.0";"22";"239";"9.2";"CLP";"2026-04-13";"24.0"
"Chile";"Santiago de Chile";"Visita a la viña Haras de Pirque";"https://www.civitatis.com/es/santiago-de-chile/visita-vina-haras-de-pirque/";"78000.0";"8";"175";"7.8";"CLP";"2026-04-13";"24.0"
"Chile";"Santiago de Chile";"Excursión a las termas de Valle de Colina";"https://www.civitatis.com/es/santiago-de-chile/excursion-termas-valle-colina/";"65000.0";"46";"451";"8.0";"CLP";"2026-04-13";"12.0"
"Chile";"Santiago de Chile";"Excursión a Isla Negra y San Alfonso del Mar";"https://www.civitatis.com/es/santiago-de-chile/isla-negra-algarrobo-vina-indomita/";"150000.0";"9";"144";"8.4";"CLP";"2026-04-13";"9.0"
"Chile";"Santiago de Chile";"Excursión al Parque Safari de Rancagua";"https://www.civitatis.com/es/santiago-de-chile/excursion-parque-safari-rancagua/";"106678.54";"10";"858";"9.4";"CLP";"2026-04-13";"24.0"
"Chile";"Santiago de Chile";"Tour por Santiago + Teleférico del cerro San Cristóbal";"https://www.civitatis.com/es/santiago-de-chile/tour-santiago-teleferico-san-cristobal/";"100000.0";"62";"646";"8.9";"CLP";"2026-04-13";"9.0"
"Chile";"Santiago de Chile";"Tour por Santiago + Museo Histórico Nacional";"https://www.civitatis.com/es/santiago-de-chile/tour-santiago-museo-historico-nacional/";"84974.16";"1";"34";"10.0";"CLP";"2026-04-13";"24.0"
"Chile";"Santiago de Chile";"Tour de la dictadura de Pinochet";"https://www.civitatis.com/es/santiago-de-chile/tour-dictadura-pinochet/";"90000.0";"27";"255";"7.7";"CLP";"2026-04-13";"24.0"
"Chile";"Santiago de Chile";"Free tour por el barrio Yungay";"https://www.civitatis.com/es/santiago-de-chile/free-tour-barrio-yungay/";"0.0";"418";"7509";"9.5";"CLP";"2026-04-13";"2.0"
"Chile";"Santiago de Chile";"Free tour por Santiago + Cambio de Guardia en el Palacio de La Moneda";"https://www.civitatis.com/es/santiago-de-chile/free-tour-santiago-cambio-guardia/";"0.0";"54";"3185";"9.1";"CLP";"2026-04-13";"12.0"
"Chile";"Santiago de Chile";"Free tour por los mercados de Santiago";"https://www.civitatis.com/es/santiago-de-chile/free-tour-mercados-santiago/";"0.0";"160";"3536";"9.6";"CLP";"2026-04-13";"12.0"
"Chile";"Santiago de Chile";"Visita guiada por el Cementerio General de Santiago";"https://www.civitatis.com/es/santiago-de-chile/visita-guiada-cementerio-general/";"20000.0";"2";"7";"10.0";"CLP";"2026-04-13";"2.0"
"Chile";"Santiago de Chile";"Free tour por el barrio de Providencia";"https://www.civitatis.com/es/santiago-de-chile/free-tour-barrio-providencia/";"0.0";"82";"2144";"9.3";"CLP";"2026-04-13";""
"Chile";"Santiago de Chile";"Tour privado por Santiago de Chile";"https://www.civitatis.com/es/santiago-de-chile/tour-privado-santiago/";"149990.0";"80";"1883";"8.2";"CLP";"2026-04-13";"9.0"
"Chile";"Santiago de Chile";"Tour por Lastarria y el cerro Santa Lucía";"https://www.civitatis.com/es/santiago-de-chile/tour-lastarria-cerro-santa-lucia/";"12746.12";"39";"1343";"9.3";"CLP";"2026-04-13";"12.0"
"Chile";"Santiago de Chile";"Excursión a Isla Negra y Pomaire";"https://www.civitatis.com/es/santiago-de-chile/excursion-isla-negra-pomaire/";"150000.0";"50";"483";"8.6";"CLP";"2026-04-13";"9.0"
"Chile";"Santiago de Chile";"Tour por Patronato y Bellavista";"https://www.civitatis.com/es/santiago-de-chile/tour-patronato-bellavista/";"30590.69";"36";"431";"9.6";"CLP";"2026-04-13";"12.0"
"Chile";"Santiago de Chile";"Excursión privada desde Santiago de Chile";"https://www.civitatis.com/es/santiago-de-chile/excursion-privada-santiago/";"320990.0";"7";"251";"8.9";"CLP";"2026-04-13";"18.0"
"Chile";"Santiago de Chile";"Excursión al Parque Nacional Siete Tazas";"https://www.civitatis.com/es/santiago-de-chile/excursion-parque-nacional-siete-tazas/";"93500.0";"4";"124";"10.0";"CLP";"2026-04-13";"24.0"
