"pais";"destino";"actividad";"url_actividad";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan";"cutoff"
"Colombia";"Cali";"Free tour a pie por Cali";"https://www.civitatis.com/es/cali/free-tour-cali/";"0.0";"328";"14595";"9.1";"CLP";"2026-04-13";"12.0"
"Colombia";"Cali";"Excursión al lago Calima";"https://www.civitatis.com/es/cali/excursion-lago-calima/";"128041.35";"1";"29";"10.0";"CLP";"2026-04-13";"48.0"
"Colombia";"Cali";"Tour panorámico por Cali";"https://www.civitatis.com/es/cali/tour-panoramico-cali/";"74367.45";"32";"325";"9.7";"CLP";"2026-04-13";"12.0"
"Colombia";"Cali";"Tour por Cali y el Cristo Rey";"https://www.civitatis.com/es/cali/tour-cali-cristo-rey/";"75014.12";"4";"118";"8.0";"CLP";"2026-04-13";"24.0"
"Colombia";"Cali";"Traslados en Cali";"https://www.civitatis.com/es/cali/traslados/";"28390.81";"74";"1737";"8.7";"CLP";"2026-04-13";""
"Colombia";"Cali";"Tour por la Comuna 20";"https://www.civitatis.com/es/cali/tour-comuna-20/";"69064.72";"14";"119";"9.1";"CLP";"2026-04-13";"4.0"
"Colombia";"Cali";"Tour del grafiti por Cali";"https://www.civitatis.com/es/cali/tour-grafiti-cali/";"15520.16";"3";"12";"8.7";"CLP";"2026-04-13";"4.0"
"Colombia";"Cali";"Free tour de la salsa y arte urbano por Cali";"https://www.civitatis.com/es/cali/free-tour-salsa-cali/";"0.0";"31";"1634";"8.7";"CLP";"2026-04-13";"12.0"
"Colombia";"Cali";"Free tour gastronómico por la Galería Alameda";"https://www.civitatis.com/es/cali/free-tour-gastronomico-galeria-alameda/";"0.0";"19";"902";"9.4";"CLP";"2026-04-13";"8.0"
"Colombia";"Cali";"Ruta de la salsa en Cali";"https://www.civitatis.com/es/cali/ruta-salsa-cali/";"64667.34";"40";"410";"9.3";"CLP";"2026-04-13";"5.0"
"Colombia";"Cali";"Tour privado por Cali";"https://www.civitatis.com/es/cali/tour-privado-cali/";"100881.06";"13";"451";"9.4";"CLP";"2026-04-13";"12.0"
"Colombia";"Cali";"Excursión a Buga";"https://www.civitatis.com/es/cali/excursion-buga/";"108641.14";"5";"121";"9.6";"CLP";"2026-04-13";"48.0"
"Colombia";"Cali";"Excursión al Parque del Café";"https://www.civitatis.com/es/cali/excursion-parque-cafe/";"103467.75";"0";"189";"0.0";"CLP";"2026-04-13";"48.0"
"Colombia";"Cali";"Excursión a la Reserva Natural El Danubio";"https://www.civitatis.com/es/cali/excursion-reserva-natural-danubio/";"168135.1";"1";"57";"10.0";"CLP";"2026-04-13";"48.0"
"Colombia";"Cali";"Tour por las haciendas de caña de azúcar del Valle del Cauca";"https://www.civitatis.com/es/cali/tour-haciendas-cana-azucar-cali/";"126748.0";"2";"43";"10.0";"CLP";"2026-04-13";"48.0"
"Colombia";"Cali";"Clase de salsa caleña";"https://www.civitatis.com/es/cali/clase-salsa-calena/";"36213.71";"2";"36";"10.0";"CLP";"2026-04-13";"24.0"
"Colombia";"Cali";"Excursión a la Reserva Natural San Cipriano";"https://www.civitatis.com/es/cali/excursion-reserva-natural-san-cipriano/";"142268.16";"6";"120";"7.3";"CLP";"2026-04-13";"24.0"
"Colombia";"Cali";"Excursión a los Farallones de Cali y El Topacio";"https://www.civitatis.com/es/cali/excursion-farallones-cali/";"99136.52";"1";"104";"10.0";"CLP";"2026-04-13";"8.0"
"Colombia";"Cali";"Excursión a Popayán";"https://www.civitatis.com/es/cali/excursion-popayan/";"186241.96";"1";"112";"10.0";"CLP";"2026-04-13";"30"
"Colombia";"Cali";"Tour por la Galería la Alameda y artesanías de Cali";"https://www.civitatis.com/es/cali/tour-galeria-alameda-cali/";"55872.58";"2";"28";"10.0";"CLP";"2026-04-13";"18"
"Colombia";"Cali";"Tour panorámico por Cali + Zoológico";"https://www.civitatis.com/es/cali/tour-cali-zoologico/";"82774.2";"2";"25";"10.0";"CLP";"2026-04-13";"48"
"Colombia";"Cali";"Visita guiada por Cali";"https://www.civitatis.com/es/cali/visita-guiada-cali/";"46560.49";"8";"35";"8.5";"CLP";"2026-04-13";"24"
"Colombia";"Cali";"Avistamiento de aves en Cali";"https://www.civitatis.com/es/cali/avistamiento-aves-cali/";"82774.2";"0";"18";"0.0";"CLP";"2026-04-13";"48"
"Colombia";"Cali";"Tour por Cali + Clase de salsa caleña";"https://www.civitatis.com/es/cali/tour-cali-clase-salsa/";"80187.51";"1";"19";"10.0";"CLP";"2026-04-13";"24"
"Colombia";"Cali";"Pub Crawl ¡Tour de fiesta por Cali!";"https://www.civitatis.com/es/cali/pub-crawl-cali/";"46560.49";"0";"29";"0.0";"CLP";"2026-04-13";"2"
"Colombia";"Cali";"Excursión al cañón del río Achincayá";"https://www.civitatis.com/es/cali/excursion-canon-rio-achincaya/";"168135.1";"0";"11";"0.0";"CLP";"2026-04-13";"48"
"Colombia";"Cali";"Senderismo por la cascada Manto de la Virgen";"https://www.civitatis.com/es/cali/senderismo-cascada-manto-virgen/";"100881.06";"0";"10";"0.0";"CLP";"2026-04-13";"48"
"Colombia";"Cali";"Tour de compras por los outlets de Cali";"https://www.civitatis.com/es/cali/tour-compras-outlets-cali/";"86654.24";"1";"10";"10.0";"CLP";"2026-04-13";"48"
"Colombia";"Cali";"Excursión al mercado indígena de Silvia";"https://www.civitatis.com/es/cali/excursion-mercado-indigena-silvia/";"186241.96";"0";"31";"0.0";"CLP";"2026-04-13";"48"
"Colombia";"Cali";"Tour de la cultura colombiana";"https://www.civitatis.com/es/cali/tour-cultura-colombiana/";"129334.69";"0";"14";"0.0";"CLP";"2026-04-13";"4"
"Colombia";"Cali";"Tour de comida callejera por Cali";"https://www.civitatis.com/es/cali/tour-comida-callejera-cali/";"51733.87";"1";"15";"10.0";"CLP";"2026-04-13";"24"
"Colombia";"Cali";"Excursión al mariposario Andoke + Cristo Rey";"https://www.civitatis.com/es/cali/excursion-mariposario-andoke-cristo-rey/";"82774.2";"0";"3";"0.0";"CLP";"2026-04-13";"30"
"Colombia";"Cali";"Cena y espectáculo de salsa en Cali";"https://www.civitatis.com/es/cali/cena-espectaculo-salsa/";"106054.45";"0";"71";"0.0";"CLP";"2026-04-13";"48"
"Colombia";"Cali";"Tour gastronómico por Cali";"https://www.civitatis.com/es/cali/tour-gastronomico-cali/";"77600.81";"1";"8";"8.0";"CLP";"2026-04-13";"24"
"Colombia";"Cali";"Tour en bicicleta por Cali";"https://www.civitatis.com/es/cali/tour-bicicleta-cali/";"43973.79";"0";"1";"0.0";"CLP";"2026-04-13";"48"
"Colombia";"Cali";"Excursión en moto desde Cali";"https://www.civitatis.com/es/cali/excursion-moto-cali/";"194002.04";"0";"0";"0.0";"CLP";"2026-04-13";"12"
"Colombia";"Cali";"Tour en patinete eléctrico por Cali";"https://www.civitatis.com/es/cali/tour-patinete-electrico-cali/";"66219.36";"0";"0";"0.0";"CLP";"2026-04-13";"12"
"Colombia";"Cali";"Transporte entre Cali y Buga o el lago Calima";"https://www.civitatis.com/es/cali/transporte-cali-buga-lago-calima/";"48500.51";"0";"0";"0.0";"CLP";"2026-04-13";"6"
"Colombia";"Cali";"Tour de la cerveza artesanal por Cali";"https://www.civitatis.com/es/cali/tour-cerveza-artesanal-cali/";"46560.49";"0";"9";"0.0";"CLP";"2026-04-13";"2"
"Colombia";"Cali";"Avistamiento de ballenas en bahía Málaga";"https://www.civitatis.com/es/cali/avistamiento-ballenas-buenaventura/";"161409.7";"11";"162";"9.3";"CLP";"2026-04-13";"12"
"Colombia";"Cali";"Tour del café por Cali";"https://www.civitatis.com/es/cali/tour-cafe-cali/";"106054.45";"6";"89";"10.0";"CLP";"2026-04-13";"24"
