"pais";"destino";"actividad";"url_actividad";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan";"cutoff"
"México";"Ciudad de México";"Teotihuacán, Basílica de Guadalupe y Tlatelolco";"https://www.civitatis.com/es/ciudad-de-mexico/tlatelolco-basilica-guadalupe-teotihuacan/";"39783.88";"2376";"46628";"9.2";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Tour por Coyoacán, Xochimilco y la Casa Azul de Frida Kahlo";"https://www.civitatis.com/es/ciudad-de-mexico/tour-coyoacan-xochimilco-casa-azul/";"86835.72";"1447";"48652";"9.1";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Excursión a Puebla, Cholula y Tonanzintla";"https://www.civitatis.com/es/ciudad-de-mexico/excursion-cholula-puebla/";"58235.8";"910";"15188";"8.5";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Excursión a Teotihuacán";"https://www.civitatis.com/es/ciudad-de-mexico/excursion-piramides-teotihuacan/";"39187.26";"1371";"15490";"9.1";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Traslados en Ciudad de México";"https://www.civitatis.com/es/ciudad-de-mexico/traslados/";"43390.74";"1800";"29125";"9.6";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Paseo en globo sobre Teotihuacán";"https://www.civitatis.com/es/ciudad-de-mexico/paseo-globo-teotihuacan/";"132884.15";"1224";"16785";"9.2";"CLP";"2026-04-13";"12.0"
"México";"Ciudad de México";"Entrada a los museos de Frida Kahlo y Diego Rivera Anahuacalli";"https://www.civitatis.com/es/ciudad-de-mexico/entrada-museos-frida-kahlo-diego-rivera/";"35797.36";"83";"4570";"8.7";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Free tour por Ciudad de México";"https://www.civitatis.com/es/ciudad-de-mexico/free-tour-ciudad-mexico/";"0.0";"2980";"141675";"9.5";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Paseo en trajinera por Xochimilco";"https://www.civitatis.com/es/ciudad-de-mexico/paseo-barco-xochimilco/";"45796.21";"148";"1862";"9.3";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Excursión a Taxco y Cuernavaca en grupo reducido";"https://www.civitatis.com/es/ciudad-de-mexico/excursion-taxco-cuernavaca/";"49850.54";"429";"8070";"8.6";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Oferta: Castillo de Chapultepec + Museo de Antropología";"https://www.civitatis.com/es/ciudad-de-mexico/castillo-chapultepec-museo-antropologia/";"47133.19";"263";"4292";"8.9";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Excursión en globo a Teotihuacán + Basílica de Guadalupe";"https://www.civitatis.com/es/ciudad-de-mexico/globo-teotihuacan-basilica-guadalupe/";"206268.75";"30";"267";"9.0";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Lucha libre en la Arena México + Buffet y bebidas";"https://www.civitatis.com/es/ciudad-de-mexico/lucha-libre-buffet-barra-libre/";"89818.84";"23";"407";"8.7";"CLP";"2026-04-13";"12.0"
"México";"Ciudad de México";"Entrada al Museo Nacional de Antropología";"https://www.civitatis.com/es/ciudad-de-mexico/entrada-museo-nacional-antropologia/";"12203.64";"19";"2283";"8.4";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Visita guiada por el Museo Frida Kahlo en grupo reducido";"https://www.civitatis.com/es/ciudad-de-mexico/visita-guiada-museo-frida-kahlo/";"78645.72";"26";"292";"9.2";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Tour privado por Ciudad de México";"https://www.civitatis.com/es/ciudad-de-mexico/tour-privado-ciudad-mexico/";"84974.16";"79";"1778";"9.6";"CLP";"2026-04-13";"24.0"
"México";"Ciudad de México";"Excursión a las grutas de Tolantongo";"https://www.civitatis.com/es/ciudad-de-mexico/excursion-grutas-tolantongo/";"89905.62";"152";"3010";"8.8";"CLP";"2026-04-13";""
"México";"Ciudad de México";"Tour por Xochimilco, Coyoacán y la Casa Roja de Frida Kahlo";"https://www.civitatis.com/es/ciudad-de-mexico/xochimilco-coyoacan-casa-roja-frida-kahlo/";"81357.64";"10";"132";"9.6";"CLP";"2026-04-13";""
