"pais";"destino";"actividad";"url_actividad";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan";"cutoff"
"Perú";"Lima";"Excursión a Ica y Huacachina + Islas Ballestas";"https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/";"63251.05";"920";"11819";"8.6";"CLP";"2026-04-13";"10.0"
"Perú";"Lima";"Free tour por Lima";"https://www.civitatis.com/es/lima/free-tour-lima/";"0.0";"2468";"137191";"9.1";"CLP";"2026-04-13";"6.0"
"Perú";"Lima";"Excursión a Pachacamac";"https://www.civitatis.com/es/lima/excursion-pachacamac/";"40021.68";"253";"1613";"9.1";"CLP";"2026-04-13";"11.0"
"Perú";"Lima";"Tour por Lima";"https://www.civitatis.com/es/lima/tour-lima/";"29666.42";"326";"3968";"8.5";"CLP";"2026-04-13";"5.0"
"Perú";"Lima";"Traslados en Lima";"https://www.civitatis.com/es/lima/traslados/";"17938.98";"1176";"22017";"9.1";"CLP";"2026-04-13";""
"Perú";"Lima";"Free tour por Barranco";"https://www.civitatis.com/es/lima/free-tour-barranco/";"0.0";"866";"24655";"9.0";"CLP";"2026-04-13";"3.0"
"Perú";"Lima";"Tour de Lima al completo con entradas";"https://www.civitatis.com/es/lima/tour-lima-completo/";"118019.66";"83";"473";"9.8";"CLP";"2026-04-13";"12.0"
"Perú";"Lima";"Autobús entre el aeropuerto y Lima";"https://www.civitatis.com/es/lima/quickllama-airport-shuttle/";"5597.43";"284";"2925";"8.8";"CLP";"2026-04-13";"6.0"
"Perú";"Lima";"Excursión de 2 días a Paracas y Huacachina";"https://www.civitatis.com/es/lima/excursion-2-dias-paracas-huacachina/";"157674.27";"7";"124";"9.1";"CLP";"2026-04-13";"12.0"
"Perú";"Lima";"Tour por Miraflores y Huaca Pucllana";"https://www.civitatis.com/es/lima/tour-miraflores-huaca-pucllana/";"26168.02";"18";"338";"9.6";"CLP";"2026-04-13";"3.0"
"Perú";"Lima";"Tour por las iglesias de Lima";"https://www.civitatis.com/es/lima/tour-iglesias-lima/";"26168.02";"8";"98";"9.8";"CLP";"2026-04-13";"3.0"
"Perú";"Lima";"Taller de ceviche en Lima";"https://www.civitatis.com/es/lima/taller-ceviche-lima/";"42487.08";"32";"302";"9.4";"CLP";"2026-04-13";"11.0"
"Perú";"Lima";"Excursión a las islas Ballestas y Huacachina + Vuelo sobre las Líneas de Nazca";"https://www.civitatis.com/es/lima/excursion-ica-vuelo-lineas-nazca/";"519286.54";"7";"299";"8.3";"CLP";"2026-04-13";"3.0"
"Perú";"Lima";"Free tour nocturno por Lima + Circuito Mágico del Agua";"https://www.civitatis.com/es/lima/free-tour-nocturno-circuito-magico-agua/";"0.0";"511";"12600";"8.1";"CLP";"2026-04-13";"12.0"
"Perú";"Lima";"Tour privado por Lima";"https://www.civitatis.com/es/lima/tour-privado-lima/";"101024.83";"99";"1870";"9.3";"CLP";"2026-04-13";"3.0"
"Perú";"Lima";"¿Escala en Lima? Tour privado desde el aeropuerto";"https://www.civitatis.com/es/lima/tour-escala-lima/";"175759.56";"19";"326";"9.6";"CLP";"2026-04-13";"6.0"
"Perú";"Lima";"Free tour por Miraflores";"https://www.civitatis.com/es/lima/free-tour-miraflores/";"0.0";"117";"8751";"8.7";"CLP";"2026-04-13";"4.0"
"Perú";"Lima";"Vuelo sobre las Líneas de Nazca";"https://www.civitatis.com/es/lima/vuelo-lineas-nazca/";"165227.53";"16";"264";"6.9";"CLP";"2026-04-13";"48.0"
"Perú";"Lima";"Excursión a las islas Ballestas y la Reserva Nacional de Paracas";"https://www.civitatis.com/es/lima/islas-ballestas-reserva-nacional-paracas/";"93471.57";"7";"206";"8.0";"CLP";"2026-04-13";"36.0"
"Perú";"Lima";"Pub Crawl ¡Tour de fiesta por Lima!";"https://www.civitatis.com/es/lima/pub-crawl-lima/";"13643.07";"23";"315";"7.7";"CLP";"2026-04-13";"2.0"
"Perú";"Lima";"Tour por Barranco y Callao";"https://www.civitatis.com/es/lima/tour-barranco-callao/";"45319.55";"42";"260";"9.4";"CLP";"2026-04-13";"24.0"
"Perú";"Lima";"Tour por los mercados de Lima con degustación";"https://www.civitatis.com/es/lima/tour-mercados-lima-degustacion/";"51928.65";"18";"143";"9.6";"CLP";"2026-04-13";"12.0"
"Perú";"Lima";"Paseo en lancha rápida por las Islas Palomino + Nado con lobos marinos";"https://www.civitatis.com/es/lima/paseo-lancha-islas-palomino/";"70811.8";"72";"741";"9.5";"CLP";"2026-04-13";"12.0"
"Perú";"Lima";"Tour panorámico por Lima + Entrada al convento de Santo Domingo";"https://www.civitatis.com/es/lima/tour-panoramico-lima/";"33045.5";"111";"1227";"8.3";"CLP";"2026-04-13";"45.0"
"Perú";"Lima";"Tour en bicicleta por el barrio bohemio y el Morro de Chorrillos";"https://www.civitatis.com/es/lima/tour-bicicleta-barrio-bohemio-chorrillos/";"23789.11";"11";"75";"10.0";"CLP";"2026-04-13";"6.0"
"Perú";"Lima";"Tour por el Museo Larco Herrera y Huaca Pucllana";"https://www.civitatis.com/es/lima/tour-museo-larco-huaca-pucllana/";"65146.85";"4";"63";"8.5";"CLP";"2026-04-13";"24.0"
