destino	pais	actividad	precio	moneda	rating	viajeros	descripcion	operador	email	telefono	direccion	url_actividad	fecha_scan													
San Félix	Colombia	Excursión a Guatapé + Paseo en barco	147.250	COP	3.673 opiniones	66.350	¿Queréis conocer el pueblo de la eterna primavera? Podéis hacerlo en esta excursión a Guatapé con paseo en barco. Además, os llevaremos a ver la Piedra del Peñol. || || Itinerario || || Nos encontraremos a la hora indicada en el punto de encuentro de Medellín y partiremos hacia el Oriente colombiano. Llegaremos al municipio de Marinilla y haremos una parada para desayunar. || || Nos acercaremos hasta la Piedra del Peñol, un monolito de 220 metros de altura. ¡Desde la cima tendremos Guatapé a nuestros pies! Os dejaremos una hora y media de tiempo libre para que podáis disfrutar de este paraje. || || Después, nos acercaremos al pueblo de Guatapé. Tendréis una hora y media libre para que podáis pasear por la zona del Malecón de Guatapé y la famosa plaza de los Zócalos de Guatapé. ¡Sus casas de colores os conquistarán! || || Os llevaremos también hasta la granja el Alto del Chocho, un lugar que os hará conectar con la majestuosidad del paisaje antioqueño y con la auténtica vibra de su gente. Desde aquí, tendréis unas vistas panorámicas de 360 grados que os dejarán completamente sin aliento mientras conocéis la vida rural de la zona en su máximo esplendor. Además, ¡incluso podréis ver llamas! Luego, repondremos fuerzas con un almuerzo compuesto por platos típicos de la zona. || || Entre diez horas y once horas después del comienzo de la excursión, nos despediremos en el punto de partida. || || Modalidades || || Al reservar, podréis escoger entre las siguientes modalidades: || || Tour sin paseo en barco: en ese caso, realizaremos el tour anteriormente descrito. || Tour con paseo en barco: si escogéis esta opción, tras el almuerzo, subiremos a un barco para dar un paseo por la represa de Guatapé. Durante la travesía podremos observar las ruinas de la famosa Hacienda la Manuela. ¿Sabíais que fue una de las mansiones del narcotraficante Pablo Escobar? ¡La opción más completa! || Cambios en el itinerario || || Debéis tener en cuenta que el orden y las paradas del itinerario, así como las comidas, pueden verse modificadas en función de la disponibilidad del tour. || || Por ejemplo, según la disponibilidad, en lugar de visitar la granja el Alto del Chocho, visitaremos la réplica del Viejo Peñón, un pequeño parque que recrea cómo era el pueblo que había en esta zona antes de quedar inundado por las aguas de la presa en los años 70.	Viaja Medellín	viajamedellin@gmail.com	+57 3003524763	VIAJA MEDELLIN VIP S.A.S | CALLE 40 NO. 38 B 27, Medellín, Antioquia, Colombia	https://www.civitatis.com/es/medellin/excursion-guatape-paseo-barco/	05-02-2026													
Cartagena de Indias	Colombia	Traslados en Cartagena de Indias	26.405	COP	1.275 opiniones	45.370	N/A	No especificado / Único	N/A	N/A	N/A	https://www.civitatis.com/es/cartagena-de-indias/traslados/	04-02-2026													
Medellín	Colombia	Traslados en Medellín	156.513,17	COP	649 opiniones	23.232	N/A	No especificado / Único	N/A	N/A	N/A	https://www.civitatis.com/es/medellin/traslados/	04-02-2026													
San Félix	Colombia	Excursión a Guatapé	142.141,32	COP	1.860 opiniones	23.143	En esta excursión a Guatapé desde Medellín descubriremos la arquitectura colonial de este bonito pueblo y disfrutaremos de las vistas del famoso embalse del Peñol. ¡Os encantará! || || Itinerario || || Nos reuniremos a la hora indicada en el punto de encuentro que elijáis. Saldremos de Medellín en dirección este. Durante el recorrido hasta Guatapé, de aproximadamente dos horas y media, disfrutaremos de los paisajes montañosos del oriente antioqueño. ¡Os fascinará! || || En el camino, realizaremos una parada para tomar un desayuno en el que podréis elegir entre dos opciones y vegetariano y una bebida. Luego, continuaremos hasta la Piedra del Peñol. Se trata de un gigantesco monolito rocoso de más de 200 metros de altura. Dispondréis de aproximadamente una hora y media de tiempo libre para que, aquellos que lo deseen, puedan alcanzar la cima del peñón subiendo una escalera de 740 peldaños. En su cumbre disfrutaréis de unas excelentes panorámicas del embalse del Peñol. || || ¿Se os ha abierto el apetito? Realizaremos una parada en un restaurante cercano para que disfrutéis de un completo almuerzo tradicional en el que podréis escoger entre tres platos diferentes. Con el apetito saciado, disfrutaremos de un paseo en bote rumbero por el embalse del Peñol. Durante 40 minutos, disfrutaréis de un ambiente festivo y musical a bordo mientras admiráis el entorno del lugar, que hará que os llevéis una imagen inolvidable del patrimonio natural de Colombia. || || En la siguiente parada realizaremos un tour a pie por Guatapé. Durante el paseo por este pueblo de origen colonial, conoceremos sus lugares más emblemáticos, como la parroquia de Nuestra Señora del Carmen o la colorida Plaza de los Zócalos. Después, tendréis una hora de tiempo libre para que sigáis explorando la localidad a vuestro antojo. || || Finalizado el tour por Guatapé, emprenderemos el regreso a Medellín tras 12 horas de excursión. || || Almuerzo || || La excursión incluye un almuerzo tradicional. Podréis escoger entre tres opciones diferentes: || || Menú 1: arroz, ensalada, patatas, patacón (plátano frito) y trucha. || Menú 2: incluye los mismos productos que el menú anterior, sustituyendo la trucha por pollo al carbón. || Menú 3: bandeja paisa. || || Si necesitáis un menú vegetariano, debéis indicarlo al guía el día del tour. El menú está compuesto por sopa de frijoles, arroz, ensalada, plátano maduro frito, huevo, aguacate y arepa. || || Todos los platos se sirven con la bebida típica de la región: agua panela con limón, un refresco natural muy popular en Colombia. || || Puntos de encuentro || || A la hora de reservar, podréis elegir entre dos puntos de encuentro: || || Parque del Poblado (Carrera 43a con calle 9): os recogeremos a las 7:00 horas. || Estación de metro Estadio (Carrera 70 con calle 47D): os recogeremos a las 7:30 horas. || Menores de 4 años || || Aunque el tour es gratis para los menores de 4 años, sí deberán abonar un seguro obligatorio de 1,50 € (6.416,80 COP).	Tours Guatape	gary@toursguatape.com	5,73137E+11	Tours Guatape LLC | 12707 W Shadow Hills Dr, Sun City West, Estados Unidos	https://www.civitatis.com/es/medellin/excursion-guatape/	05-02-2026													
Bogotá	Colombia	Traslados en Bogotá	49.626,12	COP	883 opiniones	20.611	N/A	No especificado / Único	N/A	N/A	N/A	https://www.civitatis.com/es/bogota/traslados/	04-02-2026													
Chía	Colombia	Excursión a la Catedral de Sal de Zipaquirá	166.470	COP	932 opiniones	16.804	En esta excursión a la Catedral de Sal de Zipaquirá desde Bogotá descubriremos uno de los monumentos subterráneos más fascinantes del mundo. ¡No os lo podéis perder! || || Itinerario || || Nos reuniremos en el punto de recogida en Bogotá y nos dirigiremos hacia el norte para emprender nuestra excursión a la Catedral de Sal. Tras un trayecto de entre 1,5 y 2 horas, llegaremos al municipio de Zipaquirá. || || Una vez allí, tendréis dos horas de tiempo libre en la Catedral de Sal. El templo se halla construido dentro de una mina salina a 180 metros bajo tierra, siendo, por tanto, una seo única en el mundo. En su interior veréis esculturas y cruces construidas con sal, así como otras tallas de mármol que completan la colección de este entorno tan especial. || || Durante el recorrido por la Catedral de Sal, cuya temperatura no sobrepasa los 15 grados centígrados, conoceréis algunos de sus lugares más destacados, como el Coro, el Viacrucis y los Espejos de Agua, así como la historia de esta construcción. En 2007 fue considerada como la primera de las Siete Maravillas de Colombia debido a su increíble adaptación a la geología del lugar. || || Además, os dejaremos alrededor de una hora de tiempo libre en Zipaquirá para que podáis dar un paseo por su casco histórico, donde encontraréis la catedral de la Santísima Trinidad, construida en piedra, y pintorescos edificios de época colonial. || || Finalmente, emprenderemos la vuelta hacia Bogotá. || || Orden del itinerario || || Tened en cuenta que, por motivos de organización, el orden de las visitas descritas en el itinerario podría variar. || || Idioma y audioguías || || Esta excursión incluye un conductor de habla española, desde la recogida en el punto de encuentro hasta la llegada a Zipaquirá. Sin embargo, la visita al interior de la Catedral de Sal de Zipaquirá se hará solo con una audioguía en español. Además, realizando esta excursión, os evitaréis las colas para adquirir la entrada a la catedral. || || Modalidades || || Al hacer la reserva, podréis elegir entre diferentes modalidades: || || Tour sin entradas ni recogida en el hotel: en este caso, debéis tener en cuenta que tendréis que adquirir las entradas por vuestra cuenta para poder realizar la actividad. || Tour sin recogida en el hotel. || Tour con recogida en el hotel. || || No obstante, debéis tener en cuenta que si elegís cualquier opción sin recogida, durante el proceso de reserva deberéis indicar el punto de encuentro que prefiráis: || || Frente al café Juan Valdez, en el barrio de la Candelaria, a las 8:00 horas. || En el Parque de La 93, a las 9:00 horas.	Bogotá City Bus	info@bogotapass.com	+573214820537 -	Neva Travels SAS | calle 16 N 4 - 67 L11, Bogotá, Colombia	https://www.civitatis.com/es/bogota/excursion-catedral-sal-zipaquira/	05-02-2026													
Turbaco	Colombia	Excursión a las islas del Rosario	396.400	COP	471 opiniones	16.512	En esta excursión a las islas del Rosario desde Cartagena de Indias exploraremos este excepcional entorno del Caribe colombiano y su gran diversidad marina. || || Itinerario || || Os recogeremos a la hora indicada en vuestro hotel de Cartagena de Indias o en el punto de encuentro acordado. Desde ahí, nos dirigiremos hacia el muelle para subir a bordo de una lancha que nos llevará de travesía por la bahía de las Ánimas. Poco a poco nos adentraremos en mar abierto rumbo a esta excursión a las islas del Rosario. || || Durante nuestra travesía, haremos una breve parada para ver el exterior de la fortaleza de San Fernando, en Bocachica. Dejando esta zona atrás, llegaremos a isla Grande, donde se sitúan el conjunto de islas que visitaremos. Allí, tendréis tiempo libre para practicar snorkel y visualizar los numerosos peces de colores. || || Seguidamente, desembarcaremos en la isla Cholón. Aquí os dejaremos una hora de tiempo libre. La siguiente parada será en la playa Blanca de la península de Barú. Os dejaremos otra hora libre para nadar en sus aguas cristalinas. Además, aquí, disfrutaréis de un completo almuerzo. || || El menú podrá incluir distintas especialidades, como mojarra frita (pescado tradicional), pollo a la plancha u otras recetas con arroz, ensalada y bebida. || || Finalmente, tras ocho horas y media de excursión, nos despediremos en el muelle de Bocagrande. || || Tour sin isla Cholón || || A la hora de reservar, y dependiendo de la disponibilidad, podréis escoger el tour sin la isla Cholón. || || En este caso, haremos tres paradas de una hora y media en Isla Grande, Isla Islabela e Isla Marina. En Isla Grande, disfrutaréis además de un reconfortante almuerzo. Al finalizar dichos tiempos, regresaremos al punto de partida, donde nos despediremos entre siete y siete horas y media más tarde. || || Actividades opcionales || || Independientemente de la modalidad seleccionada, durante el paseo en lancha deportiva podréis optar por diferentes actividades opcionales, que se realizan con el personal del acuario de las islas del Rosario: || || Snorkel: es gratis y no incluye el equipo. || Show de tiburones y delfines: tiene un coste de 55.000 COP por persona. || || Al hacer vuestra reserva, debéis indicar si estáis interesados en hacer una de estas actividades opcionales. || || Recogida y punto de encuentro || || Dependiendo de la modalidad seleccionada, el punto de encuentro será el siguiente: || || Tour con isla Cholón en bote: esta actividad comienza en la Marina Todomar. || Tour con isla Cholón en lancha: esta actividad incluye la recogida en los hoteles de Bocagrande, Castillo Grande y El laguito. Si os alojáis en otra zona, nos reuniremos directamente en la Marina Todomar (Cra. 2 #15-364). || Tour sin isla Cholón en lancha: esta actividad comienza en Muelle de La Bodeguita - Puerta 3. || || No obstante, debéis tener en cuenta que en todas las modalidades, el punto final siempre será la Marina Todomar.	Vivamos Colombia Travel	pavapaola@gmail.com	+57 3142839340	VIVAMOS COLOMBIA DMC SAS | MZ H PRIMA LT 11 BRR VILLAGRANDE DE LAS INDIAS, Cartagena, Colombia	https://www.civitatis.com/es/cartagena-de-indias/excursion-islas-rosario/	05-02-2026													
Medellín	Colombia	Excursión a la Hacienda Nápoles	289.000	COP	189 opiniones	12.828	Vivid un día de diversión en el parque temático Hacienda Nápoles, un centro de ocio con zoológico, atracciones acuáticas y hasta un parque jurásico. ¡Os sorprenderá! || || Itinerario || || A la hora indicada, saldremos desde Medellín en dirección a la Hacienda Nápoles. Se trata de una antigua finca del narcotraficante Pablo Escobar, convertida en la actualidad en un parque temático de aventura. || || Una vez lleguemos al centro de ocio, disfrutaremos de un reconfortante desayuno para cargar pilas. A continuación, dispondréis de aproximadamente ocho horas de tiempo libre para disfrutar de todas las instalaciones del parque. || || Por la tarde, nos volveremos a reunir para emprender el regreso al punto de encuentro en Medellín. || || Instalaciones del parque || || En la Hacienda Nápoles podéis disfrutar de las siguientes instalaciones: || || Zoológico: alberga diversos ejemplares de elefantes, rinocerontes, felinos salvajes, cebras y otros grandes mamíferos. || Parque Jurásico: varios esqueletos y reproducciones de dinosaurios y otros animales prehistóricos os permitirán conocer cómo eran los seres vivos hace millones de años. || Mariposario: colección de varias especies de mariposas procedentes de diversas regiones. || Museo Africano: exposición de piezas y objetos representativos de la cultura africana. || || Además, a la hora de hacer vuestra reserva, podréis escoger la modalidad que incluye el acceso a las siguientes atracciones de agua: || || Octopus: un pulpo gigante rodeado de piscinas en el que podréis deslizaros por sus vertiginosos toboganes. || Río Salvaje: una rápida corriente de agua que recorreréis en flotadores de gran tamaño. || Cataratas Victoria: impresionantes cascadas en las que podréis refrescaros con un chapuzón. || Cobras: un vertiginoso tobogán acuático para los más atrevidos. || Puntos de recogida || || A la hora de reservar, deberéis indicar uno de los siguientes puntos de recogida para comenzar el tour: || || Estación Estadio a las 3:45 horas. || Cámara de Comercio Av. Oriental a las 4:10 horas. || Parque del Poblado a las 4:30 horas. || Menores de 3 años || || Los menores de 3 años pueden participar gratis en esta actividad, pero no tienen incluidas las entradas al parque. Podrán acceder al mismo, pero si quieren hacer uso de las atracciones deberán pagar una tarifa adicional en las taquillas, que oscila entre los 36.500 COP y los 50.500 COP.	Turismo En Medellin & Viajes Globo Sas	reservasturismoenmedellin@gmail.com	+57 310 459 61 95	Turismo en Medellín y Viajes y Turismo Globo SAS | Calle 50 # 45 56 IN - 104, Medellín, Colombia	https://www.civitatis.com/es/medellin/excursion-hacienda-napoles/	04-02-2026													
San Félix	Colombia	Tour de Pablo Escobar	157.534	COP	955 opiniones	11.806	¿Plata o plomo? ¿Hasta dónde llega el mito del narco más importante de Colombia? Descubrid con este tour por Medellín los lugares que marcaron la vida de Pablo Escobar. || || Itinerario || || Nuestro tour de Pablo Escobar comenzará en el Parque El Poblado. Desde aquí nos dirigiremos hacia el Edificio Mónaco, antigua residencia del famoso líder del cártel de Medellín. Repasaremos algunos episodios que marcaron la lucha de esta organización por el control del narcotráfico. Su principal rival, el cártel de Cali, perpetró un atentado con coche bomba precisamente junto a este edificio. El objetivo principal era eliminar a Pablo Escobar, pero ese día ni él ni ningún miembro de su familia se encontraba en el bloque de viviendas. || || Después, visitaremos el cementerio Montesacro, donde la tumba de Pablo Escobar es una de las más visitadas del camposanto. Allí, conoceremos algunas anécdotas que han servido de inspiración para la serie Narcos. || || Continuamos el tour visitando el icónico Barrio de Pablo Escobar. En el año de 1983, El patrón del mal decidió lanzar su carrera política para así tener el control sobre las leyes del país, pero se encontraba en un complejo proceso de limpiar su imagen. Y es que la prensa señalaba a Escobar como un peligroso narcotraficante. Pablo decidió llevar a cabo diversas obras benéficas a lo largo de estas calles. ¡Os contaremos toda su historia! || || Pablo Escobar falleció en el año 1993. Nos acercaremos hasta el edificio donde murió y trataremos de arrojar algo de luz sobre las múltiples hipótesis que existen sobre su muerte: ¿Se suicidó? ¿Fue ejecutado por Estados Unidos? ¿Por las fuerzas colombianas? ¿Le traicionaron aquellos que creía leales? || || Finalmente, regresaremos al punto de partida tras cuatro horas de tour. || || Tour de Pablo Escobar + Comuna 13 || || Si queréis conocer más sobre el cártel de Medellín, esta opción es perfecta para vosotros. Durante la primera parte del tour, realizaremos el recorrido anteriormente descrito y dedicado a Pablo Escobar. || || Para completar el tour, recorreremos la Comuna 13, antiguo epicentro de la violencia durante la época del terror del narcotráfico pero que ha sabido reinventarse y convertirse en un lugar en el que el arte, la música y la convivencia se han convertido en los auténticos protagonistas de este barrio de Medellín. || || Terminaremos este tour en el punto de encuentro tras cinco horas de recorrido. || || Tour privado || || Si lo preferís, también podéis realizar el tour privado de Pablo Escobar.	Medellin Trip Colombia	medellintripcolombia@gmail.com	5,73006E+11	MEDELLÍN TRIP COLOMBIA S.A.S | Carrera 91D #72-159, Medellín, Colombia	https://www.civitatis.com/es/medellin/tour-pablo-escobar/	05-02-2026													
Turbaco	Colombia	Tour de Cartagena al completo con entradas	160.435	COP	386 opiniones	11.780	En este tour de Cartagena al completo con entradas visitaremos las principales plazas, calles empedradas de la ciudad colombiana y el fuerte San Felipe. ¡Una ruta muy completa! || || Itinerario || || A la hora indicada pasaremos a recogeros por el punto de encuentro que elijáis y comenzaremos el tour recorriendo las zonas costeras de Cartagena de Indias. Podremos admirar las impresionantes vistas de la bahía y de las playas de arena volcánica. || || Recorreremos los sectores Bocagrande y Castillogrande, donde se encuentran los barrios más exclusivos de la ciudad. Tras pasar por el muelle turístico La Bodeguita, nos acercaremos a la Torre del Reloj, construida en época colonial como entrada a la ciudad amurallada, y pasaremos por el Centro de Convenciones y el barrio de Getsemaní. || || A continuación, visitaremos el convento Santa Cruz de La Popa, ubicado en el punto más alto de la ciudad. Desde aquí, podremos apreciar una increíble vista de toda Cartagena de Indias y lograremos entender la privilegiada ubicación de la ciudad. || || Accederemos también a la fortaleza de San Felipe de Barajas, la más relevante de estas fortificaciones. Muy cerca, admiraremos la estatua de Blas de Lezo, un almirante español que dirigió la defensa de la ciudad frente a los ingleses. || || Nuestro paseo nos llevará por las plazas y calles empedradas de Cartagena mientras descubrimos la historia de una de las ciudades más antiguas de América. Caminaremos junto a las bellas casas coloniales del centro y visitaremos Las Bóvedas. Dispondréis de alrededor de 20 minutos de tiempo libre para recorrer las tiendas de este antiguo almacén militar bajo cuyos soportales se encuentran numerosas tiendas de artesanía y antigüedades y una fábrica de joyas. || || Continuaremos el tour con una caminata por el centro histórico. Pasaremos por el Baluarte de Santo Domingo y atravesaremos la calle de los Estribos y las plazas de Santo Domingo, Bolívar y San Pedro Clavel. || || El recorrido continúa acercándonos a la plaza de la Aduana y, posteriormente, a la plaza de los Coches, desde donde podremos apreciar la Torre del Reloj Público. || || Finalmente, cuatro horas después, daremos por concluida la actividad en el centro histórico de Cartagena de India. || || Recogida || || Al reservar, debéis elegir el hotel o el punto de encuentro donde queréis que pasemos a recogeros, según los indicados a continuación: || || Puntos de Encuentro: || || Las Bóvedas (Shopping mall, Bóveda # 3): a las 8:15 y a las 13:40 horas. || Plaza Santa Teresa: a las 8:20 y a las 13:45 horas. || Centro Comercial NAO: a las 8:30 horas. || Iglesia de la Trinidad: a las 8:25 horas, según disponibilidad. || Institución Universitaria Bellas Artes y Ciencias de Bolívar: a las 8:35 horas, según disponibilidad. || || Recogida en el hotel: || || Zona norte: recogida en hoteles entre las 8:15 y las 8:25 horas (según disponibilidad) y entre las 13:15 a 13:25 horas. || Marbella y Cabrero: recogida en hoteles a las 13:30 horas. || Bocagrande y Laguito: recogida en hoteles entre las 8:40 y las 8:50 horas (según disponibilidad) y entre las 14:00 a 14:20 horas. || Castillogrande: recogida en hoteles entre las 14:00 a 14:20 horas. || || La recogida en las zonas de Manzanillo del Mar y Barú no está incluida. Si estáis alojados en estas zonas, deberéis acudir a uno de los puntos de encuentro indicados.	Guianza Express Sas	tours@guianzaexpresscartagena.com	+57 3002063704	Guianza Express SAS Transportes y Guianzas | Torices Calle 48 13 Cla La Paz, Cartagena, Colombia	https://www.civitatis.com/es/cartagena-de-indias/tour-cartagena-completo/	05-02-2026													
