moneda,pais,destino,actividad,precio_desde_original,precio_real,opiniones,viajeros,url_fuente,fuente,fecha_scan
PEN,Perú,Lima,Excursión a Ica y Huacachina + Islas Ballestas,,219 S/,897 opiniones,11.288 viajeros,https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Free tour por Lima,,¡Gratis!,2.370 opiniones,132.498 viajeros,https://www.civitatis.com/es/lima/free-tour-lima/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Tour por Lima,,106 S/,319 opiniones,3.737 viajeros,https://www.civitatis.com/es/lima/tour-lima/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Free tour por Barranco,,¡Gratis!,828 opiniones,23.167 viajeros,https://www.civitatis.com/es/lima/free-tour-barranco/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Traslados en Lima,,"67,19 S/",1.111 opiniones,20.089 viajeros,https://www.civitatis.com/es/lima/traslados/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Tour de Lima al completo con entradas,,"442,08 S/",74 opiniones,421 viajeros,https://www.civitatis.com/es/lima/tour-lima-completo/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Excursión a Pachacamac,,143 S/,244 opiniones,1.523 viajeros,https://www.civitatis.com/es/lima/excursion-pachacamac/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Tour por Lima + Visita al Museo de Oro del Perú y Armas del Mundo,,"164,50 S/",13 opiniones,109 viajeros,https://www.civitatis.com/es/lima/tour-museo-oro-peru/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Excursión de 2 días a Paracas y Huacachina,,"590,62 S/",6 opiniones,65 viajeros,https://www.civitatis.com/es/lima/excursion-2-dias-paracas-huacachina/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Tour por la Lima colonial + Circuito Mágico del Agua,,185 S/,23 opiniones,188 viajeros,https://www.civitatis.com/es/lima/tour-lima-colonial-circuito-magico-agua/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Tour por Pachacamac + Exhibición de caballos peruanos de paso,,"451,50 S/",10 opiniones,202 viajeros,https://www.civitatis.com/es/lima/exhibicion-caballos-peruanos-paso/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Tour panorámico por Lima + Entrada al convento de Santo Domingo,,"123,78 S/",109 opiniones,1.194 viajeros,https://www.civitatis.com/es/lima/tour-panoramico-lima/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Tour por Miraflores y Huaca Pucllana,,"93,50 S/",16 opiniones,304 viajeros,https://www.civitatis.com/es/lima/tour-miraflores-huaca-pucllana/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Autobús entre el aeropuerto y Lima,,20 S/,276 opiniones,2.816 viajeros,https://www.civitatis.com/es/lima/quickllama-airport-shuttle/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Paseo en lancha rápida por las Islas Palomino + Nado con lobos marinos,,"265,25 S/",71 opiniones,715 viajeros,https://www.civitatis.com/es/lima/paseo-lancha-islas-palomino/,Civitatis,2026-01-30 10:28
PEN,Perú,Lima,Tour por los mercados de Lima con degustación,,"194,51 S/",18 opiniones,132 viajeros,https://www.civitatis.com/es/lima/tour-mercados-lima-degustacion/,Civitatis,2026-01-30 10:28
