moneda,pais,destino,actividad,precio_desde_original,precio_real,opiniones,viajeros,url_fuente,fuente,fecha_scan
CLP,Chile,Santiago de Chile,Visita guiada por Santiago,,15.000 CL$,191 opiniones,1.870 viajeros,https://www.civitatis.com/es/santiago-de-chile/visita-guiada-santiago/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a Valparaíso y Viña del Mar,,36.440 CL$,1.878 opiniones,27.165 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-valparaiso-vina-del-mar/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión al Cajón del Maipo en grupo reducido,,38.000 CL$,281 opiniones,3.978 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-cajon-maipo-grupo-reducido/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Free tour por Santiago,,¡Gratis!,2.423 opiniones,50.221 viajeros,https://www.civitatis.com/es/santiago-de-chile/free-tour-santiago/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour panorámico por Santiago,,41.340 CL$,338 opiniones,3.690 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-panoramico-santiago/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,"Estación de esquí El Portillo, Laguna del Inca y Viña San Esteban","84.085,82 CL$","58.860,08 CL$",191 opiniones,2.523 viajeros,https://www.civitatis.com/es/santiago-de-chile/estacion-esqui-portillo-laguna-inca/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Traslados en Santiago de Chile,,"38.699,48 CL$",1.201 opiniones,25.980 viajeros,https://www.civitatis.com/es/santiago-de-chile/traslados/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Free tour por el barrio Yungay,,¡Gratis!,400 opiniones,7.284 viajeros,https://www.civitatis.com/es/santiago-de-chile/free-tour-barrio-yungay/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a las termas de Colina y el embalse El Yeso,,"75.091,14 CL$",13 opiniones,184 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-termas-colina-embalse-yeso/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour por el Museo de la Memoria y los Derechos Humanos,,"19.349,74 CL$",14 opiniones,117 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-museo-memoria-derechos-humanos/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Free tour por el exterior de los museos y palacios de Santiago,,¡Gratis!,388 opiniones,10.792 viajeros,https://www.civitatis.com/es/santiago-de-chile/free-tour-museos-palacios-santiago/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tarjeta eSIM Civitatis Chile,,"4.607,08 CL$",41 opiniones,821 viajeros,https://www.civitatis.com/es/tarjeta-esim-chile/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a la Viña Concha y Toro,,86.000 CL$,481 opiniones,5.252 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-vina-concha-toro/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour del vino Casillero del Diablo en la Viña Concha y Toro + Cena,,179.000 CL$,4 opiniones,68 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-vino-casillero-diablo/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a la Viña Undurraga,,54.340 CL$,68 opiniones,716 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-vina-undurraga/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Autobús turístico de Santiago de Chile,,44.000 CL$,24 opiniones,691 viajeros,https://www.civitatis.com/es/santiago-de-chile/autobus-turistico-santiago-chile/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour por Santiago + Teleférico del cerro San Cristóbal,,100.000 CL$,62 opiniones,594 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-santiago-teleferico-san-cristobal/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión al viñedo Alyan al atardecer,,"121.126,04 CL$",53 opiniones,1.035 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-vinedo-alyan-atardecer/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión al Cajón del Maipo,,60.000 CL$,704 opiniones,11.009 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-cajon-maipo-embalse-yeso/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour privado por Santiago de Chile,,149.990 CL$,78 opiniones,1.829 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-privado-santiago/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Visita a la viña Casas del Bosque,,99.000 CL$,Sin valorar,50 viajeros,https://www.civitatis.com/es/santiago-de-chile/visita-vina-casas-del-bosque/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a Isla Negra y Pomaire,,150.000 CL$,50 opiniones,473 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-isla-negra-pomaire/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Visita a las bodegas de Santa Rita,,59.980 CL$,68 opiniones,940 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-bodegas-santa-rita/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión al Parque Safari de Rancagua,,"99.071,29 CL$",9 opiniones,785 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-parque-safari-rancagua/,Civitatis,2026-02-02 16:04
