moneda,pais,destino,actividad,precio_desde_original,precio_real,opiniones,viajeros,url_fuente,fuente,fecha_scan
MXN,México,Riviera Maya,Excursión a Chichén Itzá y el cenote Chichi Kan,,1.369 MXN,5.257 opiniones,55.333 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-chichen-itza/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Excursión a Isla Contoy e Isla Mujeres,"3.117,85 MXN","2.650,18 MXN",766 opiniones,10.507 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-contoy-isla-mujeres/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,"Excursión a Chichén Itzá, Cobá y cenote Ik-Kil",,"2.855,88 MXN",1.013 opiniones,8.790 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-chichen-itza-coba-ik-kil/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Excursión a Tulum y Akumal + Snorkel en cenote maya,"2.564,39 MXN","2.179,73 MXN",538 opiniones,6.195 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-tulum-snorkel-cenote/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Excursión a Tulum y Cobá,"1.383,66 MXN","1.176,11 MXN",1.344 opiniones,21.105 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-tulum-coba/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Excursión a Isla Mujeres en catamarán,"1.106,93 MXN","922,44 MXN",1.777 opiniones,51.643 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-isla-mujeres-catamaran/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Entrada a Aqua Nick Riviera Maya,,"3.117,85 MXN",4 opiniones,343 viajeros,https://www.civitatis.com/es/playa-del-carmen/entrada-aqua-nick-riviera-maya/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Excursión a la isla Holbox,,"1.893,75 MXN",821 opiniones,33.895 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-isla-holbox/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Excursión al Río Secreto,,"2.195,41 MXN",105 opiniones,1.065 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-rio-secreto/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Entrada a Xcaret sin colas,,"2.453,51 MXN",103 opiniones,3.609 viajeros,https://www.civitatis.com/es/playa-del-carmen/entrada-xcaret/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Tarjeta eSIM Civitatis México,,"110,69 MXN",80 opiniones,1.601 viajeros,https://www.civitatis.com/es/tarjeta-esim-mexico/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Excursión a Xcaret,,"3.099,22 MXN",485 opiniones,9.746 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-parque-xcaret/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Excursión a Sian Ka’an,,"3.302,34 MXN",156 opiniones,1.883 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-sian-kaan/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Entrada a Jungala Aqua Experience,,"934,70 MXN",20 opiniones,1.167 viajeros,https://www.civitatis.com/es/playa-del-carmen/entrada-jungala-aqua-experience/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Ferry a Cozumel,,"337,42 MXN",71 opiniones,3.201 viajeros,https://www.civitatis.com/es/playa-del-carmen/ferry-cozumel/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Entrada a Xplor,,"2.767,14 MXN",8 opiniones,494 viajeros,https://www.civitatis.com/es/playa-del-carmen/entrada-xplor/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Seguro de viaje Civitatis,,"403,79 MXN",2.904 opiniones,95.919 viajeros,https://www.civitatis.com/es/seguro-viaje/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Excursión a Chichén Itzá y Ek Balam,,"3.047,75 MXN",38 opiniones,376 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-chichen-itza-ek-balam/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Nado con tortugas en la bahía de Akumal,"1.475,90 MXN","1.383,66 MXN",129 opiniones,2.007 viajeros,https://www.civitatis.com/es/playa-del-carmen/nado-tortugas-caleta-yalku/,Civitatis,2026-02-02 16:17
MXN,México,Riviera Maya,Excursión a Cozumel,3.180 MXN,2.703 MXN,40 opiniones,1.116 viajeros,https://www.civitatis.com/es/playa-del-carmen/excursion-cozumel/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,"Teotihuacán, Basílica de Guadalupe y Tlatelolco",815 MXN,652 MXN,2.314 opiniones,45.691 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/tlatelolco-basilica-guadalupe-teotihuacan/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,"Tour por Coyoacán, Xochimilco y la Casa Azul de Frida Kahlo",,1.470 MXN,1.428 opiniones,48.383 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/tour-coyoacan-xochimilco-casa-azul/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Paseo en globo sobre Teotihuacán,,2.450 MXN,1.209 opiniones,16.600 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/paseo-globo-teotihuacan/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,"Excursión a Puebla, Cholula y Tonanzintla",1.030 MXN,927 MXN,882 opiniones,14.856 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/excursion-cholula-puebla/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Excursión a Teotihuacán,850 MXN,"722,50 MXN",1.357 opiniones,15.218 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/excursion-piramides-teotihuacan/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Free tour por Ciudad de México,,¡Gratis!,2.804 opiniones,91.735 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/free-tour-ciudad-mexico/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Traslados en Ciudad de México,,800 MXN,1.751 opiniones,28.208 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/traslados/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Visita guiada por el Museo Frida Kahlo en grupo reducido,,1.399 MXN,23 opiniones,269 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/visita-guiada-museo-frida-kahlo/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Tour privado por Ciudad de México,,"1.660,39 MXN",73 opiniones,1.623 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/tour-privado-ciudad-mexico/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Excursión en globo a Teotihuacán + Basílica de Guadalupe,,3.803 MXN,26 opiniones,235 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/globo-teotihuacan-basilica-guadalupe/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Visita guiada por Ciudad de México,,"295,18 MXN",290 opiniones,6.013 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/visita-guiada-ciudad-de-mexico/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Tarjeta eSIM Civitatis México,,"110,69 MXN",80 opiniones,1.601 viajeros,https://www.civitatis.com/es/tarjeta-esim-mexico/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Excursión a las grutas de Tolantongo,1.850 MXN,1.480 MXN,146 opiniones,2.941 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/excursion-grutas-tolantongo/,Civitatis,2026-02-02 16:17
MXN,México,Ciudad de México,Excursión a Taxco y Cuernavaca en grupo reducido,,1.200 MXN,421 opiniones,7.926 viajeros,https://www.civitatis.com/es/ciudad-de-mexico/excursion-taxco-cuernavaca/,Civitatis,2026-02-02 16:17
