pais;destino;actividad;url_actividad;fecha;pais_usuario
Uruguay;Montevideo;Montevideo guided;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-guided-tour-to-the-national-hat-factory-t1027848/;01/02/2026;Alemania
Uruguay;Montevideo;Aventura;https://www.getyourguide.com/es-es/montevideo-l539/aventura-turistica-escapate-de-montevideo-a-punta-del-este-t404044/;17/01/2025;Estados Unidos
Uruguay;Montevideo;Aventura;https://www.getyourguide.com/es-es/montevideo-l539/aventura-turistica-escapate-de-montevideo-a-punta-del-este-t404044/;06/01/2025;Brasil
Uruguay;Montevideo;Aventura;https://www.getyourguide.com/es-es/montevideo-l539/aventura-turistica-escapate-de-montevideo-a-punta-del-este-t404044/;25/09/2023;El Salvador
Uruguay;Montevideo;Aventura;https://www.getyourguide.com/es-es/montevideo-l539/aventura-turistica-escapate-de-montevideo-a-punta-del-este-t404044/;11/07/2022;Chile
Uruguay;Montevideo;Montevideo recorrido a pie con guia por los lugares de visita obligada;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-recorrido-a-pie-con-guia-por-los-lugares-de-visita-obligada-t708891/;23/03/2026;Reino Unido
Uruguay;Montevideo;Montevideo recorrido a pie con guia por los lugares de visita obligada;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-recorrido-a-pie-con-guia-por-los-lugares-de-visita-obligada-t708891/;13/03/2026;Francia
Uruguay;Montevideo;Montevideo recorrido a pie con guia por los lugares de visita obligada;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-recorrido-a-pie-con-guia-por-los-lugares-de-visita-obligada-t708891/;11/03/2026;Canadá
Uruguay;Montevideo;Montevideo recorrido a pie con guia por los lugares de visita obligada;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-recorrido-a-pie-con-guia-por-los-lugares-de-visita-obligada-t708891/;16/02/2026;Francia
Uruguay;Montevideo;Montevideo recorrido a pie con guia por los lugares de visita obligada;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-recorrido-a-pie-con-guia-por-los-lugares-de-visita-obligada-t708891/;03/02/2026;México
