pais;ciudad_id;tour_id;titulo_referencia;url
Bolivia;santa-cruz-de-la-sierra-l192120;1053568;Tour guiado de comida callejera santa cruz de la sierra;https://www.getyourguide.com/es-es/santa-cruz-de-la-sierra-l192120/tour-guiado-de-comida-callejera-santa-cruz-de-la-sierra-t1053568/
Bolivia;la-paz-l4674;1149057;La paz bolivia senderismo glaciar ventanani;https://www.getyourguide.com/es-es/la-paz-l4674/la-paz-bolivia-senderismo-glaciar-ventanani-t1149057/
Bolivia;colchani-l148320;832236;Excursion de 2 dias al salar de uyuni;https://www.getyourguide.com/es-es/colchani-l148320/excursion-de-2-dias-al-salar-de-uyuni-t832236/
Bolivia;sucre-l2927;1038975;Detras;https://www.getyourguide.com/es-es/sucre-l2927/detras-tour-a-pie-de-textiles-e-historia-t1038975/
Bolivia;uyuni-l32222;1098333;Salar de uyuni;https://www.getyourguide.com/es-es/uyuni-l32222/salar-de-uyuni-tour-1-dia-con-puesta-de-sol-t1098333/
Bolivia;uyuni-l32222;980625;Uyuni excursion de 2 dias con cementerio de;https://www.getyourguide.com/es-es/uyuni-l32222/uyuni-excursion-de-2-dias-con-cementerio-de-trenes-y-salar-de-uyuni-t980625/
Bolivia;la-paz-l4674;545002;Valle de las animas y canon de palca;https://www.getyourguide.com/es-es/la-paz-l4674/valle-de-las-animas-y-canon-de-palca-t545002/
Bolivia;la-paz-l4674;1162827;Atardecer mistico en el valle de las animas;https://www.getyourguide.com/es-es/la-paz-l4674/atardecer-mistico-en-el-valle-de-las-animas-tour-de-medio-dia-t1162827/
Bolivia;uyuni-l32222;714923;De la paz a la paz excursion al salar de uyuni 1d buses nocturnos;https://www.getyourguide.com/es-es/uyuni-l32222/de-la-paz-a-la-paz-excursion-al-salar-de-uyuni-1d-buses-nocturnos-t714923/
Bolivia;copacabana-bolivia-l139396;625013;Desde puno excursion a copacabana e isla del sol ;https://www.getyourguide.com/es-es/copacabana-bolivia-l139396/desde-puno-excursion-a-copacabana-e-isla-del-sol--t625013/
Bolivia;la-paz-l4674;845372;Salar de uyuni full day dia desde la paz ida y vuelta;https://www.getyourguide.com/es-es/la-paz-l4674/salar-de-uyuni-full-day-dia-desde-la-paz-ida-y-vuelta-t845372/
Bolivia;uyuni-l32222;723572;Uyuni;https://www.getyourguide.com/es-es/uyuni-l32222/uyuni-tour-guiado-por-el-salar-y-puesta-de-sol-con-almuerzo-t723572/
Bolivia;la-paz-l4674;125714;Tour privado por la ciudad de la paz;https://www.getyourguide.com/es-es/la-paz-l4674/tour-privado-por-la-ciudad-de-la-paz-t125714/
Bolivia;uyuni-l32222;801011;Uyuni;https://www.getyourguide.com/es-es/uyuni-l32222/uyuni-tour-de-3-dias-al-salar-con-viaje-a-san-pedro-de-atacama-t801011/
Bolivia;colchani-l148320;774179;Salar de uyuni e isla incahuasi 5 dias;https://www.getyourguide.com/es-es/colchani-l148320/salar-de-uyuni-e-isla-incahuasi-5-dias-t774179/
Bolivia;uyuni-l32222;596326;Desde uyuni salar de uyuni dia completo;https://www.getyourguide.com/es-es/uyuni-l32222/desde-uyuni-salar-de-uyuni-dia-completo-t596326/
Bolivia;potosi-l32503;1054450;Potosi;https://www.getyourguide.com/es-es/potosi-l32503/potosi-tour-guiado-privado-por-la-casa-nacional-de-la-moneda-t1054450/
Bolivia;la-paz-l4674;658282;Excursion a la paz y;https://www.getyourguide.com/es-es/la-paz-l4674/excursion-a-la-paz-y-tiwanaku-t658282/
Bolivia;la-paz-l4674;393477;La paz;https://www.getyourguide.com/es-es/la-paz-l4674/la-paz-tour-privado-de-tiwanaku-y-puma-punku-con-almuerzo-t393477/
Bolivia;uyuni-l32222;250592;Uyuni excursion de lujo de 3 dias en camping;https://www.getyourguide.com/es-es/uyuni-l32222/uyuni-excursion-de-lujo-de-3-dias-en-camping-t250592/
Bolivia;uyuni-l32222;426313;Desde uyuni excursion en jeep por el salar con almuerzo;https://www.getyourguide.com/es-es/uyuni-l32222/desde-uyuni-excursion-en-jeep-por-el-salar-con-almuerzo-t426313/
Bolivia;colchani-l148320;544836;Desde el salar de uyuni excursion de 2 dias a san pedro de atacama;https://www.getyourguide.com/es-es/colchani-l148320/desde-el-salar-de-uyuni-excursion-de-2-dias-a-san-pedro-de-atacama-t544836/
Bolivia;colchani-l148320;1191014;Uyuni;https://www.getyourguide.com/es-es/colchani-l148320/uyuni-tour-de-2-dias-al-salar-con-la-isla-incahuasi-t1191014/
Bolivia;uyuni-l32222;827198;Salar de uyuni atardecer y noche de estrellas privado;https://www.getyourguide.com/es-es/uyuni-l32222/salar-de-uyuni-atardecer-y-noche-de-estrellas-privado-t827198/
