pais;ciudad_id;tour_id;titulo_referencia;url
Colombia;san-agustin-colombia-l131748;1162953;Tour a pie privado por san agustin;https://www.getyourguide.com/es-es/san-agustin-colombia-l131748/tour-a-pie-privado-por-san-agustin-t1162953/
Colombia;salento-colombia-l32675;510609;Excursion privada a una finca cafetera finca de;https://www.getyourguide.com/es-es/salento-colombia-l32675/excursion-privada-a-una-finca-cafetera-finca-de-tu-eleccion-t510609/
Colombia;santa-marta-l32129;789269;Traslado en lancha parque;https://www.getyourguide.com/es-es/santa-marta-l32129/traslado-en-lancha-parque-tayrona-cabo-san-juan-t789269/
Colombia;filandia-l222422;1221718;Filandia paseo a caballo de un dia por los andes y picnic en el rio;https://www.getyourguide.com/es-es/filandia-l222422/filandia-paseo-a-caballo-de-un-dia-por-los-andes-y-picnic-en-el-rio-t1221718/
Colombia;medellin-l1215;948461;Medellin;https://www.getyourguide.com/es-es/medellin-l1215/medellin-tour-privado-de-la-fonda-con-servicio-de-recogida-del-hotel-t948461/
Colombia;santa-marta-l32129;1228388;Santa marta playa blanca city;https://www.getyourguide.com/es-es/santa-marta-l32129/santa-marta-playa-blanca-city-tour-historico-mar-caribe-y-cultura-t1228388/
Colombia;neiva-l153229;820687;Neiva senderismo ruta las golondrinas;https://www.getyourguide.com/es-es/neiva-l153229/neiva-senderismo-ruta-las-golondrinas-t820687/
Colombia;bogota-l361;472925;Excursion de un dia para observar aves en el parque natural de chicaque;https://www.getyourguide.com/es-es/bogota-l361/excursion-de-un-dia-para-observar-aves-en-el-parque-natural-de-chicaque-t472925/
Colombia;cartagena-de-indias-l362;829182;Cartagena;https://www.getyourguide.com/es-es/cartagena-de-indias-l362/cartagena-tour-privado-de-avistamiento-de-aves-en-el-canal-del-dique-t829182/
Colombia;medellin-l1215;1127028;Medellin;https://www.getyourguide.com/es-es/medellin-l1215/medellin-tour-gastronomico-por-la-calle-10-con-degustaciones-y-guia-t1127028/
Colombia;rionegro-l4649;1208364;Medellin aventura en quadsatvs por las montanas colombianas;https://www.getyourguide.com/es-es/rionegro-l4649/medellin-aventura-en-quadsatvs-por-las-montanas-colombianas-t1208364/
Colombia;santa-marta-l32129;950810;Minca magica cascadas;https://www.getyourguide.com/es-es/santa-marta-l32129/minca-magica-cascadas-taller-de-cacao-y-cafe-desde-santa-marta-t950810/
Colombia;san-basilio-de-palenque-l192796;967708;San basilio de palenque raices y rutas la esencia de cartagena;https://www.getyourguide.com/es-es/san-basilio-de-palenque-l192796/san-basilio-de-palenque-raices-y-rutas-la-esencia-de-cartagena-t967708/
Colombia;minca-l176223;774161;Tour de cafe cacao y;https://www.getyourguide.com/es-es/minca-l176223/tour-de-cafe-cacao-y-trekking-por-minca-naturaleza-agricultura-y-gente-t774161/
Colombia;nuqui-l215304;1075231;Nuqui;https://www.getyourguide.com/es-es/nuqui-l215304/nuqui-tour-en-barco-al-parque-utria-archipielagos-y-ballenas-t1075231/
Colombia;medellin-l1215;1229444;Medellin;https://www.getyourguide.com/es-es/medellin-l1215/medellin-tour-de-pablo-escobar-con-guia-t1229444/
Colombia;cartagena-de-indias-l362;990992;Cartagena;https://www.getyourguide.com/es-es/cartagena-de-indias-l362/cartagena-tour-privado-de-2-dias-a-mompox-desde-cartagena-t990992/
Colombia;san-gil-l148478;1208571;San gil rafting en el rio chicamocha;https://www.getyourguide.com/es-es/san-gil-l148478/san-gil-rafting-en-el-rio-chicamocha-t1208571/
Colombia;medellin-l1215;933686;Medellin recorrido guiado de arte callejero por la comuna 13;https://www.getyourguide.com/es-es/medellin-l1215/medellin-recorrido-guiado-de-arte-callejero-por-la-comuna-13-t933686/
Colombia;medellin-l1215;857951;Visita compartida al centro historico y cultural de medellin;https://www.getyourguide.com/es-es/medellin-l1215/visita-compartida-al-centro-historico-y-cultural-de-medellin-t857951/
Colombia;bogota-l361;1250954;;https://www.getyourguide.com/es-es/bogota-l361/-t1250954/
Colombia;cartagena-de-indias-l362;692810;Cartagena increible;https://www.getyourguide.com/es-es/cartagena-de-indias-l362/cartagena-increible-taller-de-chocolate-y-cacao-colombiano-t692810/
Colombia;neiva-l153229;839944;Pitalito;https://www.getyourguide.com/es-es/neiva-l153229/pitalito-traslado-privado-a-pitalito-desde-neiva-t839944/
Colombia;santa-marta-l32129;596828;Desde santa marta paseo en velero al atardecer con 2 bebidas;https://www.getyourguide.com/es-es/santa-marta-l32129/desde-santa-marta-paseo-en-velero-al-atardecer-con-2-bebidas-t596828/
Colombia;cartagena-de-indias-l362;641480;Cartagena del aeropuerto a los hoteles en bocagrande;https://www.getyourguide.com/es-es/cartagena-de-indias-l362/cartagena-del-aeropuerto-a-los-hoteles-en-bocagrande-t641480/
Colombia;medellin-l1215;1178729;Medellin;https://www.getyourguide.com/es-es/medellin-l1215/medellin-tour-experiencia-de-cafe-en-casa-finca-y-teleferico-t1178729/
Colombia;envigado-l145246;453763;Tour privado pablo escobar dias oscuros y la nueva medellin;https://www.getyourguide.com/es-es/envigado-l145246/tour-privado-pablo-escobar-dias-oscuros-y-la-nueva-medellin-t453763/
Colombia;medellin-l1215;451848;Comuna 13 centro de medellin city;https://www.getyourguide.com/es-es/medellin-l1215/comuna-13-centro-de-medellin-city-tour-privado-7h-t451848/
Colombia;guatape-l114702;763453;Canyoning y;https://www.getyourguide.com/es-es/guatape-l114702/canyoning-y-tour-del-cafe-en-una-granja-familiar-local-desde-guatape-t763453/
Colombia;barichara-l209940;1015171;Barichara o san gil excursion de un dia a pescaderito y curiti;https://www.getyourguide.com/es-es/barichara-l209940/barichara-o-san-gil-excursion-de-un-dia-a-pescaderito-y-curiti-t1015171/
Colombia;cartagena-de-indias-l362;159872;Desde cartagena excursion de un dia a las islas del rosario;https://www.getyourguide.com/es-es/cartagena-de-indias-l362/desde-cartagena-excursion-de-un-dia-a-las-islas-del-rosario-t159872/
Colombia;bogota-l361;940986;A 90 min desde bogota;https://www.getyourguide.com/es-es/bogota-l361/a-90-min-desde-bogota-tour-de-cafe-artesanal-aves-cultura-y-guia-local-t940986/
Colombia;cartagena-de-indias-l362;421107;Masterclass de cafe de cartagena;https://www.getyourguide.com/es-es/cartagena-de-indias-l362/masterclass-de-cafe-de-cartagena-tostado-y-elaboracion-artesanales-t421107/
Colombia;medellin-l1215;788016;Tour privado vip en e bike por medellin sitios historicos almuerzo y mas;https://www.getyourguide.com/es-es/medellin-l1215/tour-privado-vip-en-e-bike-por-medellin-sitios-historicos-almuerzo-y-mas-t788016/
Colombia;bogota-l361;1036045;Tour gastronomico por bogota frutas exoticas mercado y almuerzo local;https://www.getyourguide.com/es-es/bogota-l361/tour-gastronomico-por-bogota-frutas-exoticas-mercado-y-almuerzo-local-t1036045/
Colombia;cartagena-de-indias-l362;1014426;Cartagena;https://www.getyourguide.com/es-es/cartagena-de-indias-l362/cartagena-taller-de-acuarela-al-atardecer-con-chicharron-y-cerveza-t1014426/
Colombia;medellin-l1215;968623;Desde medellin espectacular paracaidismo;https://www.getyourguide.com/es-es/medellin-l1215/desde-medellin-espectacular-paracaidismo-t968623/
Colombia;cali-colombia-l1213;515323;Tour por la ciudad de cali por 5 horas;https://www.getyourguide.com/es-es/cali-colombia-l1213/tour-por-la-ciudad-de-cali-por-5-horas-transporte-guia-t515323/
Colombia;cali-colombia-l1213;1139954;Fiesta en la calle y party bus;https://www.getyourguide.com/es-es/cali-colombia-l1213/fiesta-en-la-calle-y-party-bus-t1139954/
Colombia;cartagena-de-indias-l362;960254;Aventura azul;https://www.getyourguide.com/es-es/cartagena-de-indias-l362/aventura-azul-t960254/
Colombia;cartagena-de-indias-l362;1253575;Cartagena;https://www.getyourguide.com/es-es/cartagena-de-indias-l362/cartagena-tour-en-cuatrimoto-en-la-playa-t1253575/
