pais;ciudad_id;tour_id;titulo_referencia;url
Costa Rica;la-fortuna-l1904;413216;La fortuna kayak en el lago arenal con aguas;https://www.getyourguide.com/es-es/la-fortuna-l1904/la-fortuna-kayak-en-el-lago-arenal-con-aguas-termales-y-comida-t413216/
Costa Rica;culebra-costa-rica-l180387;483123;Parque nacional de palo verde;https://www.getyourguide.com/es-es/culebra-costa-rica-l180387/parque-nacional-de-palo-verde-tour-en-barco-por-la-vida-salvaje-t483123/
Costa Rica;la-fortuna-l1904;848939;Costa rica;https://www.getyourguide.com/es-es/la-fortuna-l1904/costa-rica-tour-de-perezosos-y-cafe-chocolate-y-cana-de-azucar-t848939/
Costa Rica;manuel-antonio-l142888;1149172;Manuel antonio;https://www.getyourguide.com/es-es/manuel-antonio-l142888/manuel-antonio-tour-en-bici-de-montana-por-la-selva-y-cascadas-t1149172/
Costa Rica;liberia-costa-rica-l381;932940;Rincon de la vieja pase de un dia 12 en 1 ecoaventura;https://www.getyourguide.com/es-es/liberia-costa-rica-l381/rincon-de-la-vieja-pase-de-un-dia-12-en-1-ecoaventura-t932940/
Costa Rica;la-fortuna-l1904;433152;Desde la fortuna o arenal;https://www.getyourguide.com/es-es/la-fortuna-l1904/desde-la-fortuna-o-arenal-traslado-de-ida-a-alajuela-t433152/
Costa Rica;tamarindo-l995;605087;Medio dia de pesca de bajura;https://www.getyourguide.com/es-es/tamarindo-l995/medio-dia-de-pesca-de-bajura-t605087/
Costa Rica;heredia-l2757;126347;Rafting en el rio sarapiqui;https://www.getyourguide.com/es-es/heredia-l2757/rafting-en-el-rio-sarapiqui-t126347/
Costa Rica;bijagua-de-upala-l215361;391815;Caminata por el rio celeste y vida salvaje de los perezosos;https://www.getyourguide.com/es-es/bijagua-de-upala-l215361/caminata-por-el-rio-celeste-y-vida-salvaje-de-los-perezosos-t391815/
Costa Rica;san-jose-costa-rica-l379;702117;San jose;https://www.getyourguide.com/es-es/san-jose-costa-rica-l379/san-jose-tour-de-la-ciudad-y-mercado-central-con-comida-local-t702117/
Costa Rica;la-fortuna-l1904;1161647;La fortuna santuario de mariposas nocturnas y paseo nocturno;https://www.getyourguide.com/es-es/la-fortuna-l1904/la-fortuna-santuario-de-mariposas-nocturnas-y-paseo-nocturno-t1161647/
Costa Rica;la-fortuna-l1904;634567;Excursion al volcan de la fortuna sendero del silencio;https://www.getyourguide.com/es-es/la-fortuna-l1904/excursion-al-volcan-de-la-fortuna-sendero-del-silencio-t634567/
Costa Rica;bahia-ballena-l194318;630666;Avistamiento de ballenas y delfines en uvita costa rica;https://www.getyourguide.com/es-es/bahia-ballena-l194318/avistamiento-de-ballenas-y-delfines-en-uvita-costa-rica-t630666/
Costa Rica;tortuguero-l179461;592298;Tour nocturno a pie por;https://www.getyourguide.com/es-es/tortuguero-l179461/tour-nocturno-a-pie-por-tortuguero-t592298/
Costa Rica;liberia-costa-rica-l381;666792;Rincon de la vieja cascada de la leona y;https://www.getyourguide.com/es-es/liberia-costa-rica-l381/rincon-de-la-vieja-cascada-de-la-leona-y-tubing-tour-privado-t666792/
Costa Rica;san-jose-costa-rica-l379;465202;Desde san jose combo;https://www.getyourguide.com/es-es/san-jose-costa-rica-l379/desde-san-jose-combo-tirolesa-atv-y-cataratas-t465202/
