pais;ciudad_id;tour_id;titulo_referencia;url
Ecuador;quito-l504;1108584;Tour fotografico a pie en el centro historico de quito;https://www.getyourguide.com/es-es/quito-l504/tour-fotografico-a-pie-en-el-centro-historico-de-quito-t1108584/
Ecuador;canton-de-latacunga-l148367;1159947;Ruta al cotopaxi nieve aventura altura y picnic en el paramo;https://www.getyourguide.com/es-es/canton-de-latacunga-l148367/ruta-al-cotopaxi-nieve-aventura-altura-y-picnic-en-el-paramo-t1159947/
Ecuador;banos-l2262;1103206;Banos;https://www.getyourguide.com/es-es/banos-l2262/banos-tour-de-aventura-por-la-ruta-de-las-8-cascadas-t1103206/
Ecuador;banos-l2262;1228313;Desde quito;https://www.getyourguide.com/es-es/banos-l2262/desde-quito-tour-banos-experience-t1228313/
Ecuador;cuenca-ecuador-l368;72183;Tour de medio dia por la ciudad de cuenca;https://www.getyourguide.com/es-es/cuenca-ecuador-l368/tour-de-medio-dia-por-la-ciudad-de-cuenca-t72183/
Ecuador;quito-l504;1244076;Quito;https://www.getyourguide.com/es-es/quito-l504/quito-tour-de-la-ciudad-de-6-dias-por-quito-cotopaxi-quilotoa-y-banos-t1244076/
Ecuador;quito-l504;1165022;Quito;https://www.getyourguide.com/es-es/quito-l504/quito-teleferico-y-senderismo-en-el-volcan-pichincha-t1165022/
Ecuador;puerto-ayora-l148437;1032224;Galapagos;https://www.getyourguide.com/es-es/puerto-ayora-l148437/galapagos-tortugas-gigantes-tuneles-de-lava-y-crateres-t1032224/
Ecuador;cayambe-l2257;643707;Visita de un dia al mercado indigena de otavalo quitsato y cuicocha;https://www.getyourguide.com/es-es/cayambe-l2257/visita-de-un-dia-al-mercado-indigena-de-otavalo-quitsato-y-cuicocha-t643707/
Ecuador;otavalo-l2259;600878;Otavalo al descubierto un viaje de un dia a;https://www.getyourguide.com/es-es/otavalo-l2259/otavalo-al-descubierto-un-viaje-de-un-dia-a-traves-del-tiempo-y-la-tradicion-t600878/
Ecuador;banos-l2262;523998;Excursion de un dia a cotopaxi y banos en quito con;https://www.getyourguide.com/es-es/banos-l2262/excursion-de-un-dia-a-cotopaxi-y-banos-en-quito-con-todo-incluido-t523998/
Ecuador;guayaquil-l532;792434;Guayaquil experiencia epica en una granja de cacao y;https://www.getyourguide.com/es-es/guayaquil-l532/guayaquil-experiencia-epica-en-una-granja-de-cacao-y-tour-de-la-ciudad-t792434/
Ecuador;quito-l504;1057252;Tour en bicicleta por mindo desde quito visita el choco andino;https://www.getyourguide.com/es-es/quito-l504/tour-en-bicicleta-por-mindo-desde-quito-visita-el-choco-andino-t1057252/
Ecuador;banos-l2262;841706;Tour fotografico en banos;https://www.getyourguide.com/es-es/banos-l2262/tour-fotografico-en-banos-t841706/
Ecuador;puerto-ayora-l148437;764524;Isla pinzon bucea pesca y relajate en el paraiso;https://www.getyourguide.com/es-es/puerto-ayora-l148437/isla-pinzon-bucea-pesca-y-relajate-en-el-paraiso-t764524/
Ecuador;quito-l504;863642;Quito rapel en cascadas cuadrones senderismo y ritual;https://www.getyourguide.com/es-es/quito-l504/quito-rapel-en-cascadas-cuadrones-senderismo-y-ritual-t863642/
Ecuador;quito-l504;1165654;Ruta por kana yaku y cascadas se admiten mascotas;https://www.getyourguide.com/es-es/quito-l504/ruta-por-kana-yaku-y-cascadas-se-admiten-mascotas-t1165654/
Ecuador;guayaquil-l532;72203;Tour de la ciudad de guayaquil;https://www.getyourguide.com/es-es/guayaquil-l532/tour-de-la-ciudad-de-guayaquil-t72203/
Ecuador;puerto-ayora-l148437;1227042;Santa cruz en un dia con;https://www.getyourguide.com/es-es/puerto-ayora-l148437/santa-cruz-en-un-dia-con-traslado-de-llegada-t1227042/
Ecuador;puerto-ayora-l148437;1227281;Islas galapagos;https://www.getyourguide.com/es-es/puerto-ayora-l148437/islas-galapagos-tour-de-kayak-sup-y-esnorquel-en-punta-carrion-t1227281/
Ecuador;puerto-ayora-l148437;768402;Excursion de un dia a santa fe con snorkel playa escondida;https://www.getyourguide.com/es-es/puerto-ayora-l148437/excursion-de-un-dia-a-santa-fe-con-snorkel-playa-escondida-t768402/
Ecuador;pujili-l148366;1091652;Cotopaxi y quilotoa dos joyas andinas;https://www.getyourguide.com/es-es/pujili-l148366/cotopaxi-y-quilotoa-dos-joyas-andinas-tour-de-1-dia-desde-quito-t1091652/
Ecuador;san-cristobal-islas-galapagos-l371;824822;Tour de 9 dias al aire libre en galapagos;https://www.getyourguide.com/es-es/san-cristobal-islas-galapagos-l371/tour-de-9-dias-al-aire-libre-en-galapagos-t824822/
Ecuador;quito-l504;636599;Quito;https://www.getyourguide.com/es-es/quito-l504/quito-tour-a-pie-por-el-casco-antiguo-con-degustacion-de-chocolate-t636599/
Ecuador;puerto-ayora-l148437;658983;Vuelta a galapagos 3 islas 5 dias;https://www.getyourguide.com/es-es/puerto-ayora-l148437/vuelta-a-galapagos-3-islas-5-dias-t658983/
Ecuador;puerto-ayora-l148437;530526;Excursion de un dia a seymour norte;https://www.getyourguide.com/es-es/puerto-ayora-l148437/excursion-de-un-dia-a-seymour-norte-t530526/
Ecuador;otavalo-l2259;1003326;Quito mercado de otavalo lago san pablo y cascada;https://www.getyourguide.com/es-es/otavalo-l2259/quito-mercado-de-otavalo-lago-san-pablo-y-cascada-t1003326/
Ecuador;quito-l504;833085;Desde quito full day mindo;https://www.getyourguide.com/es-es/quito-l504/desde-quito-full-day-mindo-t833085/
Ecuador;banos-l2262;759765;Excursion de un dia a cotopaxi y banos volcan cascadas recogida en quito;https://www.getyourguide.com/es-es/banos-l2262/excursion-de-un-dia-a-cotopaxi-y-banos-volcan-cascadas-recogida-en-quito-t759765/
Ecuador;cuenca-ecuador-l368;1099928;Cuenca en bicicleta historia naturaleza y aperitivos;https://www.getyourguide.com/es-es/cuenca-ecuador-l368/cuenca-en-bicicleta-historia-naturaleza-y-aperitivos-t1099928/
Ecuador;quito-l504;1086484;Quito caminata de 2 dias por el crater de quilotoa y el canon de;https://www.getyourguide.com/es-es/quito-l504/quito-caminata-de-2-dias-por-el-crater-de-quilotoa-y-el-canon-de-toachi-t1086484/
Ecuador;quito-l504;1145370;Degustacion de frutas con mas de 15 sabores exoticos de quito ecuador;https://www.getyourguide.com/es-es/quito-l504/degustacion-de-frutas-con-mas-de-15-sabores-exoticos-de-quito-ecuador-t1145370/
Ecuador;quito-l504;61533;Mitad del mundo;https://www.getyourguide.com/es-es/quito-l504/mitad-del-mundo-tour-de-medio-dia-desde-quito-t61533/
Ecuador;quito-l504;1192744;Casco antiguo de quito cupulas historia y cafe;https://www.getyourguide.com/es-es/quito-l504/casco-antiguo-de-quito-cupulas-historia-y-cafe-t1192744/
Ecuador;quito-l504;601894;Traslado unico de quito del aeropuerto al hotel;https://www.getyourguide.com/es-es/quito-l504/traslado-unico-de-quito-del-aeropuerto-al-hotel-t601894/
Ecuador;quito-l504;749848;Quito;https://www.getyourguide.com/es-es/quito-l504/quito-tour-de-la-ciudad-cultural-con-degustacion-de-chocolate-t749848/
Ecuador;ingapirca-ecuador-l184142;852693;Tour en grupo reducido a las ruinas de ingapirca y el rostro inca desde cuenca;https://www.getyourguide.com/es-es/ingapirca-ecuador-l184142/tour-en-grupo-reducido-a-las-ruinas-de-ingapirca-y-el-rostro-inca-desde-cuenca-t852693/
Ecuador;quito-l504;1199150;Quito excursion de 1 dia al bosque nuboso de choco y mindo;https://www.getyourguide.com/es-es/quito-l504/quito-excursion-de-1-dia-al-bosque-nuboso-de-choco-y-mindo-t1199150/
Ecuador;quito-l504;1129617;Quito excursion de 1 dia a latacunga pujili e isinche con almuerzo;https://www.getyourguide.com/es-es/quito-l504/quito-excursion-de-1-dia-a-latacunga-pujili-e-isinche-con-almuerzo-t1129617/
Ecuador;quito-l504;1186559;Vuelo en parapente desde el;https://www.getyourguide.com/es-es/quito-l504/vuelo-en-parapente-desde-el-teleferico-a-la-carolina-t1186559/
Ecuador;nueva-loja-l5279;885772;Cuyabeno;https://www.getyourguide.com/es-es/nueva-loja-l5279/cuyabeno-tour-de-3-dias-2-noches-en-cuyabeno-t885772/
Ecuador;cuenca-ecuador-l368;1228320;Quito a cuenca visitando cotopaxi quilotoa banos amazonia e ingapirca;https://www.getyourguide.com/es-es/cuenca-ecuador-l368/quito-a-cuenca-visitando-cotopaxi-quilotoa-banos-amazonia-e-ingapirca-t1228320/
Ecuador;banos-l2262;634858;Banos vuelo biplaza en parapente con vistas a los andes;https://www.getyourguide.com/es-es/banos-l2262/banos-vuelo-biplaza-en-parapente-con-vistas-a-los-andes-t634858/
Ecuador;otavalo-l2259;984722;Ecuador;https://www.getyourguide.com/es-es/otavalo-l2259/ecuador-tour-cultural-y-de-observacion-de-aves-desde-quito-t984722/
Ecuador;banos-l2262;1109991;Banos ruta de 8 cascadas con almuerzo y guia;https://www.getyourguide.com/es-es/banos-l2262/banos-ruta-de-8-cascadas-con-almuerzo-y-guia-t1109991/
Ecuador;santa-cruz-ecuador-l214972;912635;Puerto ayora excursion de un dia a las;https://www.getyourguide.com/es-es/santa-cruz-ecuador-l214972/puerto-ayora-excursion-de-un-dia-a-las-tierras-altas-de-santa-cruz-y-snorkel-t912635/
Ecuador;quito-l504;850934;Quito;https://www.getyourguide.com/es-es/quito-l504/quito-teleferico-de-quito-en-el-volcan-pichincha-t850934/
Ecuador;quito-l504;428459;Quito visita guiada nocturna a pie por la ciudad;https://www.getyourguide.com/es-es/quito-l504/quito-visita-guiada-nocturna-a-pie-por-la-ciudad-t428459/
Ecuador;san-cristobal-islas-galapagos-l371;839902;San cristobal excursion 360 islas con snorkel;https://www.getyourguide.com/es-es/san-cristobal-islas-galapagos-l371/san-cristobal-excursion-360-islas-con-snorkel-t839902/
Ecuador;quito-l504;1092625;Quito;https://www.getyourguide.com/es-es/quito-l504/quito-tour-privado-en-bici-por-el-parque-metropolitano-t1092625/
Ecuador;santa-cruz-ecuador-l214972;1151129;Isla isabela campo duro cuevas sucre y mirador;https://www.getyourguide.com/es-es/santa-cruz-ecuador-l214972/isla-isabela-campo-duro-cuevas-sucre-y-mirador-t1151129/
Ecuador;quito-l504;639609;Desde quito excursion al volcan cotopaxi y a la laguna de limpiopungo;https://www.getyourguide.com/es-es/quito-l504/desde-quito-excursion-al-volcan-cotopaxi-y-a-la-laguna-de-limpiopungo-t639609/
Ecuador;quito-l504;1169981;Quito;https://www.getyourguide.com/es-es/quito-l504/quito-tour-por-el-volcan-pululahua-colibries-y-el-ecuador-t1169981/
