pais;ciudad_id;tour_id;titulo_referencia;url
Mexico;cancun-l150;663192;Cancun 2 inmersiones en arrecife en punta cancun para buceadores certificados;https://www.getyourguide.com/es-es/cancun-l150/cancun-2-inmersiones-en-arrecife-en-punta-cancun-para-buceadores-certificados-t663192/
Mexico;puerto-vallarta-l265;743956;Puerto vallarta isla marietas desayuno almuerzo barra libre;https://www.getyourguide.com/es-es/puerto-vallarta-l265/puerto-vallarta-isla-marietas-desayuno-almuerzo-barra-libre-t743956/
Mexico;santa-maria-huatulco-l781;1146333;Manantial sagrado y cocina;https://www.getyourguide.com/es-es/santa-maria-huatulco-l781/manantial-sagrado-y-cocina-tradicional-en-llano-grande-t1146333/
Mexico;puerto-vallarta-l265;692060;Puerto vallarta jungla atv o aventura razer;https://www.getyourguide.com/es-es/puerto-vallarta-l265/puerto-vallarta-jungla-atv-o-aventura-razer-t692060/
Mexico;ensenada-l545;1236099;Aventura en bici electrica por las montanas de baja california;https://www.getyourguide.com/es-es/ensenada-l545/aventura-en-bici-electrica-por-las-montanas-de-baja-california-t1236099/
Mexico;bacalar-l95624;443254;Tour privado de 3 horas en catamaran hobie rapido divertido y lleno de salpicaduras;https://www.getyourguide.com/es-es/bacalar-l95624/tour-privado-de-3-horas-en-catamaran-hobie-rapido-divertido-y-lleno-de-salpicaduras-t443254/
Mexico;playa-del-carmen-l308;675129;Playa descubre el buceo;https://www.getyourguide.com/es-es/playa-del-carmen-l308/playa-descubre-el-buceo-t675129/
Mexico;cancun-l150;871414;Transporte privado desde le blanc spa resort al aeropuerto de cun;https://www.getyourguide.com/es-es/cancun-l150/transporte-privado-desde-le-blanc-spa-resort-al-aeropuerto-de-cun-t871414/
Mexico;puerto-morelos-l112372;439156;Ruta de los cenotes observacion de aves;https://www.getyourguide.com/es-es/puerto-morelos-l112372/ruta-de-los-cenotes-observacion-de-aves-t439156/
Mexico;leon-mexico-l155751;797064;Leon visita guiada por el centro de la ciudad con degustacion de nieve de garrafa;https://www.getyourguide.com/es-es/leon-mexico-l155751/leon-visita-guiada-por-el-centro-de-la-ciudad-con-degustacion-de-nieve-de-garrafa-t797064/
Mexico;teotitlan-del-valle-l135632;1024702;Oaxaca;https://www.getyourguide.com/es-es/teotitlan-del-valle-l135632/oaxaca-tour-guiado-a-monte-alban-arbol-del-tule-y-teotitlan-t1024702/
Mexico;municipio-tuxtla-gutierrez-l2527;838998;Tour las lagunas de montebello y cascadas del chiflon;https://www.getyourguide.com/es-es/municipio-tuxtla-gutierrez-l2527/tour-las-lagunas-de-montebello-y-cascadas-del-chiflon-t838998/
Mexico;municipio-oaxaca-de-juarez-l681;702065;Oaxaca;https://www.getyourguide.com/es-es/municipio-oaxaca-de-juarez-l681/oaxaca-tour-de-1-dia-en-bici-por-la-culebra-cuevas-prehistoricas-t702065/
Mexico;puerto-vallarta-l265;1227011;Elevate por los aires experiencia de parasailing en puerto vallarta;https://www.getyourguide.com/es-es/puerto-vallarta-l265/elevate-por-los-aires-experiencia-de-parasailing-en-puerto-vallarta-t1227011/
Mexico;san-pedro-garza-garcia-l197889;1202646;Via ferrata vertigo aventura extrema en la huasteca;https://www.getyourguide.com/es-es/san-pedro-garza-garcia-l197889/via-ferrata-vertigo-aventura-extrema-en-la-huasteca-t1202646/
Mexico;playa-del-carmen-l308;409386;Riviera maya encuentro con delfines acceso al club de playa y comida;https://www.getyourguide.com/es-es/playa-del-carmen-l308/riviera-maya-encuentro-con-delfines-acceso-al-club-de-playa-y-comida-t409386/
Mexico;tulum-l248;999589;Tulum jaguar park y discoteca de playa con comida y bebidas;https://www.getyourguide.com/es-es/tulum-l248/tulum-jaguar-park-y-discoteca-de-playa-con-comida-y-bebidas-t999589/
Mexico;akumal-l2807;1159178;Akumal;https://www.getyourguide.com/es-es/akumal-l2807/akumal-tour-de-snorkel-y-avistamiento-de-tortugas-t1159178/
