pais;ciudad_id;tour_id;titulo_referencia;url
Paraguay;asuncion-l32308;1110886;Tour de dia completo cataratas del iguazu lado brasileno desde asuncion;https://www.getyourguide.com/es-es/asuncion-l32308/tour-de-dia-completo-cataratas-del-iguazu-lado-brasileno-desde-asuncion-t1110886/
Paraguay;asuncion-l32308;1022398;Asuncion experiencia de vuelo panoramico en avion privado;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-experiencia-de-vuelo-panoramico-en-avion-privado-t1022398/
Paraguay;asuncion-l32308;703025;Asuncion recorrido a pie por los lugares mas destacados con guia;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-recorrido-a-pie-por-los-lugares-mas-destacados-con-guia-t703025/
Paraguay;asuncion-l32308;1127927;Asuncion a foz cataratas de iguazu y;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-a-foz-cataratas-de-iguazu-y-triple-frontera-en-un-dia-t1127927/
Paraguay;ciudad-del-este-l150275;1252240;Desde brasil y argentina;https://www.getyourguide.com/es-es/ciudad-del-este-l150275/desde-brasil-y-argentina-tour-por-las-cataratas-del-iguazu-y-paraguay-t1252240/
Paraguay;paraguari-l221960;1161861;Asuncion;https://www.getyourguide.com/es-es/paraguari-l221960/asuncion-tour-exclusivo-de-arte-sagrado-y-belleza-natural-en-auto-t1161861/
Paraguay;asuncion-l32308;884085;Full day birding;https://www.getyourguide.com/es-es/asuncion-l32308/full-day-birding-tour-rio-manduvira-y-rio-paraguay-t884085/
Paraguay;asuncion-l32308;841347;Desde asuncion visita a la catedral de caacupe y balneario la garza;https://www.getyourguide.com/es-es/asuncion-l32308/desde-asuncion-visita-a-la-catedral-de-caacupe-y-balneario-la-garza-t841347/
Paraguay;ciudad-del-este-l150275;1078201;Vuelo privado de ida y vuelta desde asuncion a ciudad del este;https://www.getyourguide.com/es-es/ciudad-del-este-l150275/vuelo-privado-de-ida-y-vuelta-desde-asuncion-a-ciudad-del-este-t1078201/
Paraguay;asuncion-l32308;1127917;Asuncion ruta del street food asunceno come como un local;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-ruta-del-street-food-asunceno-come-como-un-local-t1127917/
Paraguay;ciudad-del-este-l150275;643753;Foz de iguazu;https://www.getyourguide.com/es-es/ciudad-del-este-l150275/foz-de-iguazu-traslado-al-aeropuerto-privado-t643753/
Paraguay;asuncion-l32308;880901;Desde asuncion excursion a las cascadas del cerro vera con;https://www.getyourguide.com/es-es/asuncion-l32308/desde-asuncion-excursion-a-las-cascadas-del-cerro-vera-con-transporte-en-taxi-t880901/
Paraguay;asuncion-l32308;1124454;Asuncion ruta del lago y la cultura paraguaya en auto;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-ruta-del-lago-y-la-cultura-paraguaya-en-auto-t1124454/
Paraguay;asuncion-l32308;1161852;5 days birding;https://www.getyourguide.com/es-es/asuncion-l32308/5-days-birding-tour-san-rafael-sur-de-paraguay-selva-paranaense-t1161852/
Paraguay;asuncion-l32308;1014179;Asuncion;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-tour-a-pie-con-degustaciones-gastronomicas-t1014179/
Paraguay;ciudad-del-este-l150275;1150817;Puerto iguazu;https://www.getyourguide.com/es-es/ciudad-del-este-l150275/puerto-iguazu-tour-guiado-privado-por-las-cataratas-con-recogida-t1150817/
Paraguay;asuncion-l32308;847422;Paseo por los paredones del cerro vera;https://www.getyourguide.com/es-es/asuncion-l32308/paseo-por-los-paredones-del-cerro-vera-t847422/
Paraguay;asuncion-l32308;1115558;Asuncion;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-tour-a-pie-por-el-centro-de-la-ciudad-t1115558/
Paraguay;asuncion-l32308;477709;Asuncion visita privada personalizada con guia local;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-visita-privada-personalizada-con-guia-local-t477709/
Paraguay;luque-l205935;875839;Asuncion salto cristal paraguay;https://www.getyourguide.com/es-es/luque-l205935/asuncion-salto-cristal-paraguay-t875839/
Paraguay;asuncion-l32308;1126346;Asuncion a ciudad del este aventura en cataratas monday itaipu y shopping;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-a-ciudad-del-este-aventura-en-cataratas-monday-itaipu-y-shopping-t1126346/
Paraguay;asuncion-l32308;1209782;Asuncion;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-tour-a-las-ruinas-jesuiticas-y-playa-de-encarnacion-en-1-dia-t1209782/
Paraguay;ciudad-del-este-l150275;822664;Lo mas destacado de paraguay argentina brasil;https://www.getyourguide.com/es-es/ciudad-del-este-l150275/lo-mas-destacado-de-paraguay-argentina-brasil-t822664/
Paraguay;ciudad-del-este-l150275;630479;Tour en bicicleta por 3 paises en un dia dia completo;https://www.getyourguide.com/es-es/ciudad-del-este-l150275/tour-en-bicicleta-por-3-paises-en-un-dia-dia-completo-t630479/
Paraguay;asuncion-l32308;812484;Asuncion;https://www.getyourguide.com/es-es/asuncion-l32308/asuncion-traslado-al-aeropuerto-en-privado-desdehacia-la-ciudad-de-asuncion-t812484/
