pais;ciudad_id;tour_id;titulo_referencia;url
República Dominicana;puerto-plata-l475;739791;Traslado del aeropuerto de puerto plata a lifestyle;https://www.getyourguide.com/es-es/puerto-plata-l475/traslado-del-aeropuerto-de-puerto-plata-a-lifestyle-t739791/
República Dominicana;punta-cana-l411;816371;Punta cana excursion en buggy con playa de macao y bano en cueva;https://www.getyourguide.com/es-es/punta-cana-l411/punta-cana-excursion-en-buggy-con-playa-de-macao-y-bano-en-cueva-t816371/
República Dominicana;punta-cana-l411;438921;Punta cana;https://www.getyourguide.com/es-es/punta-cana-l411/punta-cana-traslado-al-aeropuerto-en-transporte-privado-t438921/
República Dominicana;bayahibe-l107537;573643;La romana medio dia en quad o buggy 4x4 desde bayahibe;https://www.getyourguide.com/es-es/bayahibe-l107537/la-romana-medio-dia-en-quad-o-buggy-4x4-desde-bayahibe-t573643/
República Dominicana;punta-cana-l411;566772;Punta cana servicio privado de;https://www.getyourguide.com/es-es/punta-cana-l411/punta-cana-servicio-privado-de-traslado-al-aeropuerto-t566772/
República Dominicana;punta-cana-l411;868295;Isla saona desde punta cana aventura en catamaran;https://www.getyourguide.com/es-es/punta-cana-l411/isla-saona-desde-punta-cana-aventura-en-catamaran-t868295/
República Dominicana;santo-domingo-l471;1184548;Punta cana excursion de 1 dia a santo domingo con recogida en el hotel;https://www.getyourguide.com/es-es/santo-domingo-l471/punta-cana-excursion-de-1-dia-a-santo-domingo-con-recogida-en-el-hotel-t1184548/
República Dominicana;bayahibe-l107537;479431;Bayahibe curso padi open water por go dive bayahibe;https://www.getyourguide.com/es-es/bayahibe-l107537/bayahibe-curso-padi-open-water-por-go-dive-bayahibe-t479431/
República Dominicana;punta-cana-l411;1016484;Punta cana;https://www.getyourguide.com/es-es/punta-cana-l411/punta-cana-tour-en-bici-acuatica-con-esnorquel-y-almuerzo-t1016484/
República Dominicana;punta-cana-l411;1242860;Aventura en jet car lamborghini y flyboard;https://www.getyourguide.com/es-es/punta-cana-l411/aventura-en-jet-car-lamborghini-y-flyboard-t1242860/
República Dominicana;punta-cana-l411;831882;Punta cana aventura en;https://www.getyourguide.com/es-es/punta-cana-l411/punta-cana-aventura-en-tirolina-con-servicio-de-recogida-del-hotel-t831882/
República Dominicana;punta-cana-l411;733829;Isla saona;https://www.getyourguide.com/es-es/punta-cana-l411/isla-saona-tour-de-las-4-playas-con-canto-de-la-playa-t733829/
