pais;ciudad_id;tour_id;titulo_referencia;url
Uruguay;montevideo-l539;1027848;Montevideo guided;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-guided-tour-to-the-national-hat-factory-t1027848/
Uruguay;montevideo-l539;708891;Montevideo recorrido a pie con guia por los lugares de visita obligada;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-recorrido-a-pie-con-guia-por-los-lugares-de-visita-obligada-t708891/
Uruguay;montevideo-l539;404044;Aventura;https://www.getyourguide.com/es-es/montevideo-l539/aventura-turistica-escapate-de-montevideo-a-punta-del-este-t404044/
Uruguay;punta-del-este-l739;911925;Punta del este;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-tour-privado-por-lo-mas-destacado-de-isla-gorriti-t911925/
Uruguay;montevideo-l539;1124274;Montevideo cena maridaje de vinos uruguayos en city winery uruguay;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-cena-maridaje-de-vinos-uruguayos-en-city-winery-uruguay-t1124274/
Uruguay;punta-del-este-l739;588963;Privado;https://www.getyourguide.com/es-es/punta-del-este-l739/privado-tour-de-la-ciudad-de-punta-del-este-para-cruceristas-t588963/
Uruguay;canelones-l121095;656100;Bodega castillo viejo visita y cata premium;https://www.getyourguide.com/es-es/canelones-l121095/bodega-castillo-viejo-visita-y-cata-premium-t656100/
Uruguay;montevideo-l539;1050909;En el corazon de montevideo cata guiada de vinos uruguayos de 5 regiones;https://www.getyourguide.com/es-es/montevideo-l539/en-el-corazon-de-montevideo-cata-guiada-de-vinos-uruguayos-de-5-regiones-t1050909/
Uruguay;montevideo-l539;784410;Montevideo paseo en barco para cruceristas;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-paseo-en-barco-para-cruceristas-t784410/
Uruguay;punta-del-este-l739;68913;Descubre uruguay en una escapada de 5 dias;https://www.getyourguide.com/es-es/punta-del-este-l739/descubre-uruguay-en-una-escapada-de-5-dias-t68913/
Uruguay;colonia-del-sacramento-l1111;781402;Desde colonia bodega el legado full experience;https://www.getyourguide.com/es-es/colonia-del-sacramento-l1111/desde-colonia-bodega-el-legado-full-experience-t781402/
Uruguay;colonia-del-sacramento-l1111;637217;Autobus publico de colonia del sacramento a carmelo;https://www.getyourguide.com/es-es/colonia-del-sacramento-l1111/autobus-publico-de-colonia-del-sacramento-a-carmelo-t637217/
Uruguay;montevideo-l539;542988;Excursion a colonia del sacramento desde montevideo;https://www.getyourguide.com/es-es/montevideo-l539/excursion-a-colonia-del-sacramento-desde-montevideo-t542988/
Uruguay;montevideo-l539;1016039;Show vino 360deg uy degustacion premium;https://www.getyourguide.com/es-es/montevideo-l539/show-vino-360deg-uy-degustacion-premium-t1016039/
Uruguay;colonia-del-sacramento-l1111;809024;Hop on hop off colonia y degustacion de vinos con fiambres;https://www.getyourguide.com/es-es/colonia-del-sacramento-l1111/hop-on-hop-off-colonia-y-degustacion-de-vinos-con-fiambres-t809024/
Uruguay;montevideo-l539;591446;Tour de la ciudad de montevideo;https://www.getyourguide.com/es-es/montevideo-l539/tour-de-la-ciudad-de-montevideo-t591446/
Uruguay;montevideo-l539;1005747;Montevideo vibra la magia local en una discoteca bohemia con show en vivo;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-vibra-la-magia-local-en-una-discoteca-bohemia-con-show-en-vivo-t1005747/
Uruguay;montevideo-l539;1088243;Tour privado de la ciudad de montevideo y experiencia;https://www.getyourguide.com/es-es/montevideo-l539/tour-privado-de-la-ciudad-de-montevideo-y-experiencia-tradicional-de-asado-t1088243/
Uruguay;canelones-l121095;565063;Cata de vinos uruguayos en las bodegas pizzorno;https://www.getyourguide.com/es-es/canelones-l121095/cata-de-vinos-uruguayos-en-las-bodegas-pizzorno-t565063/
Uruguay;montevideo-l539;274107;Tour completo de medio dia por montevideo con guia y 6 paradas;https://www.getyourguide.com/es-es/montevideo-l539/tour-completo-de-medio-dia-por-montevideo-con-guia-y-6-paradas-t274107/
Uruguay;colonia-del-sacramento-l1111;1020019;Candombe en colonia experiencia inmersiva con la comunidad local;https://www.getyourguide.com/es-es/colonia-del-sacramento-l1111/candombe-en-colonia-experiencia-inmersiva-con-la-comunidad-local-t1020019/
Uruguay;punta-del-este-l739;295440;Descubre por que nos encanta la colonia wine experience;https://www.getyourguide.com/es-es/punta-del-este-l739/descubre-por-que-nos-encanta-la-colonia-wine-experience-t295440/
Uruguay;montevideo-l539;1118360;Partido de penarol y experiencia en el estadio cds;https://www.getyourguide.com/es-es/montevideo-l539/partido-de-penarol-y-experiencia-en-el-estadio-cds-t1118360/
Uruguay;punta-del-este-l739;1009205;Punta del este;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-tour-de-dia-completo-de-playa-y-cultura-t1009205/
Uruguay;piriapolis-l113597;1075194;Piriapolis;https://www.getyourguide.com/es-es/piriapolis-l113597/piriapolis-tour-por-la-bodega-cerro-del-toro-signature-grapes-t1075194/
Uruguay;montevideo-l539;1073176;Montevideo spinoglio and bouza wineries;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-spinoglio-and-bouza-wineries-tour-with-tasting-t1073176/
Uruguay;montevideo-l539;1075179;Montevideo excursion de un dia al humedal de la macarena con almuerzo;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-excursion-de-un-dia-al-humedal-de-la-macarena-con-almuerzo-t1075179/
Uruguay;montevideo-l539;699210;Bodega santa rosa;https://www.getyourguide.com/es-es/montevideo-l539/bodega-santa-rosa-tour-y-degustacion-gran-cava-t699210/
Uruguay;colonia-del-sacramento-l1111;513837;Experiencia de;https://www.getyourguide.com/es-es/colonia-del-sacramento-l1111/experiencia-de-tour-en-barco-panoramico-al-atardecer-t513837/
Uruguay;carmelo-l1112;876953;Desde colonia;https://www.getyourguide.com/es-es/carmelo-l1112/desde-colonia-tour-grupal-por-bodegas-de-carmelo-t876953/
Uruguay;colonia-del-sacramento-l1111;721166;Tour de vinos a la bodega cerros de san juan almuerzo y;https://www.getyourguide.com/es-es/colonia-del-sacramento-l1111/tour-de-vinos-a-la-bodega-cerros-de-san-juan-almuerzo-y-traslado-t721166/
Uruguay;colonia-del-sacramento-l1111;486406;Desde colonia del sacramento dia completo a carmelo;https://www.getyourguide.com/es-es/colonia-del-sacramento-l1111/desde-colonia-del-sacramento-dia-completo-a-carmelo-t486406/
Uruguay;montevideo-l539;1139892;Montevideo;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-tour-por-los-puntos-destacados-de-la-ciudad-con-recogida-t1139892/
Uruguay;montevideo-l539;748826;Bouza almuerzo bodega;https://www.getyourguide.com/es-es/montevideo-l539/bouza-almuerzo-bodega-t748826/
Uruguay;colonia-del-sacramento-l1111;486353;Traslado privado de colonia a carmelo o al reves;https://www.getyourguide.com/es-es/colonia-del-sacramento-l1111/traslado-privado-de-colonia-a-carmelo-o-al-reves-t486353/
Uruguay;punta-del-este-l739;1069119;Montevideo;https://www.getyourguide.com/es-es/punta-del-este-l739/montevideo-tour-de-la-ciudad-punta-del-este-y-colonia-t1069119/
Uruguay;montevideo-l539;747401;Espectaculo cena el milongon sin;https://www.getyourguide.com/es-es/montevideo-l539/espectaculo-cena-el-milongon-sin-transporte-t747401/
Uruguay;montevideo-l539;984421;City winery el arte del vino en uruguay;https://www.getyourguide.com/es-es/montevideo-l539/city-winery-el-arte-del-vino-en-uruguay-t984421/
