fecha,moneda_base,moneda_destino,tasa_cambio
2026-02-18,USD,CLP,868.24
2026-02-17,USD,ARS,1393.5101798583
2026-02-17,USD,BRL,5.22244061
2026-02-17,USD,COP,3662.2904662707
2026-02-17,USD,MXN,17.1336024632
2026-02-17,USD,PEN,3.3466004018
2026-02-17,USD,CLP,862.91
2026-02-17,CLP,ARS,1.610193682
2026-02-17,CLP,BRL,0.006034503
2026-02-17,CLP,COP,4.231757367
2026-02-17,CLP,MXN,0.019797788
2026-02-17,CLP,PEN,0.003866979
2026-02-16,USD,ARS,1399.2702004794
2026-02-16,USD,BRL,5.2453010455
2026-02-16,USD,COP,3664.4705683867
2026-02-16,USD,MXN,17.1716020823
2026-02-16,USD,PEN,3.3488005411
2026-02-16,USD,CLP,863.5
2026-02-16,CLP,ARS,1.62145848
2026-02-16,CLP,BRL,0.006078196
2026-02-16,CLP,COP,4.246347044
2026-02-16,CLP,MXN,0.019898258
2026-02-16,CLP,PEN,0.003880552
2026-02-15,USD,ARS,1399.0032034837
2026-02-15,USD,BRL,5.2244007676
2026-02-15,USD,COP,3660.190482331
2026-02-15,USD,MXN,17.1683023025
2026-02-15,USD,PEN,3.3533004044
2026-02-15,USD,CLP,854.41
2026-02-15,CLP,ARS,1.622502824
2026-02-15,CLP,BRL,0.006059032
2026-02-15,CLP,COP,4.244929088
2026-02-15,CLP,MXN,0.019911047
2026-02-15,CLP,PEN,0.003889011
2026-02-14,USD,ARS,1399.0031857533
2026-02-14,USD,BRL,5.2201006161
2026-02-14,USD,COP,3660.1806656485
2026-02-14,USD,MXN,17.1647020086
2026-02-14,USD,PEN,3.3533006043
2026-02-14,USD,CLP,854.41
2026-02-14,CLP,ARS,1.622502729
2026-02-14,CLP,BRL,0.006054044
2026-02-14,CLP,COP,4.244917509
2026-02-14,CLP,MXN,0.019906871
2026-02-14,CLP,PEN,0.003889011
2026-02-13,USD,ARS,1399.0031403456
2026-02-13,USD,BRL,5.220100625
2026-02-13,USD,COP,3660.180447863
2026-02-13,USD,MXN,17.1647033151
2026-02-13,USD,PEN,3.3533004804
2026-02-13,USD,CLP,854.41
2026-02-13,CLP,ARS,1.622502669
2026-02-13,CLP,BRL,0.006054044
2026-02-13,CLP,COP,4.244917238
2026-02-13,CLP,MXN,0.019906872
2026-02-13,CLP,PEN,0.003889011
2026-02-12,USD,ARS,1396.0032196274
2026-02-12,USD,BRL,5.2126106074
2026-02-12,USD,COP,3663.3803675769
2026-02-12,USD,MXN,17.2290031046
2026-02-12,USD,PEN,3.3553003704
2026-02-12,USD,CLP,856.38
2026-02-12,CLP,ARS,1.627593308
2026-02-12,CLP,BRL,0.006077357
2026-02-12,CLP,COP,4.271117207
2026-02-12,CLP,MXN,0.02008721
2026-02-12,CLP,PEN,0.003911928
2026-02-11,USD,ARS,1404.5102364503
2026-02-11,USD,BRL,5.2002005663
2026-02-11,USD,COP,3660.2605998183
2026-02-11,USD,MXN,17.1970018207
2026-02-11,USD,PEN,3.3570005507
2026-02-11,USD,CLP,856.06
2026-02-11,CLP,ARS,1.645762323
2026-02-11,CLP,BRL,0.006093437
2026-02-11,CLP,COP,4.288981903
2026-02-11,CLP,MXN,0.020150923
2026-02-11,CLP,PEN,0.003933631
2026-02-10,USD,ARS,1403.9302298
2026-02-10,USD,BRL,5.1970106733
2026-02-10,USD,COP,3660.7506762982
2026-02-10,USD,MXN,17.1996028191
2026-02-10,USD,PEN,3.3583004467
2026-02-10,USD,CLP,854.25
2026-02-10,CLP,ARS,1.637847377
2026-02-10,CLP,BRL,0.006062915
2026-02-10,CLP,COP,4.270690071
2026-02-10,CLP,MXN,0.020065331
2026-02-10,CLP,PEN,0.003917847
2026-02-09,USD,ARS,1416.4702455623
2026-02-09,USD,BRL,5.1941007219
2026-02-09,USD,COP,3667.4704763077
2026-02-09,USD,MXN,17.2101029079
2026-02-09,USD,PEN,3.3593006325
2026-02-09,USD,CLP,859.66
2026-02-09,CLP,ARS,1.663148161
2026-02-09,CLP,BRL,0.006098652
2026-02-09,CLP,COP,4.306159482
2026-02-09,CLP,MXN,0.020207238
2026-02-09,CLP,PEN,0.003944322
2026-02-08,USD,ARS,1431.4932718688
2026-02-08,USD,BRL,5.2176006978
2026-02-08,USD,COP,3683.3404623691
2026-02-08,USD,MXN,17.254702009
2026-02-08,USD,PEN,3.360600458
2026-02-08,USD,CLP,865.67
2026-02-08,CLP,ARS,1.672734881
2026-02-08,CLP,BRL,0.006096894
2026-02-08,CLP,COP,4.304073369
2026-02-08,CLP,MXN,0.020162541
2026-02-08,CLP,PEN,0.003926944
2026-02-07,USD,ARS,1431.4931997201
2026-02-07,USD,BRL,5.2171007526
2026-02-07,USD,COP,3667.9704469281
2026-02-07,USD,MXN,17.2707034496
2026-02-07,USD,PEN,3.3606004263
2026-02-07,USD,CLP,865.67
2026-02-07,CLP,ARS,1.652994252
2026-02-07,CLP,BRL,0.006024365
2026-02-07,CLP,COP,4.235531168
2026-02-07,CLP,MXN,0.019943073
2026-02-07,CLP,PEN,0.0038806
2026-02-06,USD,ARS,1431.4932126121
2026-02-06,USD,BRL,5.2171010333
2026-02-06,USD,COP,3667.9704472412
2026-02-06,USD,MXN,17.2707031452
2026-02-06,USD,PEN,3.3606003821
2026-02-06,USD,CLP,865.67
2026-02-06,CLP,ARS,1.652994163
2026-02-06,CLP,BRL,0.006024365
2026-02-06,CLP,COP,4.235530904
2026-02-06,CLP,MXN,0.019943072
2026-02-06,CLP,PEN,0.0038806
2026-02-05,USD,ARS,1442.0031892427
2026-02-05,USD,BRL,5.2721006872
2026-02-05,USD,COP,3700.260512022
2026-02-05,USD,MXN,17.522002719
2026-02-05,USD,PEN,3.3673004279
2026-02-05,USD,CLP,857.59
2026-02-05,CLP,ARS,1.662385377
2026-02-05,CLP,BRL,0.006077839
2026-02-05,CLP,COP,4.265773482
2026-02-05,CLP,MXN,0.020199901
2026-02-05,CLP,PEN,0.003881927
2026-02-04,USD,ARS,1447.7102693702
2026-02-04,USD,BRL,5.2400009019
2026-02-04,USD,COP,3642.3904081935
2026-02-04,USD,MXN,17.335003177
2026-02-04,USD,PEN,3.3613004435
2026-02-04,USD,CLP,859.53
2026-02-04,CLP,ARS,1.679478045
2026-02-04,CLP,BRL,0.006078887
2026-02-04,CLP,COP,4.225510345
2026-02-04,CLP,MXN,0.02011021
2026-02-04,CLP,PEN,0.00389942
2026-02-03,USD,ARS,1444.990227669
2026-02-03,USD,BRL,5.239000888
2026-02-03,USD,COP,3646.4653837307
2026-02-03,USD,MXN,17.242403447
2026-02-03,USD,PEN,3.3643005646
2026-02-03,USD,CLP,868.52
2026-02-03,CLP,ARS,1.680045061
2026-02-03,CLP,BRL,0.006091223
2026-02-03,CLP,COP,4.239631549
2026-02-03,CLP,MXN,0.020047205
2026-02-03,CLP,PEN,0.003911567
2026-02-02,USD,ARS,1451.9902850305
2026-02-02,USD,BRL,5.2609006395
2026-02-02,USD,COP,3631.0104641401
2026-02-02,USD,MXN,17.3896017719
2026-02-02,USD,PEN,3.3677003932
2026-02-02,USD,CLP,865.1
2026-02-02,CLP,ARS,1.677631489
2026-02-02,CLP,BRL,0.006078452
2026-02-02,CLP,COP,4.195274275
2026-02-02,CLP,MXN,0.020091969
2026-02-02,CLP,PEN,0.003891045
2026-02-01,USD,ARS,1446.7532226106
2026-02-01,USD,BRL,5.2581010008
2026-02-01,USD,COP,3676.9705230806
2026-02-01,USD,MXN,17.4686030548
2026-02-01,USD,PEN,3.3703006137
2026-02-01,USD,CLP,858.45
2026-02-01,CLP,ARS,1.655608002
2026-02-01,CLP,BRL,0.006017166
2026-02-01,CLP,COP,4.207781761
2026-02-01,CLP,MXN,0.019990389
2026-02-01,CLP,PEN,0.003856841
2026-01-31,USD,ARS,1446.9901534348
2026-01-31,USD,BRL,5.2537005492
2026-01-31,USD,COP,3672.7955034145
2026-01-31,USD,MXN,17.4644021449
2026-01-31,USD,PEN,3.3703003868
2026-01-31,USD,CLP,858.45
2026-01-31,CLP,ARS,1.655879053
2026-01-31,CLP,BRL,0.00601213
2026-01-31,CLP,COP,4.203003819
2026-01-31,CLP,MXN,0.01998558
2026-01-31,CLP,PEN,0.00385684
2026-01-30,USD,ARS,1446.9901654016
2026-01-30,USD,BRL,5.2537009395
2026-01-30,USD,COP,3672.7955536827
2026-01-30,USD,MXN,17.464402213
2026-01-30,USD,PEN,3.3703006651
2026-01-30,USD,CLP,858.45
2026-01-30,CLP,ARS,1.655879039
2026-01-30,CLP,BRL,0.00601213
2026-01-30,CLP,COP,4.203003806
