fecha,moneda_base,moneda_destino,tasa_cambio
2025-02-28,USD,CLP,951.21
2025-02-27,USD,CLP,941.76
2025-02-26,USD,CLP,940.99
2025-02-25,USD,CLP,946.96
2025-02-24,USD,CLP,942.52
2025-02-23,USD,CLP,944.65
2025-02-22,USD,CLP,944.65
2025-02-21,USD,CLP,944.65
2025-02-20,USD,CLP,951.78
2025-02-19,USD,CLP,950.43
2025-02-18,USD,CLP,947.13
2025-02-17,USD,CLP,939.54
2025-02-16,USD,CLP,949.52
2025-02-15,USD,CLP,949.52
2025-02-14,USD,CLP,949.52
2025-02-13,USD,CLP,956.63
2025-02-12,USD,CLP,961.89
2025-02-11,USD,CLP,960.81
2025-02-10,USD,CLP,960.6
2025-02-09,USD,CLP,967.59
2025-02-08,USD,CLP,967.59
2025-02-07,USD,CLP,967.59
2025-02-06,USD,CLP,969.47
2025-02-05,USD,CLP,977.58
2025-02-04,USD,CLP,987.12
2025-02-03,USD,CLP,984.22
2025-02-02,USD,CLP,988.1
2025-02-01,USD,CLP,988.1
2025-01-31,USD,CLP,988.1
2025-01-30,USD,CLP,990.94
2025-01-29,USD,CLP,992.07
2025-01-28,USD,CLP,985.64
2025-01-27,USD,CLP,982.95
2025-01-26,USD,CLP,989.83
2025-01-25,USD,CLP,989.83
2025-01-24,USD,CLP,989.83
2025-01-23,USD,CLP,995.22
2025-01-22,USD,CLP,1002.14
2025-01-21,USD,CLP,1001.93
2025-01-20,USD,CLP,1012.36
2025-01-19,USD,CLP,1010.68
2025-01-18,USD,CLP,1010.68
2025-01-17,USD,CLP,1010.68
2025-01-16,USD,CLP,1001.93
2025-01-15,USD,CLP,1004.67
2025-01-14,USD,CLP,1012.76
2025-01-13,USD,CLP,1009.2
2025-01-12,USD,CLP,1003.92
2025-01-11,USD,CLP,1003.92
2025-01-10,USD,CLP,1003.92
2025-01-09,USD,CLP,1007.51
2025-01-08,USD,CLP,1005.85
2025-01-07,USD,CLP,1010.98
2025-01-06,USD,CLP,1011.82
2025-01-05,USD,CLP,999.84
2025-01-04,USD,CLP,999.84
2025-01-03,USD,CLP,999.84
2025-01-02,USD,CLP,996.46
2025-01-01,USD,CLP,992.12
2024-12-31,USD,CLP,992.12
2024-12-30,USD,CLP,992.12
2024-12-29,USD,CLP,990.95
2024-12-28,USD,CLP,990.95
2024-12-27,USD,CLP,990.95
2024-12-26,USD,CLP,989.07
2024-12-25,USD,CLP,992.78
2024-12-24,USD,CLP,992.78
2024-12-23,USD,CLP,991.18
2024-12-22,USD,CLP,996.35
2024-12-21,USD,CLP,996.35
2024-12-20,USD,CLP,996.35
2024-12-19,USD,CLP,988.44
2024-12-18,USD,CLP,990.87
2024-12-17,USD,CLP,989.93
2024-12-16,USD,CLP,983.25
2024-12-15,USD,CLP,975.67
2024-12-14,USD,CLP,975.67
2024-12-13,USD,CLP,975.67
2024-12-12,USD,CLP,975.81
2024-12-11,USD,CLP,972.43
2024-12-10,USD,CLP,969.92
2024-12-09,USD,CLP,971.62
2024-12-08,USD,CLP,971.65
2024-12-07,USD,CLP,971.65
2024-12-06,USD,CLP,971.65
2024-12-05,USD,CLP,974.37
2024-12-04,USD,CLP,972.75
2024-12-03,USD,CLP,979.1
2024-12-02,USD,CLP,977.66
2024-12-01,USD,CLP,977.32
2024-11-30,USD,CLP,977.32
2024-11-29,USD,CLP,977.32
2024-11-28,USD,CLP,975.41
2024-11-27,USD,CLP,975.06
2024-11-26,USD,CLP,976.89
2024-11-25,USD,CLP,982.08
2024-11-24,USD,CLP,971.29
2024-11-23,USD,CLP,971.29
2024-11-22,USD,CLP,971.29
2024-11-21,USD,CLP,972.68
2024-11-20,USD,CLP,973.21
2024-11-19,USD,CLP,976.86
2024-11-18,USD,CLP,974.51
2024-11-17,USD,CLP,975.44
2024-11-16,USD,CLP,975.44
2024-11-15,USD,CLP,975.44
2024-11-14,USD,CLP,981.61
2024-11-13,USD,CLP,983.76
2024-11-12,USD,CLP,980.47
2024-11-11,USD,CLP,963.09
2024-11-10,USD,CLP,950.99
2024-11-09,USD,CLP,950.99
2024-11-08,USD,CLP,950.99
2024-11-07,USD,CLP,968.6
