pais;destino;actividad;url_actividad;fecha;pais_usuario
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-11-21;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-05-25;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-05-18;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-03-15;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2024-08-04;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2024-06-30;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-09-12;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-06-11;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-06-07;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-03-16;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-03-06;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-02-16;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2024-12-02;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2024-07-21;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2024-06-03;España
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2026-01-06;Argentina
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2026-02-01;Chile
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-12-27;Chile
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-12-06;Chile
Perú;Lima;Tour de Lima al completo con entradas;https://www.civitatis.com/es/lima/tour-lima-completo/;2025-11-24;Colombia
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2024-07-15;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-04;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2025-11-29;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-29;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-28;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-24;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-22;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-15;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-08;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-06;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-06;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-04;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2026-01-02;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2025-12-28;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2025-12-14;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2025-12-07;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2025-12-03;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2025-11-27;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2025-11-20;España
Perú;Lima;Free tour por Lima;https://www.civitatis.com/es/lima/free-tour-lima/;2025-11-18;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2026-01-20;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2024-08-21;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2026-01-27;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2026-01-24;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-11-20;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-02-22;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2024-11-10;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-10-17;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-10-05;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-09-11;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-09-10;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-09-06;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-09-03;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-08-16;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-07-19;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-05-02;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2025-03-30;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2024-11-29;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2024-11-09;España
Perú;Lima;Excursión a Ica y Huacachina + Islas Ballestas;https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/;2024-11-08;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2026-01-09;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-12-06;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-11-15;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-03-14;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-09-28;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2024-11-09;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2024-10-26;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2024-08-10;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-10-07;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-08-24;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-08-23;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-08-15;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-07-31;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-05-16;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-05-05;España
Perú;Lima;Tour por Lima;https://www.civitatis.com/es/lima/tour-lima/;2025-05-01;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2026-01-25;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2026-01-09;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-12-31;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-12-03;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-11-29;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-11-27;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-11-16;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-11-16;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-11-16;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-11-15;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-09-15;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-09-11;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-08-14;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-05-05;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2024-11-05;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2024-07-16;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2024-06-18;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-04-06;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2026-02-09;España
Perú;Lima;Free tour por Barranco;https://www.civitatis.com/es/lima/free-tour-barranco/;2025-10-31;España
Perú;Lima;Excursión de 2 días a Paracas y Huacachina;https://www.civitatis.com/es/lima/excursion-2-dias-paracas-huacachina/;2025-07-05;España
Perú;Lima;Excursión de 2 días a Paracas y Huacachina;https://www.civitatis.com/es/lima/excursion-2-dias-paracas-huacachina/;2025-06-18;México
Perú;Lima;Excursión de 2 días a Paracas y Huacachina;https://www.civitatis.com/es/lima/excursion-2-dias-paracas-huacachina/;2025-06-12;Uruguay
Perú;Lima;Excursión de 2 días a Paracas y Huacachina;https://www.civitatis.com/es/lima/excursion-2-dias-paracas-huacachina/;2025-09-06;Colombia
Perú;Lima;Excursión de 2 días a Paracas y Huacachina;https://www.civitatis.com/es/lima/excursion-2-dias-paracas-huacachina/;2025-07-25;
Perú;Lima;Excursión de 2 días a Paracas y Huacachina;https://www.civitatis.com/es/lima/excursion-2-dias-paracas-huacachina/;2025-04-28;México
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2026-01-25;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2026-01-17;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2026-01-17;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2026-01-08;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2026-01-03;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2025-01-28;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2026-01-04;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2025-01-27;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2025-01-01;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2025-01-16;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2025-01-13;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2025-01-17;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;;N/A
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2025-01-25;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2025-01-29;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;;N/A
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;;N/A
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;;N/A
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2026-01-01;España
Perú;Lima;Traslados en Lima;https://www.civitatis.com/es/lima/traslados/;2025-01-14;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2026-01-28;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2024-08-22;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2024-03-31;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2025-04-10;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2025-02-01;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2025-01-24;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2024-09-28;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2024-09-01;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2024-07-14;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2024-05-02;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2025-09-20;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2025-09-10;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2025-09-07;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2025-09-02;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2025-08-05;España
Perú;Lima;Excursión a Pachacamac;https://www.civitatis.com/es/lima/excursion-pachacamac/;2025-08-03;España
Perú;Lima;Pub Crawl ¡Tour de fiesta por Lima!;https://www.civitatis.com/es/lima/pub-crawl-lima/;2026-01-31;España
Perú;Lima;Pub Crawl ¡Tour de fiesta por Lima!;https://www.civitatis.com/es/lima/pub-crawl-lima/;2025-09-13;España
Perú;Lima;Pub Crawl ¡Tour de fiesta por Lima!;https://www.civitatis.com/es/lima/pub-crawl-lima/;2025-07-19;Chile
Perú;Lima;Pub Crawl ¡Tour de fiesta por Lima!;https://www.civitatis.com/es/lima/pub-crawl-lima/;2025-09-12;Argentina
Perú;Lima;Pub Crawl ¡Tour de fiesta por Lima!;https://www.civitatis.com/es/lima/pub-crawl-lima/;2025-07-19;
Perú;Lima;Pub Crawl ¡Tour de fiesta por Lima!;https://www.civitatis.com/es/lima/pub-crawl-lima/;2025-05-09;Colombia
