"_productCard_a8ac3_359 href","_rating_5bxcb_361","_reviewCount_5bxcb_399","_title_a8ac3_388","_featuresCompact_a8ac3_690 2","_moneyView_gkvo7_321"
"https://www.viator.com/tours/New-York-City/Statue-of-Liberty-and-Ellis-Island-Guided-Tour/d687-5250LIBERTYELLIS","4.8","(13,838)","Statue of Liberty & Ellis Island Tour with Reserved Ferry Entry","Free Cancellation","$69"
"https://www.viator.com/tours/New-York-City/New-York-in-One-Day-Guided-Sightseeing-Tour/d687-7081NYCDAY","4.8","(13,332)","New York in One Day Guided Sightseeing Tour","Free Cancellation","$99"
"https://www.viator.com/tours/New-York-City/Central-Park-Pedicab-Guided-Tours/d687-147315P1","5.0","(7,439)","Central Park Pedicab Guided Tours","Free Cancellation","$38"
"https://www.viator.com/tours/New-York-City/Central-Park-Pedicab-Guided-Tour/d687-122012P1","5.0","(7,067)","Private Central Park Pedicab Tour","Free Cancellation","$38"
"https://www.viator.com/tours/New-York-City/9-11-Memorial-and-Ground-Zero-Walking-Tour-with-Optional-9-11-Museum-Upgrade/d687-5250GROUNDZERO","4.8","(6,530)","9/11 Memorial, Ground Zero Tour with Optional 9/11 Museum Ticket","Free Cancellation","$39"
"https://www.viator.com/tours/New-York-City/9-11-Memorial-Museum-Admission/d687-7195SEPT11","4.7","(6,438)","9/11 Memorial Museum Admission Ticket","Free Cancellation","$36"
"https://www.viator.com/tours/New-York-City/All-Access-9-11-Experience-Ground-Zero-Tour-9-11-Memorial-and-Museum-One-World-Observatory/d687-5250P14","4.9","(4,955)","All-Access 9/11: Ground Zero Tour, Memorial and Museum, One World Observatory","Free Cancellation","$109"
"https://www.viator.com/tours/New-York-City/NYC-Bus-Tour-of-Brooklyn-Bronx-Queens-Contrasts-Color-and-Character/d687-5250P50","4.9","(3,988)","NYC Bus Tour of Brooklyn, Bronx, Queens: Art, Food & Sports","Free Cancellation","$84"
"https://www.viator.com/tours/New-York-City/SoHo-Little-Italy-and-Chinatown-Walking-Tour/d687-5250SOHO","4.9","(3,208)","SoHo, Little Italy, and Chinatown Walking Tour in New York","Free Cancellation","$39"
"https://www.viator.com/tours/New-York-City/Boroughs-Tour-Harlem-Bronx-Queens-Brooklyn-and-Coney-Island/d687-62527P9","4.6","(2,929)","NYC Highlights Tour: Bronx, Brooklyn, Harlem, Queens & Coney","Free Cancellation","$46"
"https://www.viator.com/tours/New-York-City/New-York-Chinatown-and-Little-Italy-walking-tasting-tour-with-Secret-Food-Tours/d687-7812P216","5.0","(2,896)","NYC: Chinatown & Little Italy Food Tour with 6 Flavorful Dishes","Free Cancellation","$97"
"https://www.viator.com/tours/New-York-City/CATACOMBS-BY-CANDLELIGHT/d687-41393P2","4.7","(2,883)","New York Catacombs by Candlelight","Free Cancellation","$38"
