"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Bosnia y Herzegovina";"Sarajevo";"Excursión a Mostar y las Cuatro Perlas de Herzegovina";"https://www.civitatis.com/es/sarajevo/excursion-mostar-cuatro-perlas/";"Pasion Balcanica Tours";"info@pasionbalcanica.com";"+38761532453";"Turisticki vodic ""Pasion Balcanica Tours"" vl. Miso Lejla | Save Skarica 2, Sarajevo, Bosnia y Herzegovina";"";"75584.73";"49";"623";"9.4";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Free tour por Sarajevo";"https://www.civitatis.com/es/sarajevo/free-tour-sarajevo/";"Pasion Balcanica Tours";"info@pasionbalcanica.com";"+38761532453";"Turisticki vodic ""Pasion Balcanica Tours"" vl. Miso Lejla | Save Skarica 2, Sarajevo, Bosnia y Herzegovina";"";"0.0";"860";"11211";"9.9";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Tour por el Túnel de Sarajevo";"https://www.civitatis.com/es/sarajevo/tour-tunel-sarajevo/";"Sarajevo Insider City Tours And Excursions";"info@sarajevoinsider.com";"+38766800590";"INSIDER D.O.O Sarajevo | Zelenih Beretki 30, Sarajevo, Bosnia y Herzegovina";"";"32393.45";"66";"625";"9.8";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Excursión a Srebrenica";"https://www.civitatis.com/es/sarajevo/excursion-srebrenica/";"Pasion Balcanica Tours";"info@pasionbalcanica.com";"+38761532453";"Turisticki vodic ""Pasion Balcanica Tours"" vl. Miso Lejla | Save Skarica 2, Sarajevo, Bosnia y Herzegovina";"";"75584.73";"4";"107";"10.0";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Excursión a Travnik y Jajce";"https://www.civitatis.com/es/sarajevo/excursion-travnik-jajce/";"Pasion Balcanica Tours";"info@pasionbalcanica.com";"+38761532453";"Turisticki vodic ""Pasion Balcanica Tours"" vl. Miso Lejla | Save Skarica 2, Sarajevo, Bosnia y Herzegovina";"";"75584.73";"15";"147";"10.0";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Excursión privada desde Sarajevo";"https://www.civitatis.com/es/sarajevo/excursion-privada-sarajevo/";"Pasion Balcanica Tours";"info@pasionbalcanica.com";"+38761532453";"Turisticki vodic ""Pasion Balcanica Tours"" vl. Miso Lejla | Save Skarica 2, Sarajevo, Bosnia y Herzegovina";"";"259147.66";"3";"40";"10.0";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Traslados en Sarajevo";"https://www.civitatis.com/es/sarajevo/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"26454.65";"43";"329";"8.7";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Visita guiada por Sarajevo";"https://www.civitatis.com/es/sarajevo/visita-guiada-sarajevo/";"Sarajevo Insider City Tours And Excursions";"info@sarajevoinsider.com";"+38766800590";"INSIDER D.O.O Sarajevo | Zelenih Beretki 30, Sarajevo, Bosnia y Herzegovina";"";"21595.63";"61";"677";"9.6";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Tour de Sarajevo al completo con entradas";"https://www.civitatis.com/es/sarajevo/tour-sarajevo-completo-entradas/";"Sarajevo Insider City Tours And Excursions";"info@sarajevoinsider.com";"+38766800590";"INSIDER D.O.O Sarajevo | Zelenih Beretki 30, Sarajevo, Bosnia y Herzegovina";"";"43191.27";"28";"226";"9.6";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Tour panorámico por Sarajevo";"https://www.civitatis.com/es/sarajevo/tour-panoramico-sarajevo/";"Meet Bosnia";"info@meetbosnia.com";"+38761240286";"Turistički vodič Ogrešević Edin | Ulica Karpuzova broj 6, Sarajevo, Bosnia y Herzegovina";"";"37792.36";"33";"163";"9.3";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Tour nocturno por Sarajevo";"https://www.civitatis.com/es/sarajevo/tour-nocturno-sarajevo/";"Sarajevo Insider City Tours And Excursions";"info@sarajevoinsider.com";"+38766800590";"INSIDER D.O.O Sarajevo | Zelenih Beretki 30, Sarajevo, Bosnia y Herzegovina";"";"21595.63";"31";"250";"9.6";"CLP";"2026-02-16"
"Bosnia y Herzegovina";"Sarajevo";"Tour privado por Sarajevo";"https://www.civitatis.com/es/sarajevo/tour-privado-sarajevo/";"Pasion Balcanica Tours";"info@pasionbalcanica.com";"+38761532453";"Turisticki vodic ""Pasion Balcanica Tours"" vl. Miso Lejla | Save Skarica 2, Sarajevo, Bosnia y Herzegovina";"";"75584.73";"12";"100";"9.8";"CLP";"2026-02-16"
