"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Japón";"Tokio";"Excursión a Nikko";"https://www.civitatis.com/es/tokio/excursion-nikko/";"Amigo Tours Japan Gk";"japan@amigotours.com";"+81120587697";"AMIGO TOURS JAPAN GK | Daiwa Shibuya Square 6/F, 16-28 Nampeidai,, Shibuya-ku,, Tokyo, 150-0036, Japan OfficeS-02, Tokio, Japón";"";"90543.58";"384";"7612";"9.1";"CLP";"2026-02-24"
"Japón";"Tokio";"Tour privado por Tokio";"https://www.civitatis.com/es/tokio/tour-privado-tokio/";"Jtn Commerce";"jordichaparro@gmail.com";"+81-70-8439-6102";"JTN COMMERCE | Midori, 1-22-8-2F, Sumida-ku, Tokio, Japón";"";"228645.4";"1475";"95736";"9.6";"CLP";"2026-02-24"
"Japón";"Tokio";"Tour privado por Tokio";"https://www.civitatis.com/es/tokio/tour-privado-tokio/";"Laura Santos";"japonconguia@gmail.com";"8190-9381-3226";"Kotorita S.L. | 4-229 Nishimiyashita , Ageo, Saitama, Japón";"";"228645.4";"1475";"95736";"9.6";"CLP";"2026-02-24"
"Japón";"Tokio";"Tour privado por Tokio";"https://www.civitatis.com/es/tokio/tour-privado-tokio/";"Dracodono";"info.dracodono@gmail.com";"09081319661";"Elliot Costa Perea | 八王子市元八王子町, 八王子市, Japón";"";"228645.4";"1475";"95736";"9.6";"CLP";"2026-02-24"
"Japón";"Tokio";"Tour privado por Tokio";"https://www.civitatis.com/es/tokio/tour-privado-tokio/";"Mundigogo";"franjabube@gmail.com";"8107091965805";"Francisco Javier Bustamante Benegas | ALICIA MOREAU DE JUSTO 620 Dpto:6 CHUBUT, Puerto Madryn, Argentina";"";"228645.4";"1475";"95736";"9.6";"CLP";"2026-02-24"
"Japón";"Tokio";"Excursión al monte Fuji, lago Ashi y Kamakura";"https://www.civitatis.com/es/tokio/excursion-monte-fuji-kamakura/";"Amigo Tours Japan Gk";"japan@amigotours.com";"+81120587697";"AMIGO TOURS JAPAN GK | Daiwa Shibuya Square 6/F, 16-28 Nampeidai,, Shibuya-ku,, Tokyo, 150-0036, Japan OfficeS-02, Tokio, Japón";"";"90543.58";"343";"4827";"8.7";"CLP";"2026-02-24"
"Japón";"Tokio";"Visita guiada por Tokio";"https://www.civitatis.com/es/tokio/visita-guiada-tokio/";"Izanagitours";"info@izanagitours.com";"080 4353 6969";"IZANAGI PTE LTD | 30 CECIL STREET #19-08  PRUDENTIAL TOWER , Singapur, Singapur";"";"86217.97";"410";"8683";"9.4";"CLP";"2026-02-24"
"Japón";"Tokio";"Visita guiada por Tokio";"https://www.civitatis.com/es/tokio/visita-guiada-tokio/";"Jtn Commerce";"jordichaparro@gmail.com";"+81-70-8439-6102";"JTN COMMERCE | Midori, 1-22-8-2F, Sumida-ku, Tokio, Japón";"";"86217.97";"410";"8683";"9.4";"CLP";"2026-02-24"
"Japón";"Tokio";"Traslados en Tokio";"https://www.civitatis.com/es/tokio/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"68593.62";"1142";"32497";"9.5";"CLP";"2026-02-24"
"Japón";"Tokio";"Free tour por Asakusa";"https://www.civitatis.com/es/tokio/free-tour-asakusa/";"Namie Gonsho";"namie.gonsho@gmail.com";"+819043672392";"Namie Gonsho | 3-18-7 Futaba, Shinagawa, Tokio, Japón";"";"0.0";"2571";"88448";"9.2";"CLP";"2026-02-24"
"Japón";"Tokio";"Free tour por Asakusa";"https://www.civitatis.com/es/tokio/free-tour-asakusa/";"Japandas";"japandasceo@gmail.com";"+8108075816440";"Japandas LLC | 18-2-101 higashiotoshicho, Osaka, Japón";"";"0.0";"2571";"88448";"9.2";"CLP";"2026-02-24"
"Japón";"Tokio";"Free tour por Asakusa";"https://www.civitatis.com/es/tokio/free-tour-asakusa/";"Cokishin";"sofiamu43@gmail.com";"+81 090 9256 6457";"Juliana García zapata | Sanmuchi Inouchi 907-41, Sanmu-chi, Japón";"";"0.0";"2571";"88448";"9.2";"CLP";"2026-02-24"
"Japón";"Tokio";"Free tour por Asakusa";"https://www.civitatis.com/es/tokio/free-tour-asakusa/";"Localized";"info@japanlocalized.com";"03-6897-9322";"Localized Co LTD | Ueno 3-15-7-510 Taito, Taito Tokyo, Japón";"";"0.0";"2571";"88448";"9.2";"CLP";"2026-02-24"
"Japón";"Tokio";"Excursión privada en coche a Nikko";"https://www.civitatis.com/es/tokio/excursion-privada-coche-nikko/";"Jtn Commerce";"jordichaparro@gmail.com";"+81-70-8439-6102";"JTN COMMERCE | Midori, 1-22-8-2F, Sumida-ku, Tokio, Japón";"";"466436.63";"4";"400";"10.0";"CLP";"2026-02-24"
"Japón";"Tokio";"Excursión a Kamakura";"https://www.civitatis.com/es/tokio/excursion-kamakura-odawara-ceremonia-te/";"Izanagitours";"info@izanagitours.com";"080 4353 6969";"IZANAGI PTE LTD | 30 CECIL STREET #19-08  PRUDENTIAL TOWER , Singapur, Singapur";"";"96995.22";"146";"2424";"9.5";"CLP";"2026-02-24"
"Japón";"Tokio";"Excursión a Kamakura";"https://www.civitatis.com/es/tokio/excursion-kamakura-odawara-ceremonia-te/";"Jtn Commerce";"jordichaparro@gmail.com";"+81-70-8439-6102";"JTN COMMERCE | Midori, 1-22-8-2F, Sumida-ku, Tokio, Japón";"";"96995.22";"146";"2424";"9.5";"CLP";"2026-02-24"
"Japón";"Tokio";"Excursión al monte Fuji, lago Kawaguchi y la pagoda Chureito";"https://www.civitatis.com/es/tokio/monte-fuji-lago-kawaguchi/";"Jtn Commerce";"jordichaparro@gmail.com";"+81-70-8439-6102";"JTN COMMERCE | Midori, 1-22-8-2F, Sumida-ku, Tokio, Japón";"";"90543.58";"290";"4673";"8.9";"CLP";"2026-02-24"
"Japón";"Tokio";"Free tour por Shinjuku";"https://www.civitatis.com/es/tokio/free-tour-shinjuku/";"Japandas";"japandasceo@gmail.com";"+8108075816440";"Japandas LLC | 18-2-101 higashiotoshicho, Osaka, Japón";"";"0.0";"1249";"71772";"8.7";"CLP";"2026-02-24"
