destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Basseterre,San Cristóbal y Nieves,Tour por San Cristóbal,"41.463,73 CL$",CLP,Sin valorar,22 viajeros,Tropical Tours St. Kitts-Nevis,kisco@sisterisles.kn,1-869-465-4039,"Tropical Tours Co. Ltd. | #22 Cayon Street, Basseterre, St. Kitts W.I., Basseterre, San Cristóbal y Nieves",https://www.civitatis.com/es/basseterre/tour-san-cristobal/,2026-02-02
Basseterre,San Cristóbal y Nieves,Tour por las playas de San Cristóbal,"36.856,65 CL$",CLP,1 opinión,16 viajeros,Tropical Tours St. Kitts-Nevis,kisco@sisterisles.kn,1-869-465-4039,"Tropical Tours Co. Ltd. | #22 Cayon Street, Basseterre, St. Kitts W.I., Basseterre, San Cristóbal y Nieves",https://www.civitatis.com/es/basseterre/tour-playas-san-cristobal/,2026-02-02
Basseterre,San Cristóbal y Nieves,Excursión a la isla Nieves,"110.569,96 CL$",CLP,Sin valorar,13 viajeros,Tropical Tours St. Kitts-Nevis,kisco@sisterisles.kn,1-869-465-4039,"Tropical Tours Co. Ltd. | #22 Cayon Street, Basseterre, St. Kitts W.I., Basseterre, San Cristóbal y Nieves",https://www.civitatis.com/es/basseterre/excursion-isla-nieves/,2026-02-02
Basseterre,San Cristóbal y Nieves,Fiesta en barco por las islas de San Cristóbal y Nieves,"138.212,46 CL$",CLP,1 opinión,1 viajero,Tropical Tours St. Kitts-Nevis,kisco@sisterisles.kn,1-869-465-4039,"Tropical Tours Co. Ltd. | #22 Cayon Street, Basseterre, St. Kitts W.I., Basseterre, San Cristóbal y Nieves",https://www.civitatis.com/es/basseterre/fiesta-barco-san-cristobal-nieves/,2026-02-02
Basseterre,San Cristóbal y Nieves,Crucero por San Cristóbal con comida,"117.941,30 CL$",CLP,Sin valorar,,Tropical Tours St. Kitts-Nevis,kisco@sisterisles.kn,1-869-465-4039,"Tropical Tours Co. Ltd. | #22 Cayon Street, Basseterre, St. Kitts W.I., Basseterre, San Cristóbal y Nieves",https://www.civitatis.com/es/basseterre/crucero-san-cristobal-comida/,2026-02-02
Basseterre,San Cristóbal y Nieves,Tren y autobús panorámico de San Cristóbal,"133.605,37 CL$",CLP,Sin valorar,2 viajeros,Tropical Tours St. Kitts-Nevis,kisco@sisterisles.kn,1-869-465-4039,"Tropical Tours Co. Ltd. | #22 Cayon Street, Basseterre, St. Kitts W.I., Basseterre, San Cristóbal y Nieves",https://www.civitatis.com/es/basseterre/tren-autobus-panoramico-san-cristobal/,2026-02-02
Basseterre,San Cristóbal y Nieves,Senderismo por el volcán Liamuiga,"97.209,43 CL$",CLP,Sin valorar,2 viajeros,Tropical Tours St. Kitts-Nevis,kisco@sisterisles.kn,1-869-465-4039,"Tropical Tours Co. Ltd. | #22 Cayon Street, Basseterre, St. Kitts W.I., Basseterre, San Cristóbal y Nieves",https://www.civitatis.com/es/basseterre/senderismo-volcan-liamuiga/,2026-02-02
Basseterre,San Cristóbal y Nieves,Paseo en catamarán al atardecer con snorkel,"72.791,89 CL$",CLP,Sin valorar,3 viajeros,Tropical Tours St. Kitts-Nevis,kisco@sisterisles.kn,1-869-465-4039,"Tropical Tours Co. Ltd. | #22 Cayon Street, Basseterre, St. Kitts W.I., Basseterre, San Cristóbal y Nieves",https://www.civitatis.com/es/basseterre/paseo-catamaran-atardecer-snorkel/,2026-02-02
Basseterre,San Cristóbal y Nieves,Senderismo por la selva de San Cristóbal,"78.320,39 CL$",CLP,Sin valorar,1 viajero,Tropical Tours St. Kitts-Nevis,kisco@sisterisles.kn,1-869-465-4039,"Tropical Tours Co. Ltd. | #22 Cayon Street, Basseterre, St. Kitts W.I., Basseterre, San Cristóbal y Nieves",https://www.civitatis.com/es/basseterre/senderismo-selva-san-cristobal/,2026-02-02
Basseterre,San Cristóbal y Nieves,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
