"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Honduras";"Roatán";"Tour por Roatán para cruceros";"https://www.civitatis.com/es/roatan/tour-roatan-cruceros/";"Bluegreenroatantours";"Bluegreenroatantours@gmail.com";"88037064";"ROHAN RONALDO BODDEN BODDEN | Roatan, Coxen Hole, Roatán, Honduras";"";"59447.8";"20";"376";"9.1";"CLP";"2026-02-24"
"Honduras";"Roatán";"Snorkel en West Bay + Avistamiento de delfines";"https://www.civitatis.com/es/roatan/snorkel-west-bay-avistamiento-delfines/";"Ventur";"roatanvacationandtours@gmail.com";"+504 9970-4445";"Televentur S.A. de C.V. | Tegucigalpa, Tegucigalpa, Honduras";"";"28580.67";"3";"97";"9.3";"CLP";"2026-02-24"
"Honduras";"Roatán";"Tour privado por Roatán";"https://www.civitatis.com/es/roatan/tour-privado-roatan/";"The Roatan Experience";"roatanexp@gmail.com";"+50432447913";"The Roatan Experience S DE R.L | Politilly Bight Road, next to church of God, Roatán, Honduras";"";"76824.85";"6";"190";"8.3";"CLP";"2026-02-24"
"Honduras";"Roatán";"Excursión a la playa de Tabyana";"https://www.civitatis.com/es/roatan/excursion-playa-tabyana/";"Roatan Anderson Tours";"info@roatanandersontours.com";"+5049724-1613";"Shervin Anderson Hamilton Webster | Calle principal del alivio coxen hole, Roatan Islas de la Bahia, Honduras";"";"35668.68";"3";"78";"9.3";"CLP";"2026-02-24"
"Honduras";"Roatán";"Traslados en Roatán";"https://www.civitatis.com/es/roatan/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"42985.33";"3";"111";"9.3";"CLP";"2026-02-24"
"Honduras";"Roatán";"Paseo en barco con fondo de cristal";"https://www.civitatis.com/es/roatan/paseo-barco-fondo-cristal/";"Ventur";"roatanvacationandtours@gmail.com";"+504 9970-4445";"Televentur S.A. de C.V. | Tegucigalpa, Tegucigalpa, Honduras";"";"40012.94";"5";"118";"9.6";"CLP";"2026-02-24"
"Honduras";"Roatán";"Tour por Coxen Hole y West Bay";"https://www.civitatis.com/es/roatan/visita-guiada-roatan/";"Ventur";"roatanvacationandtours@gmail.com";"+504 9970-4445";"Televentur S.A. de C.V. | Tegucigalpa, Tegucigalpa, Honduras";"";"34296.81";"1";"62";"10.0";"CLP";"2026-02-24"
"Honduras";"Roatán";"Parque Manawakie, playa West End y fábrica de chocolate";"https://www.civitatis.com/es/roatan/manawakie-playa-west-end-fabrica-chocolate/";"Roatan Five Stars";"info@roatanfivestars.com";"+50498729652";"Jose Diaz | Oak Ridge main st, Roatán, Honduras";"";"54874.89";"3";"52";"8.0";"CLP";"2026-02-24"
"Honduras";"Roatán";"Tour en quad por Roatán";"https://www.civitatis.com/es/roatan/tour-quad-roatan/";"The Roatan Experience";"roatanexp@gmail.com";"+50432447913";"The Roatan Experience S DE R.L | Politilly Bight Road, next to church of God, Roatán, Honduras";"";"61734.25";"4";"187";"6.0";"CLP";"2026-02-24"
"Honduras";"Roatán";"Excursión a French Key";"https://www.civitatis.com/es/roatan/excursion-french-key/";"Ventur";"roatanvacationandtours@gmail.com";"+504 9970-4445";"Televentur S.A. de C.V. | Tegucigalpa, Tegucigalpa, Honduras";"";"74309.75";"0";"29";"0.0";"CLP";"2026-02-24"
