"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Armenia";"Ereván";"Excursión a Garni y el monasterio de Geghard";"https://www.civitatis.com/es/erevan/excursion-garni-monasterio-geghard/";"Hyur Service";"contact@hyurservice.com";"+37493829839";"Hyur Service | 96-2, Nalbandyan street, Ereván, Armenia";"";"29120.82";"17";"145";"8.9";"CLP";"2026-02-16"
"Armenia";"Ereván";"Excursión a Echmiadzin y Zvartnots";"https://www.civitatis.com/es/erevan/excursion-echmiadzin-zvartnots/";"Hyur Service";"contact@hyurservice.com";"+37493829839";"Hyur Service | 96-2, Nalbandyan street, Ereván, Armenia";"";"20930.59";"3";"38";"9.3";"CLP";"2026-02-16"
"Armenia";"Ereván";"Excursión a Dilijan, Sevan, Goshavank y Haghartsin";"https://www.civitatis.com/es/erevan/excursion-dilijan-sevan-goshavank-haghartsin/";"Hyur Service";"contact@hyurservice.com";"+37493829839";"Hyur Service | 96-2, Nalbandyan street, Ereván, Armenia";"";"26390.74";"17";"130";"8.1";"CLP";"2026-02-16"
"Armenia";"Ereván";"Excursión a Khor Virap, Noravank y Areni-1";"https://www.civitatis.com/es/erevan/khor-virap-noravank-areni-1/";"Hyur Service";"contact@hyurservice.com";"+37493829839";"Hyur Service | 96-2, Nalbandyan street, Ereván, Armenia";"";"30940.87";"8";"72";"9.5";"CLP";"2026-02-16"
"Armenia";"Ereván";"Free tour por Ereván";"https://www.civitatis.com/es/erevan/free-tour-erevan/";"Evelina Manukyan Ep";"eva@thebeetravel.com";"+37491364070";"Evelina Nelson Manukyan | A.Tigranyan20 apto77, Ereván, Armenia";"";"0.0";"35";"867";"9.1";"CLP";"2026-02-16"
"Armenia";"Ereván";"Traslados en Ereván";"https://www.civitatis.com/es/erevan/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"32260.66";"17";"136";"8.4";"CLP";"2026-02-16"
"Armenia";"Ereván";"Tour privado por Ereván";"https://www.civitatis.com/es/erevan/tour-privado-erevan/";"One Way";"incoming@onewaytour.com";"+37441362131";"ONE WAY GROUP LLC | 16 PARPETSI STREET, YEREVAN, ARMENIA, Ereván, Armenia";"";"77510.24";"8";"151";"8.5";"CLP";"2026-02-16"
"Armenia";"Ereván";"Excursión privada desde Ereván";"https://www.civitatis.com/es/erevan/excursion-privada-erevan/";"One Way";"incoming@onewaytour.com";"+37441362131";"ONE WAY GROUP LLC | 16 PARPETSI STREET, YEREVAN, ARMENIA, Ereván, Armenia";"";"69527.3";"14";"346";"9.3";"CLP";"2026-02-16"
"Armenia";"Ereván";"Excursión a Gyumri y el monasterio Harichavank";"https://www.civitatis.com/es/erevan/excursion-gyumri-monasterio-harichavank/";"Hyur Service";"contact@hyurservice.com";"+37493829839";"Hyur Service | 96-2, Nalbandyan street, Ereván, Armenia";"";"34580.97";"8";"22";"8.8";"CLP";"2026-02-16"
"Armenia";"Ereván";"Pub Crawl ¡Tour de fiesta por Ereván!";"https://www.civitatis.com/es/erevan/pub-crawl-erevan/";"Travel By Time";"r24u2@hotmail.com";"+37443359464";"Travel by Time | Moldovakan 29/6, Ereván, Armenia";"";"31850.9";"0";"9";"0.0";"CLP";"2026-02-16"
"Armenia";"Ereván";"Excursión privada al Monumento del Alfabeto Armenio y los monasterios de Saghmosavank y Hovhannavank";"https://www.civitatis.com/es/erevan/excursion-monumento-alfabeto-saghmosavank-hovhannavank/";"Feel Armenia";"marketing@feelarmenia.com";"37493374745";"Fairyland LLC | 107A Buzand street, Ereván, Armenia";"";"200205.66";"0";"0";"0.0";"CLP";"2026-02-16"
"Armenia";"Ereván";"Excursión privada al lago Seván, monasterios Sevanavank y Hayravank + Cementerio de Noraduz";"https://www.civitatis.com/es/erevan/excursion-lago-sevan-sevanavank-hayravank-noraduz/";"Feel Armenia";"marketing@feelarmenia.com";"37493374745";"Fairyland LLC | 107A Buzand street, Ereván, Armenia";"";"243886.9";"0";"0";"0.0";"CLP";"2026-02-16"
