"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Cabo Verde";"Praia";"Tour por Praia y Cidade Velha";"https://www.civitatis.com/es/praia/tour-praia-cidade-velha/";"Bu Country Tours";"admilsongarcia@bucountry.com";"+2389235728";"Bu Country Turismo SU Lda | Fazenda, Avenida Cidade de Lisboa, entrada dos Bombeiros, 2 a esquesda, segundo andar., Praia, Cabo Verde";"";"65866.69";"29";"180";"9.4";"CLP";"2026-02-16"
"Cabo Verde";"Praia";"Tour por la isla de Santiago";"https://www.civitatis.com/es/praia/tour-isla-santiago/";"Levy Travel";"levytravelcv@gmail.com";"002389927894";"LEVY TRAVEL INC. & REP. Lda | Rua das Hortas , Praia, Cabo Verde";"";"101499.5";"25";"206";"9.4";"CLP";"2026-02-16"
"Cabo Verde";"Praia";"Excursión a Cidade Velha";"https://www.civitatis.com/es/praia/excursion-cidade-velha/";"Levy Travel";"levytravelcv@gmail.com";"002389927894";"LEVY TRAVEL INC. & REP. Lda | Rua das Hortas , Praia, Cabo Verde";"";"95020.81";"6";"29";"10.0";"CLP";"2026-02-16"
"Cabo Verde";"Praia";"Excursión a la isla de Maio";"https://www.civitatis.com/es/praia/excursion-isla-maio/";"Bu Country Tours";"admilsongarcia@bucountry.com";"+2389235728";"Bu Country Turismo SU Lda | Fazenda, Avenida Cidade de Lisboa, entrada dos Bombeiros, 2 a esquesda, segundo andar., Praia, Cabo Verde";"";"130653.61";"0";"52";"0.0";"CLP";"2026-02-16"
"Cabo Verde";"Praia";"Senderismo por el Valle de Calabaceira + Visita a Cidade Velha";"https://www.civitatis.com/es/praia/senderismo-valle-calabaceira-cidade-velha/";"Bu Country Tours";"admilsongarcia@bucountry.com";"+2389235728";"Bu Country Turismo SU Lda | Fazenda, Avenida Cidade de Lisboa, entrada dos Bombeiros, 2 a esquesda, segundo andar., Praia, Cabo Verde";"";"75584.73";"2";"11";"9.0";"CLP";"2026-02-16"
"Cabo Verde";"Praia";"Tour por Praia";"https://www.civitatis.com/es/praia/tour-praia/";"Levy Travel";"levytravelcv@gmail.com";"002389927894";"LEVY TRAVEL INC. & REP. Lda | Rua das Hortas , Praia, Cabo Verde";"";"37792.36";"16";"128";"8.6";"CLP";"2026-02-16"
"Cabo Verde";"Praia";"Traslados en Praia";"https://www.civitatis.com/es/praia/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"22675.42";"0";"41";"0.0";"CLP";"2026-02-16"
"Cabo Verde";"Praia";"Senderismo por el Parque Natural Serra de Malagueta";"https://www.civitatis.com/es/praia/senderismo-parque-serra-malagueta/";"Levy Travel";"levytravelcv@gmail.com";"002389927894";"LEVY TRAVEL INC. & REP. Lda | Rua das Hortas , Praia, Cabo Verde";"";"114456.88";"9";"103";"9.8";"CLP";"2026-02-16"
"Cabo Verde";"Praia";"Senderismo por el Monte Tchota y el Pico d'Antónia";"https://www.civitatis.com/es/praia/senderismo-monte-tchota-pico-antonia/";"Bu Country Tours";"admilsongarcia@bucountry.com";"+2389235728";"Bu Country Turismo SU Lda | Fazenda, Avenida Cidade de Lisboa, entrada dos Bombeiros, 2 a esquesda, segundo andar., Praia, Cabo Verde";"";"87462.33";"5";"49";"9.2";"CLP";"2026-02-16"
"Cabo Verde";"Praia";"Excursión a Ribeira da Barca y Aguas Belas";"https://www.civitatis.com/es/praia/excursion-ribeira-barca-aguas-belas/";"Bu Country Tours";"admilsongarcia@bucountry.com";"+2389235728";"Bu Country Turismo SU Lda | Fazenda, Avenida Cidade de Lisboa, entrada dos Bombeiros, 2 a esquesda, segundo andar., Praia, Cabo Verde";"";"118776.01";"9";"61";"7.8";"CLP";"2026-02-16"
