"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Bélgica";"Bruselas";"Excursión a Brujas y Gante";"https://www.civitatis.com/es/bruselas/excursion-brujas-gante/";"Buendía";"reservas@buendiatours.com";"+32 471587908";"BUENDIA TRAVEL & TECH SL | Calle Uría 58 3ª Planta, Oviedo, España";"";"50653.06";"17853";"296389";"9.4";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Brujas y Gante";"https://www.civitatis.com/es/bruselas/excursion-brujas-gante/";"Brussels City Tours - Keolis";"info@brussels-city-tours.com";"0032 2 513 77 44";"Autocars Henri De Boeck & Reizen Andre Leloup n.v. | Witloofstraat 35, Haaren, Bélgica";"";"50653.06";"17853";"296389";"9.4";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Brujas y Gante en tren";"https://www.civitatis.com/es/bruselas/excursion-brujas-gante-tren/";"Bravo Discovery";"gricela@bravodiscovery.com";"+32 495 32 03 62";"BRAVO DISCOVERY sprl | Rue du Midi 76, Bruselas, Bélgica";"";"59274.85";"2322";"41136";"9.3";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Brujas";"https://www.civitatis.com/es/bruselas/excursion-brujas/";"Buendía";"reservas@buendiatours.com";"+32 471587908";"BUENDIA TRAVEL & TECH SL | Calle Uría 58 3ª Planta, Oviedo, España";"";"46342.16";"13788";"117566";"9.4";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Gante";"https://www.civitatis.com/es/bruselas/excursion-gante/";"Buendía";"reservas@buendiatours.com";"+32 471587908";"BUENDIA TRAVEL & TECH SL | Calle Uría 58 3ª Planta, Oviedo, España";"";"46342.16";"5899";"49303";"9.3";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Amberes en tren";"https://www.civitatis.com/es/bruselas/excursion-amberes/";"Bravo Discovery";"gricela@bravodiscovery.com";"+32 495 32 03 62";"BRAVO DISCOVERY sprl | Rue du Midi 76, Bruselas, Bélgica";"";"50653.06";"3058";"39568";"9.2";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Amberes en tren";"https://www.civitatis.com/es/bruselas/excursion-amberes/";"Mundistour";"info@mundistour.com";"0032489955772";"MUNDISTOUR | Bergensesteenweg 572, Lembeek, Bélgica";"";"50653.06";"3058";"39568";"9.2";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Dinant y Luxemburgo";"https://www.civitatis.com/es/bruselas/excursion-luxemburgo/";"Buendía";"reservas@buendiatours.com";"+32 471587908";"BUENDIA TRAVEL & TECH SL | Calle Uría 58 3ª Planta, Oviedo, España";"";"61106.99";"756";"11169";"8.6";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Dinant y Luxemburgo";"https://www.civitatis.com/es/bruselas/excursion-luxemburgo/";"Brussels City Tours - Keolis";"info@brussels-city-tours.com";"0032 2 513 77 44";"Autocars Henri De Boeck & Reizen Andre Leloup n.v. | Witloofstraat 35, Haaren, Bélgica";"";"61106.99";"756";"11169";"8.6";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Traslados en Bruselas";"https://www.civitatis.com/es/bruselas/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"53347.37";"23719";"314095";"9.4";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Brujas en tren + Paseo en barco por los canales";"https://www.civitatis.com/es/bruselas/excursion-brujas-tren-paseo-barco/";"Hispano Tours";"info@hispano-tours.com";"+32 489 92 79 61";"Hispano Tours | Dweersstraat 7, Box 203, Brugge, Bélgica";"";"59274.85";"339";"6988";"9.2";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Amberes y Gante";"https://www.civitatis.com/es/bruselas/excursion-amberes-gante/";"Buendía";"reservas@buendiatours.com";"+32 471587908";"BUENDIA TRAVEL & TECH SL | Calle Uría 58 3ª Planta, Oviedo, España";"";"52808.51";"2674";"40435";"9.1";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Excursión a Ámsterdam + Paseo en barco";"https://www.civitatis.com/es/bruselas/excursion-amsterdam/";"Buendía";"reservas@buendiatours.com";"+32 471587908";"BUENDIA TRAVEL & TECH SL | Calle Uría 58 3ª Planta, Oviedo, España";"";"74363.0";"2031";"20267";"8.1";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Tour del chocolate y la cerveza por Bruselas";"https://www.civitatis.com/es/bruselas/tour-bruselas-chocolate/";"Mundistour";"info@mundistour.com";"0032489955772";"MUNDISTOUR | Bergensesteenweg 572, Lembeek, Bélgica";"";"42031.26";"640";"11123";"9.3";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Tour del chocolate y la cerveza por Bruselas";"https://www.civitatis.com/es/bruselas/tour-bruselas-chocolate/";"Belgotours";"belgo.tours@gmail.com";"+32 456 13 96 12";"Rodrigo Rodriguez Tello | Boulevard de la revision 74, Bruselas, Bélgica";"";"42031.26";"640";"11123";"9.3";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Free tour por Bruselas";"https://www.civitatis.com/es/bruselas/visita-guiada-bruselas/";"Hispano Tours";"info@hispano-tours.com";"+32 489 92 79 61";"Hispano Tours | Dweersstraat 7, Box 203, Brugge, Bélgica";"";"0.0";"49882";"710357";"9.4";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Free tour por Bruselas";"https://www.civitatis.com/es/bruselas/visita-guiada-bruselas/";"Mundistour";"info@mundistour.com";"0032489955772";"MUNDISTOUR | Bergensesteenweg 572, Lembeek, Bélgica";"";"0.0";"49882";"710357";"9.4";"CLP";"2026-02-24"
"Bélgica";"Bruselas";"Free tour por el Barrio Europeo";"https://www.civitatis.com/es/bruselas/tour-atomium-barrio-europeo/";"Mundistour";"info@mundistour.com";"0032489955772";"MUNDISTOUR | Bergensesteenweg 572, Lembeek, Bélgica";"";"0.0";"3837";"65888";"9.1";"CLP";"2026-02-24"
