"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Singapur";"Singapur";"Tour privado por Singapur";"https://www.civitatis.com/es/singapur/tour-singapur/";"Guydeez";"lauderic@guydeez.com";"+34 670 78 37 54";"GUYDEEZ TOUR - FZCO | IFZA Business Park, DDP, Dubái, Emiratos Árabes Unidos";"";"107978.19";"167";"4210";"9.1";"CLP";"2026-02-16"
"Singapur";"Singapur";"Entrada a los Jardines de la Bahía";"https://www.civitatis.com/es/singapur/entrada-jardines-bahia/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"33526.43";"102";"2783";"8.5";"CLP";"2026-02-16"
"Singapur";"Singapur";"Entrada al mirador de Marina Bay Sands";"https://www.civitatis.com/es/singapur/mirador-marina-bay-sands/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"28162.2";"154";"3598";"8.2";"CLP";"2026-02-16"
"Singapur";"Singapur";"Tour por Singapur en bicicleta";"https://www.civitatis.com/es/singapur/tour-singapur-bicicleta/";"Bike Around Tour Singapore";"bikearoundtour@gmail.com";"+65 9025 0340";"Wee Yee Tse | Blk 58 Dakota Crescent, Singapur, Singapur";"";"61284.88";"14";"138";"10.0";"CLP";"2026-02-16"
"Singapur";"Singapur";"Free tour por Singapur";"https://www.civitatis.com/es/singapur/free-tour-singapur/";"Monster Day Tours";"info@monsterdaytours.com";"";"Woopa Travels Pte Ltd | 101 Cecil Street, #13-12 Tong Eng Building, Singapur, Singapur";"";"0.0";"23";"708";"8.9";"CLP";"2026-02-16"
"Singapur";"Singapur";"Traslados en Singapur";"https://www.civitatis.com/es/singapur/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"37491.92";"482";"13991";"8.5";"CLP";"2026-02-16"
"Singapur";"Singapur";"Tour al atardecer por Singapur + Espectáculos de luz y sonido + Crucero";"https://www.civitatis.com/es/singapur/tour-atardecer-espectaculos-luz-sonido/";"Wanderlust Ventures Pte. Ltd.";"wanderlust1ventures@gmail.com";"87676069";"Wanderlust Ventures Pte. Ltd. | Serangoon North Avenue 4, Block 534 #03-205, Singapur, Singapur";"";"71378.86";"9";"335";"6.7";"CLP";"2026-02-16"
"Singapur";"Singapur";"Autobús turístico de Singapur";"https://www.civitatis.com/es/singapur/autobus-turistico-singapur/";"Big Bus Tours Usd";"partnersupport@bigbustours.com";"+1 212 685-8687";"Big Bus Tours Ltd | 5th Floor, 110 Buckingham Palace Road, Londres, Reino Unido";"";"45865.29";"116";"2673";"8.3";"CLP";"2026-02-16"
"Singapur";"Singapur";"Free tour por Chinatown";"https://www.civitatis.com/es/singapur/free-tour-alternativo-singapur/";"Monster Day Tours";"info@monsterdaytours.com";"";"Woopa Travels Pte Ltd | 101 Cecil Street, #13-12 Tong Eng Building, Singapur, Singapur";"";"0.0";"6";"144";"9.0";"CLP";"2026-02-16"
"Singapur";"Singapur";"Tarjeta eSIM con Internet para Singapur";"https://www.civitatis.com/es/singapur/tarjeta-sim-singapur/";"Xplori";"go@xplori.world";"+84852186217";"WM&B Limited | 93-97 Des Voeux Road West, Hong Kong Island, China";"";"23205.65";"18";"211";"7.9";"CLP";"2026-02-16"
"Singapur";"Singapur";"Entradas para Universal Studios Singapore";"https://www.civitatis.com/es/singapur/entrada-universal-studios-singapore/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"57679.88";"12";"1958";"7.5";"CLP";"2026-02-16"
"Singapur";"Singapur";"Tour nocturno por Marina Bay";"https://www.civitatis.com/es/singapur/visita-guiada-marina-bay/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"36410.43";"8";"135";"9.5";"CLP";"2026-02-16"
"Singapur";"Singapur";"Tour nocturno en autobús descapotable por Singapur";"https://www.civitatis.com/es/singapur/tour-noctuno-autobus-descapotable/";"Big Bus Tours Usd";"partnersupport@bigbustours.com";"+1 212 685-8687";"Big Bus Tours Ltd | 5th Floor, 110 Buckingham Palace Road, Londres, Reino Unido";"";"47321.33";"1";"19";"10.0";"CLP";"2026-02-16"
"Singapur";"Singapur";"Visita guiada por Singapur";"https://www.civitatis.com/es/singapur/visita-guiada-singapur/";"Tour East Singapore Pte Ltd";"resvn@toureast.net";"+65 6238 2863";"Tour East Singapore (1996) Pte Ltd | 79 Anson Rd, #07-04/05,, Singapur, Singapur";"";"34607.93";"59";"1206";"7.3";"CLP";"2026-02-16"
"Singapur";"Singapur";"Excursión a Universal Studios Singapore";"https://www.civitatis.com/es/singapur/excursion-universal-studios/";"Tour East Singapore Pte Ltd";"resvn@toureast.net";"+65 6238 2863";"Tour East Singapore (1996) Pte Ltd | 79 Anson Rd, #07-04/05,, Singapur, Singapur";"";"79309.84";"17";"680";"7.2";"CLP";"2026-02-16"
