"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Finlandia";"Helsinki";"Free tour por Helsinki";"https://www.civitatis.com/es/helsinki/free-tour-helsinki/";"Go Tours Helsinki";"freetourhelsinki@gmail.com";"0465708745";"GoToursHelsinki | Sturenkatu 26AS36, Helsinki, Helsinki, Finlandia";"";"0.0";"4616";"94628";"9.4";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Free tour por Helsinki";"https://www.civitatis.com/es/helsinki/free-tour-helsinki/";"Green Cap Tours";"sales@greencaptours.com";"+358407253788";"Green Cap Tours | Kanttiinitie 2 A 2, Espoo, Finlandia";"";"0.0";"4616";"94628";"9.4";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Excursión a Tallin";"https://www.civitatis.com/es/helsinki/excursion-tallin/";"Helsinki Tour";"booking@helsinkitour.fi";"+358 0 207570516";"Lenoni Oy | Pasilanratio 5, Helsinki, Finlandia";"";"199651.68";"81";"1212";"8.0";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Excursión al Parque Nacional de Sipoonkorpi + Sauna finlandesa";"https://www.civitatis.com/es/helsinki/excursion-sipoonkorpi-sauna-finlandesa/";"Taiga Times";"info@taigatimes.com";"+358405605305";"Taiga Times Oy | Koivikkotie 5 D 91, Helsinki, Finlandia";"";"171685.33";"11";"55";"10.0";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Tour privado por Helsinki con guía en español";"https://www.civitatis.com/es/helsinki/tour-privado-helsinki/";"Green Cap Tours";"sales@greencaptours.com";"+358407253788";"Green Cap Tours | Kanttiinitie 2 A 2, Espoo, Finlandia";"";"289381.56";"30";"1690";"9.6";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Traslados en Helsinki";"https://www.civitatis.com/es/helsinki/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"74504.95";"200";"4329";"9.1";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Senderismo por el Parque Nacional Liesjärvi";"https://www.civitatis.com/es/helsinki/senderismo-parque-liesjarvi/";"Taiga Times";"info@taigatimes.com";"+358405605305";"Taiga Times Oy | Koivikkotie 5 D 91, Helsinki, Finlandia";"";"160887.51";"9";"74";"9.8";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Tour de arquitectura por Helsinki";"https://www.civitatis.com/es/helsinki/tour-arquitectura-helsinki/";"Buenisimo Travels";"buenisimotravels@gmail.com";"0451233370";"Juan Sebastian Cardenas Olarte | vallilantie 23 a 3, Helsinki, Finlandia";"";"64786.91";"5";"56";"10.0";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Visita guiada por Helsinki";"https://www.civitatis.com/es/helsinki/tour-panoramico-helsinki/";"Go Tours Helsinki";"freetourhelsinki@gmail.com";"0465708745";"GoToursHelsinki | Sturenkatu 26AS36, Helsinki, Helsinki, Finlandia";"";"32393.45";"19";"565";"9.7";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Visita guiada por Helsinki";"https://www.civitatis.com/es/helsinki/tour-panoramico-helsinki/";"Ghersi Antoine Catherine Beatriz (Nomade Tourism)";"contact@nomadetourism.com";"+358406492686";"Ghersi Antoine Catherine Beatriz | VÄLIMAANKATU 10 B, Nokia, Finlandia";"";"32393.45";"19";"565";"9.7";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Tour por el barrio de Kallio";"https://www.civitatis.com/es/helsinki/tour-kallio/";"Buenisimo Travels";"buenisimotravels@gmail.com";"0451233370";"Juan Sebastian Cardenas Olarte | vallilantie 23 a 3, Helsinki, Finlandia";"";"64786.91";"11";"128";"9.5";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Visita guiada por Helsinki y Suomenlinna";"https://www.civitatis.com/es/helsinki/visita-guiada-helsinki-suomenlinna/";"Helsinki Tour";"booking@helsinkitour.fi";"+358 0 207570516";"Lenoni Oy | Pasilanratio 5, Helsinki, Finlandia";"";"161859.31";"29";"583";"8.9";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Excursión a Porvoo";"https://www.civitatis.com/es/helsinki/tour-helsinki-porvoo/";"Helsinki Tour";"booking@helsinkitour.fi";"+358 0 207570516";"Lenoni Oy | Pasilanratio 5, Helsinki, Finlandia";"";"129465.85";"10";"264";"8.4";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Ferry de Helsinki a Tallin";"https://www.civitatis.com/es/helsinki/ferry-tallin/";"Ferryhopper";"t.saralegui@ferryhopper.com";"+30 21 1198 3159";"Ferryhopper SA | Thessalonikis 147 Moschato, Atenas, Grecia";"";"24111.53";"0";"5";"0.0";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Excursión a Porkkala";"https://www.civitatis.com/es/helsinki/excursion-porkkala/";"Wild Frame Adventures";"harhaiszabolcs1997@gmail.com";"+358468003108";"Szabolcs Harhai | Kilvoituksentie 3 A 7, Espoo, Finlandia";"";"118776.01";"1";"63";"10.0";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"¿Escala en Helsinki? Tour desde el aeropuerto";"https://www.civitatis.com/es/helsinki/tour-escala-helsinki/";"Helsinki Tour";"booking@helsinkitour.fi";"+358 0 207570516";"Lenoni Oy | Pasilanratio 5, Helsinki, Finlandia";"";"140263.67";"3";"116";"10.0";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Trekking por el Parque Nacional Nuuksio";"https://www.civitatis.com/es/helsinki/excursion-parque-nacional-nuuksio/";"Wild Frame Adventures";"harhaiszabolcs1997@gmail.com";"+358468003108";"Szabolcs Harhai | Kilvoituksentie 3 A 7, Espoo, Finlandia";"";"124174.92";"8";"74";"8.5";"CLP";"2026-02-16"
"Finlandia";"Helsinki";"Trekking por el Parque Nacional Nuuksio";"https://www.civitatis.com/es/helsinki/excursion-parque-nacional-nuuksio/";"Finland Naturally Experiences";"laura@haltia.com";"+358407477220";"Jotuca Oy | PL 10, NUMMELA, Finlandia";"";"124174.92";"8";"74";"8.5";"CLP";"2026-02-16"
