"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Chile";"Santiago de Chile";"Excursión a Valparaíso y Viña del Mar";"https://www.civitatis.com/es/santiago-de-chile/excursion-valparaiso-vina-del-mar/";"Mto Tour";"grojas@mtotour.com";"+56996383528";"ASESORIAS GUILLERMO ROJAS EIRL | MARIA DEL PILAR 2931, Santiago de Chile, Chile";"";"36440.0";"1888";"27309";"8.2";"CLP";"2026-02-16"
"Chile";"Santiago de Chile";"Excursión a Valparaíso y Viña del Mar";"https://www.civitatis.com/es/santiago-de-chile/excursion-valparaiso-vina-del-mar/";"Lucero Travel";"administracion@lucerotravelchile.cl";"+56964461423";"Sociedad Lucero Travel Chile Limitada | Santa Lucia 344, OF 42, Santiago de Chile, Chile";"";"36440.0";"1888";"27309";"8.2";"CLP";"2026-02-16"
"Chile";"Santiago de Chile";"Visita guiada por Santiago";"https://www.civitatis.com/es/santiago-de-chile/visita-guiada-santiago/";"Zehndertour";"aliceanb@gmail.com";"+56945386408";"Gustavo Isaac Zehnder Sady | Alonso de Ovalle 884 DP 301, Santiago de Chile, Chile";"";"15000.0";"202";"1936";"9.4";"CLP";"2026-02-16"
"Chile";"Santiago de Chile";"Excursión al Cajón del Maipo en grupo reducido";"https://www.civitatis.com/es/santiago-de-chile/excursion-cajon-maipo-grupo-reducido/";"Mto Tour";"grojas@mtotour.com";"+56996383528";"ASESORIAS GUILLERMO ROJAS EIRL | MARIA DEL PILAR 2931, Santiago de Chile, Chile";"";"38000.0";"287";"4095";"8.4";"CLP";"2026-02-16"
"Chile";"Santiago de Chile";"Tour panorámico por Santiago";"https://www.civitatis.com/es/santiago-de-chile/tour-panoramico-santiago/";"Mto Tour";"grojas@mtotour.com";"+56996383528";"ASESORIAS GUILLERMO ROJAS EIRL | MARIA DEL PILAR 2931, Santiago de Chile, Chile";"";"41340.0";"341";"3713";"8.7";"CLP";"2026-02-16"
"Chile";"Santiago de Chile";"Free tour por Santiago";"https://www.civitatis.com/es/santiago-de-chile/free-tour-santiago/";"Latin Style Travel";"latinstyletravel@gmail.com";"+56978382289";"Jaime Mois Corona | Central 048, Santiago de Chile, Chile";"";"0.0";"2453";"50881";"9.4";"CLP";"2026-02-16"
"Chile";"Santiago de Chile";"Traslados en Santiago de Chile";"https://www.civitatis.com/es/santiago-de-chile/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"38221.08";"1219";"26337";"8.8";"CLP";"2026-02-16"
"Chile";"Santiago de Chile";"Tour privado por Santiago de Chile";"https://www.civitatis.com/es/santiago-de-chile/tour-privado-santiago/";"Mto Tour";"grojas@mtotour.com";"+56996383528";"ASESORIAS GUILLERMO ROJAS EIRL | MARIA DEL PILAR 2931, Santiago de Chile, Chile";"";"149990.0";"78";"1843";"8.4";"CLP";"2026-02-16"
"Chile";"Santiago de Chile";"Estación de esquí El Portillo, Laguna del Inca y Viña San Esteban";"https://www.civitatis.com/es/santiago-de-chile/estacion-esqui-portillo-laguna-inca/";"Stamp's Tour";"operations@stampstour.com";"+56 999516940";"TURISMO Y TRANSPORTE STAMP'S TOUR LIMITA | Camino Carampangue Parcela 2 N°3201,, Talagante, Chile";"";"58132.44";"191";"2532";"8.7";"CLP";"2026-02-16"
"Chile";"Santiago de Chile";"Excursión a las termas de Colina y el embalse El Yeso";"https://www.civitatis.com/es/santiago-de-chile/excursion-termas-colina-embalse-yeso/";"Lc Turismo";"gerencia@lucascarvalhoturismo.com.br";"+56987064691";"LUCAS CARVALHO TURISMO LTDA | 3-21 RUA JOSE ARIEDE, Bauru, Brasil";"";"74702.73";"14";"208";"9.1";"CLP";"2026-02-16"
