"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Turquía";"Estambul";"Crucero por el Bósforo al atardecer";"https://www.civitatis.com/es/estambul/crucero-bosforo-atardecer/";"Bosphorus Tours";"info@bosphorustour.com";"00 90 554 797 2646";"Hevra Turizm ve Ins. Dis Tic.Ltd. Sti. | Bindirdirek mah. Goktas Sok. n8. Cemberlitas Fatih, Estambul, Turquía";"";"40529.01";"1073";"13074";"9.4";"CLP";"2026-02-16"
"Turquía";"Estambul";"Free tour por Estambul";"https://www.civitatis.com/es/estambul/free-tour-estambul/";"Mustafa Afsin Tuluce Viaurbis";"ispanya@hotmail.com";"00905077661279";"SALTICA LTD | 332 Green Lanes, Londres, Reino Unido";"";"0.0";"20157";"326751";"9.0";"CLP";"2026-02-16"
"Turquía";"Estambul";"Crucero por el Bósforo y el Cuerno de Oro";"https://www.civitatis.com/es/estambul/crucero-bosforo-cuerno-oro/";"Mustafa Afsin Tuluce Viaurbis";"ispanya@hotmail.com";"00905077661279";"SALTICA LTD | 332 Green Lanes, Londres, Reino Unido";"";"21615.47";"3639";"49976";"8.2";"CLP";"2026-02-16"
"Turquía";"Estambul";"Crucero nocturno con cena y espectáculo";"https://www.civitatis.com/es/estambul/crucero-cena-espectaculo/";"Royal Tours Tickets";"deniz@cosmic-tickets-audios.com";"+905427178837";"Mega Travel Group Turizm ve Tic. Ltd. Sti. | Gümüşsuyu Mah. Inönü Cd Melek Apt. No: 11/2 34437 Beyoglu, Estambul, Turquía";"";"27019.34";"1393";"21602";"8.0";"CLP";"2026-02-16"
"Turquía";"Estambul";"Tour por las mezquitas de Estambul";"https://www.civitatis.com/es/estambul/tour-mezquitas-estambul/";"Tripguru Turquía";"slapietra@thetripguru.com";"+1 254 454 4878";"Trip Guru Limited | Room36 Entreprenuership Centre, I.T. Street. Level 3, Cyberport 3, 100 Cyberport Road, Pok Fu Lam, China";"";"52436.45";"1120";"10863";"9.5";"CLP";"2026-02-16"
"Turquía";"Estambul";"Tour por los barrios de Fener y Balat";"https://www.civitatis.com/es/estambul/tour-barrios-fener-balat/";"Fenerwalks Tours And Experiences";"ozdinletiryunus@gmail.com";"+905446089485";"İsmail Yunus Özdinletir | Yildiztabya Mahallesi Sultan Sokak No 11, Estambul, Turquía";"";"19453.92";"270";"2980";"9.5";"CLP";"2026-02-16"
"Turquía";"Estambul";"Traslados en Estambul";"https://www.civitatis.com/es/estambul/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"36172.69";"10781";"166721";"9.0";"CLP";"2026-02-16"
"Turquía";"Estambul";"Tour privado por Estambul";"https://www.civitatis.com/es/estambul/tour-privado-estambul/";"Euromarmara Turizm";"reservas@euromarmara.com";"0090 212 2443300";"Euromarmara Turzim AS | Miralay Şefikbey Sok., Dedem Han no : 9/5 Gumussuyu / Beyoglu , Estambul, Turquía";"";"237770.2";"1301";"43057";"9.0";"CLP";"2026-02-16"
"Turquía";"Estambul";"Crucero por el Bósforo + Mezquita Azul + Santa Sofía";"https://www.civitatis.com/es/estambul/crucero-bosforo-sultanahmet/";"Euromarmara Turizm";"reservas@euromarmara.com";"0090 212 2443300";"Euromarmara Turzim AS | Miralay Şefikbey Sok., Dedem Han no : 9/5 Gumussuyu / Beyoglu , Estambul, Turquía";"";"87542.66";"1447";"15805";"8.0";"CLP";"2026-02-16"
"Turquía";"Estambul";"Entrada a Santa Sofía sin colas + Audioguía";"https://www.civitatis.com/es/estambul/entrada-santa-sofia-audioguia/";"Royal Tours Tickets";"deniz@cosmic-tickets-audios.com";"+905427178837";"Mega Travel Group Turizm ve Tic. Ltd. Sti. | Gümüşsuyu Mah. Inönü Cd Melek Apt. No: 11/2 34437 Beyoglu, Estambul, Turquía";"";"35125.14";"482";"10753";"6.9";"CLP";"2026-02-16"
"Turquía";"Estambul";"Entradas al Palacio de Topkapi sin colas + Audioguía";"https://www.civitatis.com/es/estambul/entrada-palacio-topkapi/";"Royal Tours Tickets";"deniz@cosmic-tickets-audios.com";"+905427178837";"Mega Travel Group Turizm ve Tic. Ltd. Sti. | Gümüşsuyu Mah. Inönü Cd Melek Apt. No: 11/2 34437 Beyoglu, Estambul, Turquía";"";"59442.55";"808";"14376";"6.3";"CLP";"2026-02-16"
"Turquía";"Estambul";"Baño turco con masaje en el Gedikpasa Hamam";"https://www.civitatis.com/es/estambul/bano-turco-cagaloglu-hamam/";"Royal Line Holidays";"tourigy@gmail.com";"+905305149413";"Royal Line Turizm Tic Ltd Sti | Hoca Pasa Hudavendigar Cd No 38  34110 Fatih, Estambul, Turquía";"";"75654.15";"163";"1933";"9.1";"CLP";"2026-02-16"
"Turquía";"Estambul";"Tour por la Cisterna Basílica";"https://www.civitatis.com/es/estambul/tour-cisterna-basilica/";"Istanbul E-Pass";"istanbul@istanbulepass.com";"+905072823812";"Varol Grup Turizm Seyahat ve Teknolojileri San. Tic. Ltd. Şti. | Mecidiyeköy Mah. Atakan Sok. Berkan İş Hanı Blok No:4/19A Şişli İstanbul, Estambul, Turquía";"";"38799.77";"471";"8480";"7.6";"CLP";"2026-02-16"
"Turquía";"Estambul";"Espectáculo de los Derviches Giróvagos";"https://www.civitatis.com/es/estambul/espectaculo-derviches-girovagos/";"Hodjapasha Istanbul";"info@hodjapasha.com";"+90 212 5114626";"Kubbe Kultur Hizmetleri ve Turizm Ticaret Limited | Hocapaşa Mah. Hocapaşa Hamamı Sk Hocapaşa İşhanı No:3d/33-34-36 Eminönü Hocapaşa Hamamı Sok. Hocapaşa İşhn. No:3d/27-39, Estambul, Turquía";"";"37827.07";"834";"16139";"8.2";"CLP";"2026-02-16"
"Turquía";"Estambul";"Tour por los palacios y mezquitas de Estambul";"https://www.civitatis.com/es/estambul/tour-palacios-mezquitas-estambul/";"Tripguru Turquía";"slapietra@thetripguru.com";"+1 254 454 4878";"Trip Guru Limited | Room36 Entreprenuership Centre, I.T. Street. Level 3, Cyberport 3, 100 Cyberport Road, Pok Fu Lam, China";"";"40965.98";"444";"3919";"9.4";"CLP";"2026-02-16"
"Turquía";"Estambul";"Visita guiada por la Mezquita Azul";"https://www.civitatis.com/es/estambul/visita-guiada-mezquita-azul/";"Mustafa Afsin Tuluce Viaurbis";"ispanya@hotmail.com";"00905077661279";"SALTICA LTD | 332 Green Lanes, Londres, Reino Unido";"";"16211.6";"188";"3932";"8.4";"CLP";"2026-02-16"
