destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Puerto España,Trinidad y Tobago,Excursión a las cuevas de Gasparee,"73.713,31 CL$",CLP,1 opinión,11 viajeros,Los Exploradorestt Tours Limited,losexploradores.tt@gmail.com,+18687836446,"Los Exploradorestt Tours Limited | #18 Grant Street, Rio Claro, Trinidad y Tobago",https://www.civitatis.com/es/puerto-espana/excursion-cuevas-gasparee/,2026-02-02
Puerto España,Trinidad y Tobago,Tour por Puerto España y la playa Maracas,"82.927,47 CL$",CLP,Sin valorar,2 viajeros,Los Exploradorestt Tours Limited,losexploradores.tt@gmail.com,+18687836446,"Los Exploradorestt Tours Limited | #18 Grant Street, Rio Claro, Trinidad y Tobago",https://www.civitatis.com/es/puerto-espana/tour-puerto-espana-playa-maracas/,2026-02-02
Puerto España,Trinidad y Tobago,Tour por el santuario de aves Caroni,"69.106,23 CL$",CLP,Sin valorar,,Los Exploradorestt Tours Limited,losexploradores.tt@gmail.com,+18687836446,"Los Exploradorestt Tours Limited | #18 Grant Street, Rio Claro, Trinidad y Tobago",https://www.civitatis.com/es/puerto-espana/tour-santuario-aves-caroni/,2026-02-02
Puerto España,Trinidad y Tobago,Tour en kayak por el santuario de aves Caroni,"115.177,05 CL$",CLP,Sin valorar,,Los Exploradorestt Tours Limited,losexploradores.tt@gmail.com,+18687836446,"Los Exploradorestt Tours Limited | #18 Grant Street, Rio Claro, Trinidad y Tobago",https://www.civitatis.com/es/puerto-espana/tour-kayak-santuario-aves-caroni/,2026-02-02
Puerto España,Trinidad y Tobago,Excursión al templo sobre el Mar y el lago de la Brea,"105.962,88 CL$",CLP,1 opinión,2 viajeros,Los Exploradorestt Tours Limited,losexploradores.tt@gmail.com,+18687836446,"Los Exploradorestt Tours Limited | #18 Grant Street, Rio Claro, Trinidad y Tobago",https://www.civitatis.com/es/puerto-espana/excursion-templo-mar-lago-brea/,2026-02-02
Puerto España,Trinidad y Tobago,Excursión a Lopinot,"165.854,95 CL$",CLP,Sin valorar,2 viajeros,Los Exploradorestt Tours Limited,losexploradores.tt@gmail.com,+18687836446,"Los Exploradorestt Tours Limited | #18 Grant Street, Rio Claro, Trinidad y Tobago",https://www.civitatis.com/es/puerto-espana/excursion-lopinot/,2026-02-02
Puerto España,Trinidad y Tobago,Tour por Puerto España,"55.284,98 CL$",CLP,Sin valorar,2 viajeros,Los Exploradorestt Tours Limited,losexploradores.tt@gmail.com,+18687836446,"Los Exploradorestt Tours Limited | #18 Grant Street, Rio Claro, Trinidad y Tobago",https://www.civitatis.com/es/puerto-espana/tour-puerto-espana/,2026-02-02
Puerto España,Trinidad y Tobago,Excursión a las cascadas Avocat y la playa Maracas,"105.962,88 CL$",CLP,Sin valorar,,Los Exploradorestt Tours Limited,losexploradores.tt@gmail.com,+18687836446,"Los Exploradorestt Tours Limited | #18 Grant Street, Rio Claro, Trinidad y Tobago",https://www.civitatis.com/es/puerto-espana/excursion-cascadas-avocat-playa-maracas/,2026-02-02
Puerto España,Trinidad y Tobago,Excursión a la playa Maracas,"69.106,23 CL$",CLP,Sin valorar,,Los Exploradorestt Tours Limited,losexploradores.tt@gmail.com,+18687836446,"Los Exploradorestt Tours Limited | #18 Grant Street, Rio Claro, Trinidad y Tobago",https://www.civitatis.com/es/puerto-espana/excursion-playa-maracas/,2026-02-02
Puerto España,Trinidad y Tobago,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
