destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
San José,Costa Rica,"Volcán Poás, Catarata de La Paz y finca de café","127.057,61 CL$",CLP,204 opiniones,4.011 viajeros,Costa Rica Itinerary,costaricaitinerary@gmail.com,+506 60182280,"Transposiciónes de Turismo y Tecnología para Costa Rica TTTCR S.A | 150 metros oeste de la guardia rural de Río Segundo de Alajuela, Alajuela , Costa Rica",https://www.civitatis.com/es/san-jose/volcan-poas-catarata-paz-finca-starbucks/,2026-02-01
San José,Costa Rica,"Volcán Poás, Catarata de La Paz y finca de café","127.057,61 CL$",CLP,204 opiniones,4.011 viajeros,Expediciones Tropicales,gsalas@expedicionestropicales.com,+506 -2257-4171,"Expediciones Tropicales S.A. | Provincia: San José. Cantón: Central. Distrito: El Carmen. Dirección: Avenidas 11 y 13, Calle 3 Bis, Barrio Amón., San José, Costa Rica",https://www.civitatis.com/es/san-jose/volcan-poas-catarata-paz-finca-starbucks/,2026-02-01
San José,Costa Rica,Free tour por San José,¡Gratis!,CLP,866 opiniones,17.831 viajeros,San José City Striders,sanjosecitystriders@gmail.com,+50671912128,"Ronald Amaral Sanchez Salas | Barrio Luja´n 125 sur del PANI altos del Salón de Belleza Elieth, San José, Costa Rica",https://www.civitatis.com/es/san-jose/free-tour-san-jose/,2026-02-01
San José,Costa Rica,Free tour por San José,¡Gratis!,CLP,866 opiniones,17.831 viajeros,David Tours,dbu2011@yahoo.com,+50660494358,"David Bejarano Ugalde | San Jose, Costa Rica, San José, Costa Rica",https://www.civitatis.com/es/san-jose/free-tour-san-jose/,2026-02-01
San José,Costa Rica,Tour de 2 o 3 días por el Parque Nacional Tortuguero,"266.491,91 CL$",CLP,15 opiniones,260 viajeros,Laguna Lodge Tortuguero,ventas3@lagunatortuguero.com,+506 8340 4907,"Kupia Kumi del Tortuguero SA | San Pedro, Barrio Dent., San José, Costa Rica",https://www.civitatis.com/es/san-jose/tour-2-3-dias-tortuguero/,2026-02-01
San José,Costa Rica,Excursión al volcán Arenal + Aguas termales,"185.924,59 CL$",CLP,116 opiniones,1.302 viajeros,Expediciones Tropicales,gsalas@expedicionestropicales.com,+506 -2257-4171,"Expediciones Tropicales S.A. | Provincia: San José. Cantón: Central. Distrito: El Carmen. Dirección: Avenidas 11 y 13, Calle 3 Bis, Barrio Amón., San José, Costa Rica",https://www.civitatis.com/es/san-jose/volcan-arenal-aguas-termales/,2026-02-01
San José,Costa Rica,Excursión a los Jardines de la catarata La Paz,"123.949,72 CL$",CLP,6 opiniones,105 viajeros,Expediciones Tropicales,gsalas@expedicionestropicales.com,+506 -2257-4171,"Expediciones Tropicales S.A. | Provincia: San José. Cantón: Central. Distrito: El Carmen. Dirección: Avenidas 11 y 13, Calle 3 Bis, Barrio Amón., San José, Costa Rica",https://www.civitatis.com/es/san-jose/excursion-catarata-paz/,2026-02-01
San José,Costa Rica,Excursión al Parque Nacional Tortuguero,"145.339,28 CL$",CLP,82 opiniones,1.190 viajeros,Mta Travel Solutions Costa Rica,evargas@mikitravel.net,0050622914455,"Agencia de Viajes Miki S.A. | In front of Hotel Palma Real, Sabana Norte, San José, Costa Rica",https://www.civitatis.com/es/san-jose/tour-parque-tortuguero/,2026-02-01
San José,Costa Rica,Traslados en San José,"34.735,17 CL$",CLP,84 opiniones,2.157 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/san-jose/traslados/,2026-02-01
San José,Costa Rica,"Excursión al Volcán Irazú, Valle de Orosi y Jardines Lankester","79.534,40 CL$",CLP,68 opiniones,545 viajeros,Expediciones Tropicales,gsalas@expedicionestropicales.com,+506 -2257-4171,"Expediciones Tropicales S.A. | Provincia: San José. Cantón: Central. Distrito: El Carmen. Dirección: Avenidas 11 y 13, Calle 3 Bis, Barrio Amón., San José, Costa Rica",https://www.civitatis.com/es/san-jose/volcan-irazu-orosi-lankester/,2026-02-01
