"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Italia";"Venecia";"Tour por la Basílica de San Marcos y el Palacio Ducal con entradas";"https://www.civitatis.com/es/venecia/basilica-san-marcos-palacio-ducal/";"Park Viaggi S.r.l.";"incoming@parkviaggi.it";"+39 041 5230200";"PARK VIAGGI SRL | San Marco 4933, Venecia, Italia";"";"114238.81";"1953";"38573";"9.1";"CLP";"2026-02-24"
"Italia";"Venecia";"Tour por la Basílica de San Marcos y el Palacio Ducal con entradas";"https://www.civitatis.com/es/venecia/basilica-san-marcos-palacio-ducal/";"Venice Tours";"booking@venicecitytours.it";"3403327610";"VENICE TOURS S.R.L. | SAN MARCO 1130 , Venecia, Italia";"";"114238.81";"1953";"38573";"9.1";"CLP";"2026-02-24"
"Italia";"Venecia";"Oferta: Visita guiada + Basílica + Palacio Ducal";"https://www.civitatis.com/es/venecia/tour-venecia-completo/";"Park Viaggi S.r.l.";"incoming@parkviaggi.it";"+39 041 5230200";"PARK VIAGGI SRL | San Marco 4933, Venecia, Italia";"";"146570.55";"2947";"47883";"9.0";"CLP";"2026-02-24"
"Italia";"Venecia";"Excursión a Murano y Burano por libre";"https://www.civitatis.com/es/venecia/excursion-murano-burano/";"Consorzio Vidali Group";"vidaligroup@hotmail.com";"3342878087";"Consorzio Vidali Group Motoscafi | San Marco 2757, Venecia, Italia";"";"25865.39";"5945";"70372";"6.9";"CLP";"2026-02-24"
"Italia";"Venecia";"Free tour por Venecia";"https://www.civitatis.com/es/venecia/free-tour-venecia/";"Itaka Tours Italia";"itakatours.info@gmail.com";"";"Francisco Jesús Núñez Pizarro | Via G. Matteotti, 50 Dolo VE, Venecia, Italia";"";"0.0";"18028";"350865";"9.0";"CLP";"2026-02-24"
"Italia";"Venecia";"Free tour por Venecia";"https://www.civitatis.com/es/venecia/free-tour-venecia/";"Itaka Tours";"fran.nz1981@gmail.com";"+34689866156";"FRANCISCO JESUS NUNEZ PIZARRO | Via G. Matteotti, 50 Dolo VE, Venecia, Italia";"";"0.0";"18028";"350865";"9.0";"CLP";"2026-02-24"
"Italia";"Venecia";"Traslados en Venecia";"https://www.civitatis.com/es/venecia/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"70052.1";"8859";"149427";"9.3";"CLP";"2026-02-24"
"Italia";"Venecia";"Excursión a Burano, Murano y Torcello por libre";"https://www.civitatis.com/es/venecia/barco-burano-murano-torcello/";"Consorzio Vidali Group";"vidaligroup@hotmail.com";"3342878087";"Consorzio Vidali Group Motoscafi | San Marco 2757, Venecia, Italia";"";"25865.39";"3802";"59237";"6.8";"CLP";"2026-02-24"
"Italia";"Venecia";"Crucero con cena en el Galeón Veneciano";"https://www.civitatis.com/es/venecia/crucero-cena-galeon-veneciano/";"Galeone Veneziano Jolly Roger";"info@jollyroger.it";"+39 335 7060330";"GVJ DI LONGO ANDREA & C. S.A.S. | Via Capo Horn 10/A, Cavallino- Treporti, Italia";"";"118549.71";"1188";"13844";"9.6";"CLP";"2026-02-24"
"Italia";"Venecia";"Visita guiada por la plaza de San Marcos y sus alrededores";"https://www.civitatis.com/es/venecia/visita-guiada-plaza-san-marcos/";"Venice Tours";"booking@venicecitytours.it";"3403327610";"VENICE TOURS S.R.L. | SAN MARCO 1130 , Venecia, Italia";"";"16165.87";"1868";"82063";"9.0";"CLP";"2026-02-24"
