"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"China";"Hong Kong";"Tour por la isla de Lantau";"https://www.civitatis.com/es/hong-kong/excursion-isla-lantau/";"Vive Hong Kong Tours";"lorena@toursenhongkong.com";"+852 6827 4952";"Vive HongKong Limited | Unit 910, 9/F Solo Workshops, 131-132 Connaught Road West, Sai Ying Pun, HongKong , HongKong , China";"";"150905.96";"41";"1333";"9.8";"CLP";"2026-02-24"
"China";"Hong Kong";"Excursión a Macao";"https://www.civitatis.com/es/hong-kong/excursion-macao/";"King Star Travel Co., Ltd";"antony@kingstartravel.com.hk";"+852060326733";"King Star Travel Co., Ltd | Shop B109, B1/F., Regal Kowloon Hotel, 71 Mody Road, Tsim Sha Tsui East, Kowloon, Hong Kong, Hong Kong, Hong Kong";"";"160816.55";"73";"659";"8.7";"CLP";"2026-02-24"
"China";"Hong Kong";"Visita guiada por Hong Kong";"https://www.civitatis.com/es/hong-kong/visita-guiada-hong-kong/";"Vive Hong Kong Tours";"lorena@toursenhongkong.com";"+852 6827 4952";"Vive HongKong Limited | Unit 910, 9/F Solo Workshops, 131-132 Connaught Road West, Sai Ying Pun, HongKong , HongKong , China";"";"75910.27";"80";"1163";"9.5";"CLP";"2026-02-24"
"China";"Hong Kong";"Tour por Kowloon";"https://www.civitatis.com/es/hong-kong/tour-kowloon/";"Vive Hong Kong Tours";"lorena@toursenhongkong.com";"+852 6827 4952";"Vive HongKong Limited | Unit 910, 9/F Solo Workshops, 131-132 Connaught Road West, Sai Ying Pun, HongKong , HongKong , China";"";"77739.43";"20";"324";"9.8";"CLP";"2026-02-24"
"China";"Hong Kong";"Subida al Pico Victoria";"https://www.civitatis.com/es/hong-kong/funicular-pico-victoria/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"10157.67";"24";"1279";"7.9";"CLP";"2026-02-24"
"China";"Hong Kong";"Crucero nocturno por la bahía Victoria en barco tradicional";"https://www.civitatis.com/es/hong-kong/crucero-nocturno-hong-kong/";"Aqua Luna Hong Kong";"aqualuna@aqua.com.hk";"+852 2854 1813";"Festival Thai Limited | 15/F., Lee West Commercial Building, 375-379 Hennessy Road, Wan Chai, HK, Hong Kong, China";"";"32748.09";"30";"464";"9.2";"CLP";"2026-02-24"
"China";"Hong Kong";"Traslados en Hong Kong";"https://www.civitatis.com/es/hong-kong/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"63106.13";"83";"1856";"8.6";"CLP";"2026-02-24"
"China";"Hong Kong";"Tren MTR Express al aeropuerto de Hong Kong";"https://www.civitatis.com/es/hong-kong/billete-mtr-express-aeropuerto-hong-kong/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"9883.34";"14";"271";"9.6";"CLP";"2026-02-24"
"China";"Hong Kong";"Crucero Symphony of Lights en yate";"https://www.civitatis.com/es/hong-kong/crucero-symphony-lights/";"Oceangogo Company Limited";"partner@oceangogo.hk";"97927430";"Oceangogo Company Limited | Rm 6.2, 6/F, Kwong Kin Trade Centre, 5 Kin Fat Street, Tuen Mun, China";"";"34853.33";"14";"226";"7.9";"CLP";"2026-02-24"
"China";"Hong Kong";"Tour privado por la isla de Hong Kong";"https://www.civitatis.com/es/hong-kong/tour-privado-hong-kong/";"Vive Hong Kong Tours";"lorena@toursenhongkong.com";"+852 6827 4952";"Vive HongKong Limited | Unit 910, 9/F Solo Workshops, 131-132 Connaught Road West, Sai Ying Pun, HongKong , HongKong , China";"";"402415.91";"50";"1351";"9.8";"CLP";"2026-02-24"
"China";"Hong Kong";"Crucero Symphony of Lights en barco tradicional";"https://www.civitatis.com/es/hong-kong/crucero-symphony-of-lights/";"Aqua Luna Hong Kong";"aqualuna@aqua.com.hk";"+852 2854 1813";"Festival Thai Limited | 15/F., Lee West Commercial Building, 375-379 Hennessy Road, Wan Chai, HK, Hong Kong, China";"";"39765.54";"66";"1156";"8.7";"CLP";"2026-02-24"
"China";"Hong Kong";"Tour nocturno por Hong Kong";"https://www.civitatis.com/es/hong-kong/tour-nocturno-hong-kong/";"Vive Hong Kong Tours";"lorena@toursenhongkong.com";"+852 6827 4952";"Vive HongKong Limited | Unit 910, 9/F Solo Workshops, 131-132 Connaught Road West, Sai Ying Pun, HongKong , HongKong , China";"";"86885.25";"6";"227";"10.0";"CLP";"2026-02-24"
"China";"Hong Kong";"Tour por la isla de Hong Kong";"https://www.civitatis.com/es/hong-kong/tour-hong-kong/";"Splendid Tours & Travel";"info@splendid.hk";"+852 23162151";"Splendid Tours & Travel Limited | The Lobby, 2nd Level Sheraton Hong Kong Hotel & Towers 20 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong";"";"84209.39";"2";"196";"10.0";"CLP";"2026-02-24"
"China";"Hong Kong";"Autobús turístico de Hong Kong";"https://www.civitatis.com/es/hong-kong/autobus-turistico-hong-kong/";"Big Bus Tours - Hkd";"partnersupport@bigbustours.com";"+44 0 207 976 4339";"Big Bus Tours Ltd | 5th Floor, 110 Buckingham Palace Road, Londres, Reino Unido";"";"47367.78";"43";"717";"8.5";"CLP";"2026-02-24"
"China";"Hong Kong";"Visita guiada por Mong Kok";"https://www.civitatis.com/es/hong-kong/visita-guiada-mong-kok/";"Hong Kong Free Tours";"info@hongkongfreetours.com";"94448472";"Hong Kong Free Tours limited | 18 Pai Shue St., Kowloon, Hong Kong, China";"";"29239.37";"3";"21";"8.7";"CLP";"2026-02-24"
"China";"Hong Kong";"Entrada a Disneyland Hong Kong";"https://www.civitatis.com/es/hong-kong/entrada-disneyland-hong-kong/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"85058.83";"7";"2498";"9.7";"CLP";"2026-02-24"
"China";"Hong Kong";"Tour privado por la isla de Lantau";"https://www.civitatis.com/es/hong-kong/tour-privado-lantau/";"Vive Hong Kong Tours";"lorena@toursenhongkong.com";"+852 6827 4952";"Vive HongKong Limited | Unit 910, 9/F Solo Workshops, 131-132 Connaught Road West, Sai Ying Pun, HongKong , HongKong , China";"";"402415.91";"11";"265";"9.5";"CLP";"2026-02-24"
"China";"Hong Kong";"Ferry a Macao";"https://www.civitatis.com/es/hong-kong/ferry-macao/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"24589.23";"0";"19";"0.0";"CLP";"2026-02-24"
"China";"Hong Kong";"Tour gastronómico por Hong Kong";"https://www.civitatis.com/es/hong-kong/tour-gastronomico-hong-kong/";"Hong Kong Free Tours";"info@hongkongfreetours.com";"94448472";"Hong Kong Free Tours limited | 18 Pai Shue St., Kowloon, Hong Kong, China";"";"46782.99";"5";"48";"8.8";"CLP";"2026-02-24"
"China";"Hong Kong";"Go City: Hong Kong All-Inclusive Pass";"https://www.civitatis.com/es/hong-kong/go-city-hong-kong/";"Go City Usd";"cstradesales@gocity.com";"+1 800 887 9103";"GO CITY LIMITED | 100 High Street Suite 1300, Boston, Estados Unidos";"";"99707.68";"1";"15";"8.0";"CLP";"2026-02-24"
"China";"Hong Kong";"Excursión a Ocean Park";"https://www.civitatis.com/es/hong-kong/excursion-ocean-park/";"Gl Tours Of Hong Kong Limited";"ronald.wu@gltours.com.hk";"+85223687111";"GL Tours of Hong Kong Limited | Room 501, Cheong Hing Building, 72 Nathan Road, TST, KLN, HK, Hong Kong, China";"";"62219.04";"1";"6";"10.0";"CLP";"2026-02-24"
"China";"Hong Kong";"Avistamiento de delfines en Hong Kong";"https://www.civitatis.com/es/hong-kong/avistamiento-delfines-hong-kong/";"Hong Kong Greeters Private Tours";"amy@hkgreeters.com";"85290155307";"Hong Kong Greeters Ltd | RM 42 unit 2 G/F Fo Tan Industrial Centre 26-28 Au Pui Wan Street Fo Tan Shatin, New Territories, China";"";"84794.18";"1";"9";"10.0";"CLP";"2026-02-24"
"China";"Hong Kong";"Go City: Hong Kong Explorer Pass";"https://www.civitatis.com/es/hong-kong/hong-kong-explorer-pass/";"Go City Usd";"cstradesales@gocity.com";"+1 800 887 9103";"GO CITY LIMITED | 100 High Street Suite 1300, Boston, Estados Unidos";"";"99707.68";"0";"35";"0.0";"CLP";"2026-02-24"
"China";"Hong Kong";"Entrada al mirador Sky100";"https://www.civitatis.com/es/hong-kong/entrada-sky100/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"19492.34";"13";"220";"8.9";"CLP";"2026-02-24"
