"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Austria";"Viena";"Visita guiada por el Palacio de Schönbrunn";"https://www.civitatis.com/es/viena/visita-guiada-palacio-schonbrunn/";"Good Vienna Tours";"info@goodviennatours.eu";"+43 0 664 55 44 315";"Good Vienna Tours GmbH | Himmelpfortgasse 1/11/25A, Viena, Austria";"";"58088.32";"2115";"36140";"8.8";"CLP";"2026-02-24"
"Austria";"Viena";"Visita guiada por el Palacio de Schönbrunn";"https://www.civitatis.com/es/viena/visita-guiada-palacio-schonbrunn/";"Rosotravel";"civitatisbookings@rosotravel.com";"+48 799 097 291";"Roso Group LLC | 30 N Gould St Ste R, Wyoming, USA, Estados Unidos";"";"58088.32";"2115";"36140";"8.8";"CLP";"2026-02-24"
"Austria";"Viena";"Tour de Sissi por el Palacio de Hofburg";"https://www.civitatis.com/es/viena/tour-sissi-viena/";"Good Vienna Tours";"info@goodviennatours.eu";"+43 0 664 55 44 315";"Good Vienna Tours GmbH | Himmelpfortgasse 1/11/25A, Viena, Austria";"";"51634.06";"1253";"20640";"8.8";"CLP";"2026-02-24"
"Austria";"Viena";"Tour de Sissi por el Palacio de Hofburg";"https://www.civitatis.com/es/viena/tour-sissi-viena/";"Rosotravel";"civitatisbookings@rosotravel.com";"+48 799 097 291";"Roso Group LLC | 30 N Gould St Ste R, Wyoming, USA, Estados Unidos";"";"51634.06";"1253";"20640";"8.8";"CLP";"2026-02-24"
"Austria";"Viena";"Free tour por Viena";"https://www.civitatis.com/es/viena/free-tour-viena/";"Prime Tours";"bookings@primetours.at";"+4313911122";"LoeX Local Experience GmbH | Reindorfgasse 25/1, Viena, Austria";"";"0.0";"35416";"705154";"8.4";"CLP";"2026-02-24"
"Austria";"Viena";"Free tour por Viena";"https://www.civitatis.com/es/viena/free-tour-viena/";"A Dónde Vamos Tours";"toursadondevamos@gmail.com";"+34 694 21 18 33";"Ana Garcia Gomez | Calle Conejito de Málaga, 4. Bajo B, Málaga, España";"";"0.0";"35416";"705154";"8.4";"CLP";"2026-02-24"
"Austria";"Viena";"Visita guiada por Viena y la Ópera Estatal";"https://www.civitatis.com/es/viena/visita-guiada-viena-opera/";"Good Vienna Tours";"info@goodviennatours.eu";"+43 0 664 55 44 315";"Good Vienna Tours GmbH | Himmelpfortgasse 1/11/25A, Viena, Austria";"";"35498.41";"1160";"12462";"9.0";"CLP";"2026-02-24"
"Austria";"Viena";"Visita guiada por el Palacio Belvedere";"https://www.civitatis.com/es/viena/visita-guiada-palacio-belvedere/";"Good Vienna Tours";"info@goodviennatours.eu";"+43 0 664 55 44 315";"Good Vienna Tours GmbH | Himmelpfortgasse 1/11/25A, Viena, Austria";"";"57012.61";"156";"2078";"8.4";"CLP";"2026-02-24"
"Austria";"Viena";"Visita guiada por el Palacio Belvedere";"https://www.civitatis.com/es/viena/visita-guiada-palacio-belvedere/";"Vienna Sightseeing Tours";"office@viennasightseeingtours.com";"+43 1 712 46 83 - 0";"Vienna Sightseeing Tours | Opernring 3-5, Top 508-529, Viena, Austria";"";"57012.61";"156";"2078";"8.4";"CLP";"2026-02-24"
"Austria";"Viena";"Tour por Viena y el Palacio Schönbrunn";"https://www.civitatis.com/es/viena/tour-viena-palacio-schonbrunn/";"Vienna Sightseeing Tours";"office@viennasightseeingtours.com";"+43 1 712 46 83 - 0";"Vienna Sightseeing Tours | Opernring 3-5, Top 508-529, Viena, Austria";"";"74223.96";"2028";"20320";"7.8";"CLP";"2026-02-24"
"Austria";"Viena";"Traslados en Viena";"https://www.civitatis.com/es/viena/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"73285.27";"6320";"76302";"9.2";"CLP";"2026-02-24"
