"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Malasia";"Kuala Lumpur";"Tour privado por Kuala Lumpur";"https://www.civitatis.com/es/kuala-lumpur/tour-privado-kuala-lumpur/";"Sri Dhanapal Naidu";"sridn_1010@yahoo.com.my";"+60 195 732 824";"Hola Amigos Enterprise | 410-Block C1 Pandan Jaya, Kuala Lumpur, Malasia";"";"215956.39";"152";"2592";"9.2";"CLP";"2026-02-16"
"Malasia";"Kuala Lumpur";"Excursión privada desde Kuala Lumpur";"https://www.civitatis.com/es/kuala-lumpur/excursion-privada-kuala-lumpur/";"Sri Dhanapal Naidu";"sridn_1010@yahoo.com.my";"+60 195 732 824";"Hola Amigos Enterprise | 410-Block C1 Pandan Jaya, Kuala Lumpur, Malasia";"";"215956.39";"64";"2305";"9.4";"CLP";"2026-02-16"
"Malasia";"Kuala Lumpur";"Excursión a Malaca";"https://www.civitatis.com/es/kuala-lumpur/excursion-malaca/";"Ivy Holidays Sdn Bhd";"enquiry@ivyholidays.com";"+60163398699";"IVY HOLIDAYS SDN BHD | Lot G11,Kompleks Selangor, Jalan Sultan, Kuala Lumpur, Malasia";"";"32688.47";"196";"2158";"7.9";"CLP";"2026-02-16"
"Malasia";"Kuala Lumpur";"Excursión a las Cuevas de Batu";"https://www.civitatis.com/es/kuala-lumpur/excursion-cuevas-batu/";"Tour Fifty One Sdn Bhd";"ADMIN@TOUR51.COM.MY";"+60192317886";"Tour Fifty One Sdn Bhd | #176 Suite 2.107, First Floor Wisma Central, Jalan Ampang, Kuala Lumpur, Malasia";"";"18679.12";"219";"2684";"7.7";"CLP";"2026-02-16"
"Malasia";"Kuala Lumpur";"Traslados en Kuala Lumpur";"https://www.civitatis.com/es/kuala-lumpur/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"47321.33";"209";"5407";"8.8";"CLP";"2026-02-16"
"Malasia";"Kuala Lumpur";"Entradas a las Torres Petronas";"https://www.civitatis.com/es/kuala-lumpur/entrada-torres-petronas/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"36569.04";"188";"2994";"8.5";"CLP";"2026-02-16"
"Malasia";"Kuala Lumpur";"Excursión a la selva Taman Negara";"https://www.civitatis.com/es/kuala-lumpur/excursion-taman-negara/";"Ivy Holidays Sdn Bhd";"enquiry@ivyholidays.com";"+60163398699";"IVY HOLIDAYS SDN BHD | Lot G11,Kompleks Selangor, Jalan Sultan, Kuala Lumpur, Malasia";"";"171380.98";"72";"1164";"8.1";"CLP";"2026-02-16"
"Malasia";"Kuala Lumpur";"Excursión a las Cameron Highlands";"https://www.civitatis.com/es/kuala-lumpur/excursion-cameron-highlands/";"Ivy Holidays Sdn Bhd";"enquiry@ivyholidays.com";"+60163398699";"IVY HOLIDAYS SDN BHD | Lot G11,Kompleks Selangor, Jalan Sultan, Kuala Lumpur, Malasia";"";"93395.63";"69";"829";"7.3";"CLP";"2026-02-16"
"Malasia";"Kuala Lumpur";"Excursión a Kuala Selangor";"https://www.civitatis.com/es/kuala-lumpur/excursion-kuala-selangor/";"Tour Fifty One Sdn Bhd";"ADMIN@TOUR51.COM.MY";"+60192317886";"Tour Fifty One Sdn Bhd | #176 Suite 2.107, First Floor Wisma Central, Jalan Ampang, Kuala Lumpur, Malasia";"";"65668.8";"46";"670";"7.7";"CLP";"2026-02-16"
"Malasia";"Kuala Lumpur";"Tour en bicicleta por Kuala Lumpur";"https://www.civitatis.com/es/kuala-lumpur/tour-bicicleta-kuala-lumpur/";"Bike With Elena";"TIKUSDAPURKK@GMAIL.COM";"";"Kindoyo Nature Services | 41-1 Jalan 3/76D, Desa Pandan, Kuala Lumpur, Malasia";"";"51367.59";"2";"26";"10.0";"CLP";"2026-02-16"
"Malasia";"Kuala Lumpur";"Tour por el Kuala Lumpur de las tres culturas";"https://www.civitatis.com/es/kuala-lumpur/tour-tres-culturas/";"Ivy Holidays Sdn Bhd";"enquiry@ivyholidays.com";"+60163398699";"IVY HOLIDAYS SDN BHD | Lot G11,Kompleks Selangor, Jalan Sultan, Kuala Lumpur, Malasia";"";"31521.02";"10";"127";"7.2";"CLP";"2026-02-16"
