"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Dominica";"Roseau";"Excursión a Titou Gorge, cascadas de Trafalgar y Wotten Waven";"https://www.civitatis.com/es/roseau/titou-gorge-trafalgar-wotten-waven/";"Decide On Dominica";"decideondominica@whitchurch.com";"17672551104";"Millenium Ventures Inc | hanover street, Roseau, Dominica";"";"91002.57";"2";"23";"8.0";"CLP";"2026-02-16"
"Dominica";"Roseau";"Excursión a las cascadas de Trafalgar, Scotts Head y Wotten Waven";"https://www.civitatis.com/es/roseau/trafalgar-scotts-head-wotten-waven-cruceros/";"Decide On Dominica";"decideondominica@whitchurch.com";"17672551104";"Millenium Ventures Inc | hanover street, Roseau, Dominica";"";"80082.26";"1";"61";"10.0";"CLP";"2026-02-16"
"Dominica";"Roseau";"Excursión a la Piscina Esmeralda y las cascadas de Trafalgar";"https://www.civitatis.com/es/roseau/piscina-esmeralda-cascadas-trafalgar-cruceros/";"Decide On Dominica";"decideondominica@whitchurch.com";"17672551104";"Millenium Ventures Inc | hanover street, Roseau, Dominica";"";"80082.26";"5";"30";"7.2";"CLP";"2026-02-16"
"Dominica";"Roseau";"Senderismo por Dublanc + Paseo en barco por Indian River";"https://www.civitatis.com/es/roseau/senderismo-dublanc-barco-rio-indio-cruceros/";"Decide On Dominica";"decideondominica@whitchurch.com";"17672551104";"Millenium Ventures Inc | hanover street, Roseau, Dominica";"";"91002.57";"0";"3";"0.0";"CLP";"2026-02-16"
"Dominica";"Roseau";"Tour de la cultura kalinago";"https://www.civitatis.com/es/roseau/tour-cultura-kalinago-cruceros/";"Decide On Dominica";"decideondominica@whitchurch.com";"17672551104";"Millenium Ventures Inc | hanover street, Roseau, Dominica";"";"191105.4";"0";"0";"0.0";"CLP";"2026-02-16"
"Dominica";"Roseau";"Tour por el Jardín Botánico, Reserva Central y playa de Roseau";"https://www.civitatis.com/es/roseau/jardin-botanico-reserva-central-playa/";"Advemus";"info@advemus.com";"7672953742";"Slick Company LTD | Upper Village, Trafalgar, Saint George, Dominica, Roseau, Dominica";"";"81902.31";"0";"0";"0.0";"CLP";"2026-02-16"
"Dominica";"Roseau";"Excursión a Fort Shirley y Jardín Botánico de Dominica";"https://www.civitatis.com/es/roseau/fort-shirley-jardin-botanico-dominica/";"Rickys Tours Voyage & Services";"rickytoursvoyage@gmail.com";"17676128716";"Rickys Tours Voyage & Services | Concord St Andreus Commonwealth of Dominica , Roseau, Dominica";"";"136503.86";"0";"0";"0.0";"CLP";"2026-02-16"
"Dominica";"Roseau";"Excursión al Parque Nacional Cabrits + Paseo en barco por Indian River";"https://www.civitatis.com/es/roseau/excursion-cabrits-indian-river/";"Decide On Dominica";"decideondominica@whitchurch.com";"17672551104";"Millenium Ventures Inc | hanover street, Roseau, Dominica";"";"122853.47";"0";"0";"0.0";"CLP";"2026-02-16"
"Dominica";"Roseau";"Excursión a la Piscina Esmeralda, cataratas Spanny y Jardín Botánico";"https://www.civitatis.com/es/roseau/piscina-esmeralda-cataratas-spanny-jardin-botanico/";"Decide On Dominica";"decideondominica@whitchurch.com";"17672551104";"Millenium Ventures Inc | hanover street, Roseau, Dominica";"";"81902.31";"0";"0";"0.0";"CLP";"2026-02-16"
"Dominica";"Roseau";"Tour por Roseau";"https://www.civitatis.com/es/roseau/tour-roseau/";"Advemus";"info@advemus.com";"7672953742";"Slick Company LTD | Upper Village, Trafalgar, Saint George, Dominica, Roseau, Dominica";"";"54601.54";"0";"0";"0.0";"CLP";"2026-02-16"
"Dominica";"Roseau";"Tour por el valle de Roseau";"https://www.civitatis.com/es/roseau/tour-valle-roseau/";"Advemus";"info@advemus.com";"7672953742";"Slick Company LTD | Upper Village, Trafalgar, Saint George, Dominica, Roseau, Dominica";"";"86452.44";"0";"0";"0.0";"CLP";"2026-02-16"
"Dominica";"Roseau";"Snorkel en el arrecife de Champán";"https://www.civitatis.com/es/roseau/snorkel-arrecife-champan/";"Advemus";"info@advemus.com";"7672953742";"Slick Company LTD | Upper Village, Trafalgar, Saint George, Dominica, Roseau, Dominica";"";"68251.93";"0";"0";"0.0";"CLP";"2026-02-16"
