destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Sarajevo,Bosnia y Herzegovina,Excursión a Mostar y las Cuatro Perlas de Herzegovina,"76.515,98 CL$",CLP,49 opiniones,617 viajeros,Pasion Balcanica Tours,info@pasionbalcanica.com,+34 910 059 929,"Turisticki vodic ""Pasion Balcanica Tours"" vl. Miso Lejla | Save Skarica 2, Sarajevo, Bosnia y Herzegovina",https://www.civitatis.com/es/sarajevo/excursion-mostar-cuatro-perlas/,2026-02-02
Sarajevo,Bosnia y Herzegovina,Excursión a Travnik y Jajce,"76.515,98 CL$",CLP,15 opiniones,146 viajeros,Pasion Balcanica Tours,info@pasionbalcanica.com,+34 910 059 929,"Turisticki vodic ""Pasion Balcanica Tours"" vl. Miso Lejla | Save Skarica 2, Sarajevo, Bosnia y Herzegovina",https://www.civitatis.com/es/sarajevo/excursion-travnik-jajce/,2026-02-02
Sarajevo,Bosnia y Herzegovina,Tour por el Túnel de Sarajevo,"32.792,56 CL$",CLP,66 opiniones,608 viajeros,Sarajevo Insider City Tours And Excursions,info@sarajevoinsider.com,+38766800590,"INSIDER D.O.O Sarajevo | Zelenih Beretki 30, Sarajevo, Bosnia y Herzegovina",https://www.civitatis.com/es/sarajevo/tour-tunel-sarajevo/,2026-02-02
Sarajevo,Bosnia y Herzegovina,Visita guiada por Sarajevo,"21.861,71 CL$",CLP,61 opiniones,676 viajeros,Sarajevo Insider City Tours And Excursions,info@sarajevoinsider.com,+38766800590,"INSIDER D.O.O Sarajevo | Zelenih Beretki 30, Sarajevo, Bosnia y Herzegovina",https://www.civitatis.com/es/sarajevo/visita-guiada-sarajevo/,2026-02-02
Sarajevo,Bosnia y Herzegovina,Tour nocturno por Sarajevo,"21.861,71 CL$",CLP,31 opiniones,250 viajeros,Sarajevo Insider City Tours And Excursions,info@sarajevoinsider.com,+38766800590,"INSIDER D.O.O Sarajevo | Zelenih Beretki 30, Sarajevo, Bosnia y Herzegovina",https://www.civitatis.com/es/sarajevo/tour-nocturno-sarajevo/,2026-02-02
Sarajevo,Bosnia y Herzegovina,Excursión a Srebrenica,"76.515,98 CL$",CLP,4 opiniones,104 viajeros,Pasion Balcanica Tours,info@pasionbalcanica.com,+34 910 059 929,"Turisticki vodic ""Pasion Balcanica Tours"" vl. Miso Lejla | Save Skarica 2, Sarajevo, Bosnia y Herzegovina",https://www.civitatis.com/es/sarajevo/excursion-srebrenica/,2026-02-02
Sarajevo,Bosnia y Herzegovina,Traslados en Sarajevo,"26.780,59 CL$",CLP,42 opiniones,325 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/sarajevo/traslados/,2026-02-02
Sarajevo,Bosnia y Herzegovina,Tour de Sarajevo al completo con entradas,"43.723,42 CL$",CLP,28 opiniones,218 viajeros,Sarajevo Insider City Tours And Excursions,info@sarajevoinsider.com,+38766800590,"INSIDER D.O.O Sarajevo | Zelenih Beretki 30, Sarajevo, Bosnia y Herzegovina",https://www.civitatis.com/es/sarajevo/tour-sarajevo-completo-entradas/,2026-02-02
Sarajevo,Bosnia y Herzegovina,Excursión a Visegrad y Mokra Gora,"76.515,98 CL$",CLP,7 opiniones,51 viajeros,Meet Bosnia,info@meetbosnia.com,+38761240286,"Turistički vodič Ogrešević Edin | Ulica Karpuzova broj 6, Sarajevo, Bosnia y Herzegovina",https://www.civitatis.com/es/sarajevo/excursion-visegrad/,2026-02-02
Sarajevo,Bosnia y Herzegovina,Free tour por Sarajevo,¡Gratis!,CLP,852 opiniones,10.983 viajeros,Pasion Balcanica Tours,info@pasionbalcanica.com,+34 910 059 929,"Turisticki vodic ""Pasion Balcanica Tours"" vl. Miso Lejla | Save Skarica 2, Sarajevo, Bosnia y Herzegovina",https://www.civitatis.com/es/sarajevo/free-tour-sarajevo/,2026-02-02
