"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Mozambique";"Maputo";"Excursión privada a Suazilandia";"https://www.civitatis.com/es/maputo/excursion-privada-esuatini/";"Mussiro Trips";"fernando@mussirotrips.com";"+258 84 537 1311";"FERNANDO MENDES | 417 Avenida Kwame Nkrumah, Maputo, Mozambique";"";"485953.74";"0";"16";"0.0";"CLP";"2026-02-16"
"Mozambique";"Maputo";"Visita guiada por Maputo";"https://www.civitatis.com/es/maputo/visita-guiada-maputo/";"Mussiro Trips";"fernando@mussirotrips.com";"+258 84 537 1311";"FERNANDO MENDES | 417 Avenida Kwame Nkrumah, Maputo, Mozambique";"";"45501.28";"0";"15";"0.0";"CLP";"2026-02-16"
"Mozambique";"Maputo";"Safari privado por el Parque Nacional Kruger";"https://www.civitatis.com/es/maputo/safari-parque-kruger/";"Mussiro Trips";"fernando@mussirotrips.com";"+258 84 537 1311";"FERNANDO MENDES | 417 Avenida Kwame Nkrumah, Maputo, Mozambique";"";"546015.44";"3";"58";"10.0";"CLP";"2026-02-16"
"Mozambique";"Maputo";"Safari privado por la Reserva Especial de Maputo";"https://www.civitatis.com/es/maputo/safari-reserva-maputo/";"Mussiro Trips";"fernando@mussirotrips.com";"+258 84 537 1311";"FERNANDO MENDES | 417 Avenida Kwame Nkrumah, Maputo, Mozambique";"";"450462.74";"3";"31";"9.3";"CLP";"2026-02-16"
"Mozambique";"Maputo";"Mozambique al completo en 12 días";"https://www.civitatis.com/es/maputo/circuito-12-dias-mozambique/";"Mussiro Trips";"fernando@mussirotrips.com";"+258 84 537 1311";"FERNANDO MENDES | 417 Avenida Kwame Nkrumah, Maputo, Mozambique";"";"1683547.63";"0";"6";"0.0";"CLP";"2026-02-16"
"Mozambique";"Maputo";"Traslados en Maputo";"https://www.civitatis.com/es/maputo/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"71265.6";"5";"119";"8.4";"CLP";"2026-02-16"
"Mozambique";"Maputo";"Taller de artesanía";"https://www.civitatis.com/es/maputo/taller-artesania/";"Mussiro Trips";"fernando@mussirotrips.com";"+258 84 537 1311";"FERNANDO MENDES | 417 Avenida Kwame Nkrumah, Maputo, Mozambique";"";"45501.28";"4";"17";"9.5";"CLP";"2026-02-16"
"Mozambique";"Maputo";"Excursión privada a la playa de Calanga";"https://www.civitatis.com/es/maputo/excursion-playa-calanga/";"Mussiro Trips";"fernando@mussirotrips.com";"+258 84 537 1311";"FERNANDO MENDES | 417 Avenida Kwame Nkrumah, Maputo, Mozambique";"";"615177.4";"1";"6";"10.0";"CLP";"2026-02-16"
"Mozambique";"Maputo";"Safari privado por el Real Parque Nacional de Hlane";"https://www.civitatis.com/es/maputo/safari-real-parque-hlane/";"Mussiro Trips";"fernando@mussirotrips.com";"+258 84 537 1311";"FERNANDO MENDES | 417 Avenida Kwame Nkrumah, Maputo, Mozambique";"";"629737.81";"0";"2";"0.0";"CLP";"2026-02-16"
"Mozambique";"Maputo";"Alquiler de bicicleta en Maputo";"https://www.civitatis.com/es/maputo/alquiler-bicicleta-maputo/";"Mussiro Trips";"fernando@mussirotrips.com";"+258 84 537 1311";"FERNANDO MENDES | 417 Avenida Kwame Nkrumah, Maputo, Mozambique";"";"33670.95";"0";"3";"0.0";"CLP";"2026-02-16"
"Mozambique";"Maputo";"Tour del arte y la arquitectura de Maputo";"https://www.civitatis.com/es/maputo/tour-arte-arquitectura-maputo/";"Mussiro Trips";"fernando@mussirotrips.com";"+258 84 537 1311";"FERNANDO MENDES | 417 Avenida Kwame Nkrumah, Maputo, Mozambique";"";"45501.28";"0";"4";"0.0";"CLP";"2026-02-16"
