destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Saint John,Antigua y Barbuda,Excursión a la isla de Barbuda,"276.424,92 CL$",CLP,2 opiniones,23 viajeros,Sun Paradise Tours,sptours268@gmail.com,+12687840271,"Sun Paradise Tours | Urlings Village, St. John's, Antigua y Barbuda",https://www.civitatis.com/es/saint-john/excursion-isla-barbuda/,2026-02-02
Saint John,Antigua y Barbuda,Visita guiada por Saint John,"92.141,64 CL$",CLP,Sin valorar,44 viajeros,Sun Paradise Tours,sptours268@gmail.com,+12687840271,"Sun Paradise Tours | Urlings Village, St. John's, Antigua y Barbuda",https://www.civitatis.com/es/saint-john/visita-guiada-saint-john/,2026-02-02
Saint John,Antigua y Barbuda,Tour por la isla de Antigua,"115.177,05 CL$",CLP,Sin valorar,5 viajeros,Sun Paradise Tours,sptours268@gmail.com,+12687840271,"Sun Paradise Tours | Urlings Village, St. John's, Antigua y Barbuda",https://www.civitatis.com/es/saint-john/tour-isla-antigua/,2026-02-02
Saint John,Antigua y Barbuda,Paseo en catamarán por la isla de Antigua,"128.076,88 CL$",CLP,Sin valorar,10 viajeros,Nexustours,pgutierrez@nexustours.com,+529982516559,"NT NEXUSTOURS CORP | Cidel Place, Lower Collymore Rock, St. Michael,  Barbados, St. Michael, Barbados",https://www.civitatis.com/es/saint-john/tour-catamaran-isla-antigua/,2026-02-02
Saint John,Antigua y Barbuda,Excursión al Puente del Diablo y la playa de Long Bay,"82.927,47 CL$",CLP,Sin valorar,,Biggvee Transportation Services,biggvee@hotmail.com,12687855370,"Vernon C. John | Whener Road St. Johns, Antigua, Antigua, Antigua y Barbuda",https://www.civitatis.com/es/saint-john/excursion-puente-diablo-long-bay/,2026-02-02
Saint John,Antigua y Barbuda,Traslados en Saint John,"42.083,79 CL$",CLP,3 opiniones,15 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/saint-john/traslados/,2026-02-02
Saint John,Antigua y Barbuda,Avistamiento de rayas en Stingray City Antigua,"133.605,37 CL$",CLP,Sin valorar,5 viajeros,Sun Paradise Tours,sptours268@gmail.com,+12687840271,"Sun Paradise Tours | Urlings Village, St. John's, Antigua y Barbuda",https://www.civitatis.com/es/saint-john/avistamiento-rayas-stingray-city/,2026-02-02
Saint John,Antigua y Barbuda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Willikies,Antigua y Barbuda,Avistamiento de rayas en Stingray City Antigua,"69.106,23 CL$",CLP,Sin valorar,5 viajeros,Nexustours,pgutierrez@nexustours.com,+529982516559,"NT NEXUSTOURS CORP | Cidel Place, Lower Collymore Rock, St. Michael,  Barbados, St. Michael, Barbados",https://www.civitatis.com/es/willikies/avistamiento-mantarrayas-stingray-city/,2026-02-02
Willikies,Antigua y Barbuda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Willikies,Antigua y Barbuda,Excursión a la isla de Barbuda,"276.424,92 CL$",CLP,2 opiniones,23 viajeros,Sun Paradise Tours,sptours268@gmail.com,+12687840271,"Sun Paradise Tours | Urlings Village, St. John's, Antigua y Barbuda",https://www.civitatis.com/es/saint-john/excursion-isla-barbuda/,2026-02-02
Willikies,Antigua y Barbuda,Paseo en catamarán por la isla de Antigua,"128.076,88 CL$",CLP,Sin valorar,10 viajeros,Nexustours,pgutierrez@nexustours.com,+529982516559,"NT NEXUSTOURS CORP | Cidel Place, Lower Collymore Rock, St. Michael,  Barbados, St. Michael, Barbados",https://www.civitatis.com/es/saint-john/tour-catamaran-isla-antigua/,2026-02-02
Willikies,Antigua y Barbuda,Tour por la isla de Antigua,"115.177,05 CL$",CLP,Sin valorar,5 viajeros,Sun Paradise Tours,sptours268@gmail.com,+12687840271,"Sun Paradise Tours | Urlings Village, St. John's, Antigua y Barbuda",https://www.civitatis.com/es/saint-john/tour-isla-antigua/,2026-02-02
Willikies,Antigua y Barbuda,Visita guiada por Saint John,"92.141,64 CL$",CLP,Sin valorar,44 viajeros,Sun Paradise Tours,sptours268@gmail.com,+12687840271,"Sun Paradise Tours | Urlings Village, St. John's, Antigua y Barbuda",https://www.civitatis.com/es/saint-john/visita-guiada-saint-john/,2026-02-02
Willikies,Antigua y Barbuda,Excursión al Puente del Diablo y la playa de Long Bay,"82.927,47 CL$",CLP,Sin valorar,,Biggvee Transportation Services,biggvee@hotmail.com,12687855370,"Vernon C. John | Whener Road St. Johns, Antigua, Antigua, Antigua y Barbuda",https://www.civitatis.com/es/saint-john/excursion-puente-diablo-long-bay/,2026-02-02
