"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Israel";"Jerusalén";"Excursión a Masada y al Mar Muerto";"https://www.civitatis.com/es/jerusalen/excursion-masada-mar-muerto/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"101012.85";"322";"3957";"8.4";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Excursión a Nazaret, Tiberíades y Galilea";"https://www.civitatis.com/es/jerusalen/excursion-nazaret-tiberiades-mar-galilea/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"98282.78";"201";"2419";"7.8";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Excursión a Belén";"https://www.civitatis.com/es/jerusalen/excursion-belen/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"68251.93";"190";"2274";"6.8";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Visita guiada por Jerusalén al completo";"https://www.civitatis.com/es/jerusalen/visita-guiada-jerusalen/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"68251.93";"160";"1992";"7.3";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Traslados en Jerusalén";"https://www.civitatis.com/es/jerusalen/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"98282.78";"48";"934";"8.6";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Visita guiada por Jerusalén + Belén";"https://www.civitatis.com/es/jerusalen/visita-guiada-jerusalen-belen/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"96462.72";"109";"1291";"7.1";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Excursión a Cesarea, Haifa, Acre y Rosh Hanikra";"https://www.civitatis.com/es/jerusalen/excursion-cesarea-haifa-acre-rosh-hanikra/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"95552.7";"66";"712";"7.9";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Tour del Shabat por Jerusalén";"https://www.civitatis.com/es/jerusalen/tour-shabat/";"Abraham Tlalim Tours Ltd";"ota@abrahamtours.com";"+972747010772";"Abraham Tlalim Tours LTD | 67 HaNevi’im St., Jerusalén, Israel";"";"42771.21";"9";"145";"7.8";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Excursión a Belén y Jericó";"https://www.civitatis.com/es/jerusalen/excursion-belen-jerico/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"113753.21";"34";"474";"7.1";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Excursión al Mar Muerto";"https://www.civitatis.com/es/jerusalen/excursion-mar-muerto/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"77352.18";"28";"412";"8.2";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Visita guiada por Jerusalén + Mar Muerto";"https://www.civitatis.com/es/jerusalen/visita-guiada-jerusalen-mar-muerto/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"96462.72";"13";"315";"7.8";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Tour en 4x4 por el desierto de Judea";"https://www.civitatis.com/es/jerusalen/tour-4x4-desierto-judea/";"Abraham Tlalim Tours Ltd";"ota@abrahamtours.com";"+972747010772";"Abraham Tlalim Tours LTD | 67 HaNevi’im St., Jerusalén, Israel";"";"101922.88";"4";"198";"9.5";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Tour de la cultura judía ortodoxa por Jerusalén";"https://www.civitatis.com/es/jerusalen/tour-cultura-judia-ortodoxa/";"Abraham Tlalim Tours Ltd";"ota@abrahamtours.com";"+972747010772";"Abraham Tlalim Tours LTD | 67 HaNevi’im St., Jerusalén, Israel";"";"48231.36";"0";"4";"0.0";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Tour por el Monte de los Olivos";"https://www.civitatis.com/es/jerusalen/tour-monte-olivos/";"Abraham Tlalim Tours Ltd";"ota@abrahamtours.com";"+972747010772";"Abraham Tlalim Tours LTD | 67 HaNevi’im St., Jerusalén, Israel";"";"40951.15";"25";"449";"8.9";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Excursión a Jericó";"https://www.civitatis.com/es/jerusalen/excursion-jerico/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"105562.98";"7";"194";"8.3";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Autobús turístico de Jerusalén";"https://www.civitatis.com/es/jerusalen/autobus-turistico-jerusalen/";"Red Bus City Tours Ltd. Jerusalem";"info@redbuscitytours.com";"00972533636300";"Red Bus City Tours Ltd | Gershon Agron 22, Jerusalén, Israel";"";"22082.45";"1";"46";"8.0";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Excursión a Petra de 1 o 2 días";"https://www.civitatis.com/es/jerusalen/excursion-petra/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"272097.69";"0";"8";"0.0";"CLP";"2026-02-16"
"Israel";"Jerusalén";"Excursión de 2 días a Petra y Wadi Rum";"https://www.civitatis.com/es/jerusalen/2-dias-petra-wadi-rum/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"363100.27";"0";"2";"0.0";"CLP";"2026-02-16"
"Israel";"Tel Aviv";"Excursión a Masada y al Mar Muerto";"https://www.civitatis.com/es/tel-aviv/excursion-masada-mar-muerto/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"109203.08";"159";"1993";"8.0";"CLP";"2026-02-16"
"Israel";"Tel Aviv";"Excursión a Nazaret, Tiberíades y Galilea";"https://www.civitatis.com/es/tel-aviv/excursion-nazaret-tiberiades-mar-galilea/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"89182.52";"170";"1884";"8.3";"CLP";"2026-02-16"
"Israel";"Tel Aviv";"Excursión a Jerusalén y Belén";"https://www.civitatis.com/es/tel-aviv/excursion-jerusalen-belen/";"Bein Harim";"Asaf@beinharimtours.com";"+972-35422000";"Bein Harim toursim services LTD | 8 Steiner st., Tel Aviv, Israel";"";"110113.11";"145";"1598";"7.8";"CLP";"2026-02-16"
