"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Chipre";"Limasol";"Entrada al Paradox Museum de Limasol";"https://www.civitatis.com/es/limasol/entradas-paradox-museum-limasol/";"Paradox Museum Limassol";"limassolgm@paradoxmuseum.com";"0035799432077";"Paradox Museum LTD | Limassol Marina, Trakasol Cultural Center, Limasol, Chipre";"";"17276.51";"0";"2";"0.0";"CLP";"2026-02-16"
"Chipre";"Limasol";"Excursión a Pafos para cruceros";"https://www.civitatis.com/es/limasol/excursion-pafos-cruceros/";"Shore2Shore";"info@shore2shore.es";"928 51 53 52";"CALIMA SHORE TRAVEL S.L. | CALLE PARDELERA 8, Puerto Del Carmen, España";"";"34553.02";"0";"176";"0.0";"CLP";"2026-02-16"
"Chipre";"Lárnaca";"Paseo en barco por Lárnaca al atardecer";"https://www.civitatis.com/es/larnaca/paseo-barco-larnaca-atardecer/";"A.a.k Larnaca Ayia Napa Sea Cruises Ltd";"contact@larnacanapacruises.com";"96822220";"A.A.K LARNACA AYIA NAPA SEA CRUISES LTD | D. Solomou & Miltiadous Frixos court 6, Shop 16, Block B, Lárnaca, Chipre";"";"16196.72";"8";"78";"10.0";"CLP";"2026-02-16"
"Chipre";"Lárnaca";"Traslados en Lárnaca";"https://www.civitatis.com/es/larnaca/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"29154.11";"24";"726";"8.3";"CLP";"2026-02-16"
"Chipre";"Pafos";"Jeep safari por el Parque Nacional de Akamas";"https://www.civitatis.com/es/pafos/jeep-akamas-barco-lago-azul/";"Gorgo Travel";"info@gorgotravel.com";"0035726964380";"Aliathon Travel Services Ltd | Theas Afrodites Ave 3, Pafos, Chipre";"";"80983.64";"1";"22";"10.0";"CLP";"2026-02-16"
"Chipre";"Pafos";"Paseo en barco por el Lago Azul";"https://www.civitatis.com/es/pafos/paseo-barco-lago-azul/";"Paphos Sea Cruises";"andreasjr@paphosseacruises.com";"+35799816113";"Masouras Bros Shipping Co Public Limited | 26 TOMBS OF THE KINGS, Pafos, Chipre";"";"85302.77";"3";"38";"9.3";"CLP";"2026-02-16"
"Chipre";"Pafos";"Excursión a Troodos, Kykkos y Omodos";"https://www.civitatis.com/es/pafos/excursion-troodos-kykkos-omodos/";"Qualiday";"manager@qualiday.com";"+35726221203";"Ruslan Travel Ltd | Apostolou Pavlou 108, Pafos, Chipre";"";"26994.54";"3";"27";"8.7";"CLP";"2026-02-16"
"Chipre";"Pafos";"Excursión a Limasol, Kourion y Kolossi";"https://www.civitatis.com/es/pafos/excursion-limasol-kourion-kolossi/";"Qualiday";"manager@qualiday.com";"+35726221203";"Ruslan Travel Ltd | Apostolou Pavlou 108, Pafos, Chipre";"";"29154.11";"2";"27";"8.0";"CLP";"2026-02-16"
"Chipre";"Pafos";"Traslados en Pafos";"https://www.civitatis.com/es/pafos/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"83143.21";"0";"28";"0.0";"CLP";"2026-02-16"
"Chipre";"Pafos";"Excursión a Famagusta y el monasterio de San Bernabé";"https://www.civitatis.com/es/pafos/excursion-famagusta-monasterio-san-bernabe/";"Qualiday";"manager@qualiday.com";"+35726221203";"Ruslan Travel Ltd | Apostolou Pavlou 108, Pafos, Chipre";"";"43191.27";"2";"20";"8.0";"CLP";"2026-02-16"
"Chipre";"Pafos";"Excursión a Nicosia";"https://www.civitatis.com/es/pafos/excursion-nicosia/";"Qualiday";"manager@qualiday.com";"+35726221203";"Ruslan Travel Ltd | Apostolou Pavlou 108, Pafos, Chipre";"";"30233.89";"0";"10";"0.0";"CLP";"2026-02-16"
"Chipre";"Pafos";"Excursión a Geroskipou y Letymvou";"https://www.civitatis.com/es/pafos/excursion-geroskipou-monasterio-neofito/";"Qualiday";"manager@qualiday.com";"+35726221203";"Ruslan Travel Ltd | Apostolou Pavlou 108, Pafos, Chipre";"";"32393.45";"0";"2";"0.0";"CLP";"2026-02-16"
"Chipre";"Pafos";"Paseo en barco pirata por Pafos";"https://www.civitatis.com/es/pafos/paseo-barco-pirata-pafos/";"Paphos Sea Cruises";"andreasjr@paphosseacruises.com";"+35799816113";"Masouras Bros Shipping Co Public Limited | 26 TOMBS OF THE KINGS, Pafos, Chipre";"";"52909.31";"0";"0";"0.0";"CLP";"2026-02-16"
"Chipre";"Protaras";"Paseo en barco al atardecer por Protaras";"https://www.civitatis.com/es/protaras/paseo-barco-atardecer-protaras/";"A.a.k Larnaca Ayia Napa Sea Cruises Ltd";"contact@larnacanapacruises.com";"96822220";"A.A.K LARNACA AYIA NAPA SEA CRUISES LTD | D. Solomou & Miltiadous Frixos court 6, Shop 16, Block B, Lárnaca, Chipre";"";"26994.54";"1";"17";"10.0";"CLP";"2026-02-16"
