destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Acra,Ghana,Excursión a Costa del Cabo,"124.391,21 CL$",CLP,2 opiniones,8 viajeros,Expedition-Go Travel And Tours,expeditiongotravelandtoursltd@gmail.com,0553121652,"Expedition-Go Travel and Tours | GW02219873, Near Harvest Chapel International, Acra, Ghana",https://www.civitatis.com/es/acra/excursion-costa-cabo/,2026-02-02
Acra,Ghana,Excursión a las cataratas Boti y Jardín Botánico de Aburi,"119.784,13 CL$",CLP,1 opinión,6 viajeros,Expedition-Go Travel And Tours,expeditiongotravelandtoursltd@gmail.com,0553121652,"Expedition-Go Travel and Tours | GW02219873, Near Harvest Chapel International, Acra, Ghana",https://www.civitatis.com/es/acra/excursion-cataratas-boti-jardin-aburi/,2026-02-02
Acra,Ghana,Tour por Acra,"59.892,06 CL$",CLP,Sin valorar,4 viajeros,Expedition-Go Travel And Tours,expeditiongotravelandtoursltd@gmail.com,0553121652,"Expedition-Go Travel and Tours | GW02219873, Near Harvest Chapel International, Acra, Ghana",https://www.civitatis.com/es/acra/tour-acra/,2026-02-02
Acra,Ghana,Tour privado de 2 días por Ghana,"764.775,61 CL$",CLP,Sin valorar,,Expedition-Go Travel And Tours,expeditiongotravelandtoursltd@gmail.com,0553121652,"Expedition-Go Travel and Tours | GW02219873, Near Harvest Chapel International, Acra, Ghana",https://www.civitatis.com/es/acra/circuito-3-dias-ghana/,2026-02-02
Acra,Ghana,Traslados en Acra,"43.176,87 CL$",CLP,Novedad,6 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/acra/traslados/,2026-02-02
Acra,Ghana,Excursión a Kumasi,"175.069,11 CL$",CLP,Sin valorar,1 viajero,Expedition-Go Travel And Tours,expeditiongotravelandtoursltd@gmail.com,0553121652,"Expedition-Go Travel and Tours | GW02219873, Near Harvest Chapel International, Acra, Ghana",https://www.civitatis.com/es/acra/excursion-kumasi/,2026-02-02
Acra,Ghana,"Tour privado de 6 días por Acra, Costa del Cabo y Ada Foah","2.948.532,50 CL$",CLP,Sin valorar,,Expedition-Go Travel And Tours,expeditiongotravelandtoursltd@gmail.com,0553121652,"Expedition-Go Travel and Tours | GW02219873, Near Harvest Chapel International, Acra, Ghana",https://www.civitatis.com/es/acra/acra-costa-cabo-ada-foah-6-dias/,2026-02-02
Acra,Ghana,"Tour privado de 8 días por Acra, Costa del Cabo y Kumasi","3.490.325,35 CL$",CLP,Sin valorar,,Expedition-Go Travel And Tours,expeditiongotravelandtoursltd@gmail.com,0553121652,"Expedition-Go Travel and Tours | GW02219873, Near Harvest Chapel International, Acra, Ghana",https://www.civitatis.com/es/acra/acra-costa-cabo-kumasi-8-dias/,2026-02-02
Acra,Ghana,Circuito privado de 12 días por lo mejor de Ghana,"5.550.612,44 CL$",CLP,Sin valorar,,Expedition-Go Travel And Tours,expeditiongotravelandtoursltd@gmail.com,0553121652,"Expedition-Go Travel and Tours | GW02219873, Near Harvest Chapel International, Acra, Ghana",https://www.civitatis.com/es/acra/circuito-12-dias-ghana/,2026-02-02
Acra,Ghana,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
