"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Uzbekistán";"Taskent";"Tour privado por Taskent";"https://www.civitatis.com/es/taskent/tour-taskent/";"Silk Road Travellers";"info@silkroadtravellers.com";"+998935190237";"Casr Travellers OK | 115 A, Buyuk Ipak Yoʻli Street, Taskent, Uzbekistán";"";"136048.84";"23";"199";"9.0";"CLP";"2026-02-16"
"Uzbekistán";"Taskent";"Excursión privada a Samarcanda";"https://www.civitatis.com/es/taskent/excursion-samarcanda/";"Silk Road Travellers";"info@silkroadtravellers.com";"+998935190237";"Casr Travellers OK | 115 A, Buyuk Ipak Yoʻli Street, Taskent, Uzbekistán";"";"266865.05";"0";"31";"0.0";"CLP";"2026-02-16"
"Uzbekistán";"Taskent";"Excursión privada a Amirsoy, Chimgan y el lago Charvak";"https://www.civitatis.com/es/taskent/excursion-amirsoy-chimgan-lago-charvak/";"Orient Star Group";"spain@orientstar.uz";"+998915388180";"Sodik Begmatov | Shaykhontokhur Distric, Ankhor Buyi Street 6, Taskent, Uzbekistán";"";"140007.46";"3";"10";"10.0";"CLP";"2026-02-16"
"Uzbekistán";"Taskent";"Tour privado de 2 días por el valle de Ferganá";"https://www.civitatis.com/es/taskent/tour-2-dias-valle-fergana/";"Orient Star Group";"spain@orientstar.uz";"+998915388180";"Sodik Begmatov | Shaykhontokhur Distric, Ankhor Buyi Street 6, Taskent, Uzbekistán";"";"565890.41";"2";"24";"9.0";"CLP";"2026-02-16"
"Uzbekistán";"Taskent";"Excursión privada a Shymkent";"https://www.civitatis.com/es/taskent/excursion-privada-shymkent/";"Silk Road Travellers";"info@silkroadtravellers.com";"+998935190237";"Casr Travellers OK | 115 A, Buyuk Ipak Yoʻli Street, Taskent, Uzbekistán";"";"251167.1";"0";"1";"0.0";"CLP";"2026-02-16"
"Uzbekistán";"Taskent";"Circuito privado de 9 días por Uzbekistán";"https://www.civitatis.com/es/taskent/circuito-9-dias-uzbekistan/";"Silk Road Travellers";"info@silkroadtravellers.com";"+998935190237";"Casr Travellers OK | 115 A, Buyuk Ipak Yoʻli Street, Taskent, Uzbekistán";"";"3019465.42";"1";"5";"8.0";"CLP";"2026-02-16"
"Uzbekistán";"Taskent";"Traslados en Taskent";"https://www.civitatis.com/es/taskent/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"20930.59";"70";"951";"8.2";"CLP";"2026-02-16"
"Uzbekistán";"Taskent";"Excursión privada a Khujand";"https://www.civitatis.com/es/taskent/excursion-privada-khujand/";"Silk Road Travellers";"info@silkroadtravellers.com";"+998935190237";"Casr Travellers OK | 115 A, Buyuk Ipak Yoʻli Street, Taskent, Uzbekistán";"";"277330.34";"0";"12";"0.0";"CLP";"2026-02-16"
"Uzbekistán";"Taskent";"Excursión privada de 3 días a Samarcanda y Bujará";"https://www.civitatis.com/es/taskent/3-dias-samarcanda-bujara/";"Silk Road Travellers";"info@silkroadtravellers.com";"+998935190237";"Casr Travellers OK | 115 A, Buyuk Ipak Yoʻli Street, Taskent, Uzbekistán";"";"878538.85";"0";"29";"0.0";"CLP";"2026-02-16"
"Uzbekistán";"Taskent";"Circuito privado de 7 días por Uzbekistán";"https://www.civitatis.com/es/taskent/circuito-uzbekistan/";"Catia Silk Road Destinations";"spain2@silkroaddestinations.com";"+998505745545";"CATIA-BUSINESS TRAVEL AND MICE"" LLC | САМАРКАНДСКАЯ ОБЛАСТЬ, SAMARKANDCITY, ФАРХАД, YOSHLAR MFY, NABIEV   KO'CHASI, 4-UY  , Samarcanda, Uzbekistán";"";"2389557.45";"3";"28";"10.0";"CLP";"2026-02-16"
