"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Letonia";"Riga";"Excursión a la Colina de las Cruces, Palacio Rundale y Castillo de Bauska";"https://www.civitatis.com/es/riga/colina-cruces-palacio-rundale-castillo-bauska/";"Erlens Gadzans";"latviaguidelv@gmail.com";"+37122840901";"DEI SAPIENTIA SIA | Vienības gatve 42 - 10, Rīga, LV-1004, Riga, Letonia";"";"117696.23";"16";"216";"9.7";"CLP";"2026-02-16"
"Letonia";"Riga";"Free tour por Riga";"https://www.civitatis.com/es/riga/free-tour-riga/";"Guna Krumina";"info@rigatrips.lv";"+37129498701";"Guna Krumina | Gertrudes street 105 k.1 - 5, Riga, Letonia";"";"0.0";"1733";"31009";"8.9";"CLP";"2026-02-16"
"Letonia";"Riga";"Visita guiada por Riga";"https://www.civitatis.com/es/riga/visita-guiada-riga/";"Guna Krumina";"info@rigatrips.lv";"+37129498701";"Guna Krumina | Gertrudes street 105 k.1 - 5, Riga, Letonia";"";"16196.72";"386";"4569";"8.8";"CLP";"2026-02-16"
"Letonia";"Riga";"Excursión al Parque Nacional de Kemeri y Jürmala";"https://www.civitatis.com/es/riga/excursion-kemeri-jurmala/";"Guna Krumina";"info@rigatrips.lv";"+37129498701";"Guna Krumina | Gertrudes street 105 k.1 - 5, Riga, Letonia";"";"117696.23";"27";"326";"8.7";"CLP";"2026-02-16"
"Letonia";"Riga";"Excursión a Sigulda";"https://www.civitatis.com/es/riga/excursion-sigulda/";"Guna Krumina";"info@rigatrips.lv";"+37129498701";"Guna Krumina | Gertrudes street 105 k.1 - 5, Riga, Letonia";"";"139291.87";"13";"183";"8.8";"CLP";"2026-02-16"
"Letonia";"Riga";"Tour del Art Nouveau";"https://www.civitatis.com/es/riga/tour-art-nouveau/";"Guna Krumina";"info@rigatrips.lv";"+37129498701";"Guna Krumina | Gertrudes street 105 k.1 - 5, Riga, Letonia";"";"16196.72";"17";"422";"8.8";"CLP";"2026-02-16"
"Letonia";"Riga";"Free tour por la Riga comunista";"https://www.civitatis.com/es/riga/free-tour-riga-comunista/";"Guna Krumina";"info@rigatrips.lv";"+37129498701";"Guna Krumina | Gertrudes street 105 k.1 - 5, Riga, Letonia";"";"0.0";"30";"1904";"7.4";"CLP";"2026-02-16"
"Letonia";"Riga";"Free tour del Art Nouveau por Riga";"https://www.civitatis.com/es/riga/free-tour-art-nouveau/";"Guna Krumina";"info@rigatrips.lv";"+37129498701";"Guna Krumina | Gertrudes street 105 k.1 - 5, Riga, Letonia";"";"0.0";"60";"1603";"8.5";"CLP";"2026-02-16"
"Letonia";"Riga";"Tour soviético por Riga";"https://www.civitatis.com/es/riga/tour-sovietico-riga/";"Smile Line Agency";"bookingssmileline@gmail.com";"+371 29542626";"Smile Line | Biskreslinu iela, 13, Riga, Letonia";"";"32393.45";"6";"44";"7.3";"CLP";"2026-02-16"
"Letonia";"Riga";"Tour privado por Riga";"https://www.civitatis.com/es/riga/tour-privado-riga/";"Riga With Us";"rigawithus@gmail.com";"+371 27 055 440";"VAS OK LIMITED | puškina 19-48, Riga, Letonia";"";"237552.02";"16";"739";"9.4";"CLP";"2026-02-16"
"Letonia";"Riga";"Excursión al Palacio de Rundāle";"https://www.civitatis.com/es/riga/excursion-palacio-rundale/";"Guna Krumina";"info@rigatrips.lv";"+37129498701";"Guna Krumina | Gertrudes street 105 k.1 - 5, Riga, Letonia";"";"150089.69";"4";"173";"9.0";"CLP";"2026-02-16"
"Letonia";"Riga";"Autobús turístico de Riga";"https://www.civitatis.com/es/riga/autobus-turistico-riga/";"Sia Faritour";"faritour@gmail.com";"+37127762776";"Sia Faritour | Rīga, Aleksandra Bieziņa 4-115, Riga, Letonia";"";"32393.45";"8";"149";"5.5";"CLP";"2026-02-16"
