"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Bulgaria";"Sofía";"Tour por el monasterio de Rila e iglesia de Boyana";"https://www.civitatis.com/es/sofia/tour-rila-boyana/";"City Tour";"office@sofiatrip.com";"+359894404141";"City Tour Ltd | 6 Stara planina,Str, Sofía, Bulgaria";"";"20515.85";"3236";"25865";"9.0";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Free tour por Sofía";"https://www.civitatis.com/es/sofia/free-tour-sofia/";"365 Association";"info@freesofiatour.com";"+359 988 920 461";"365 LTD | G. S. Rakovski street 145, B, ap 20, Sofía, Bulgaria";"";"0.0";"6077";"94313";"9.5";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Excursión a Plovdiv";"https://www.civitatis.com/es/sofia/excursion-plovdiv/";"City Tour";"office@sofiatrip.com";"+359894404141";"City Tour Ltd | 6 Stara planina,Str, Sofía, Bulgaria";"";"21595.63";"649";"7360";"8.0";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Excursión a Plovdiv";"https://www.civitatis.com/es/sofia/excursion-plovdiv/";"Traventuria";"info@traventuria.com";"359 2 4890885";"Traventuria OOD | 54 Gorski Patnik str, Sofía, Bulgaria";"";"21595.63";"649";"7360";"8.0";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Excursión al Monasterio de Rila y la cueva de Ivan Rilski";"https://www.civitatis.com/es/sofia/monasterio-rila-cueva-ivan-rilski/";"Traventuria";"info@traventuria.com";"359 2 4890885";"Traventuria OOD | 54 Gorski Patnik str, Sofía, Bulgaria";"";"20515.85";"546";"5219";"8.9";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Traslados en Sofía";"https://www.civitatis.com/es/sofia/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"29154.11";"296";"4335";"8.6";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Excursión a Veliko Tarnovo y Arbanasi";"https://www.civitatis.com/es/sofia/excursion-veliko-tarnovo-arbanasi/";"P Group Plovdiv Ltd (Zelanos)";"info@zelanos.com";"+359 888 905 811";"Zelanos Tours | 53 Raiko Daskalov str., Plovdiv , Bulgaria";"";"91781.46";"99";"734";"9.1";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Excursión a Skopje";"https://www.civitatis.com/es/sofia/excursion-skopje/";"Bultrips Ltd";"ask@trips-bg.com";"+359 888 898 318";"Bultrips Ltd | Liulin 5, Bl 516, Vh. V, Et. 4, Ap. 58, Sofía, Bulgaria";"";"106898.41";"213";"1344";"9.1";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Excursión a Lovech y las Cascadas de Krushunski";"https://www.civitatis.com/es/sofia/excursion-lovech-cataratas-krushunski/";"P Group Plovdiv Ltd (Zelanos)";"info@zelanos.com";"+359 888 905 811";"Zelanos Tours | 53 Raiko Daskalov str., Plovdiv , Bulgaria";"";"102579.28";"106";"721";"8.9";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Excursión a Plovdiv, Starosel y Staro Zhelezare";"https://www.civitatis.com/es/sofia/excursion-plovdiv-koprivshtitsa/";"Traventuria";"info@traventuria.com";"359 2 4890885";"Traventuria OOD | 54 Gorski Patnik str, Sofía, Bulgaria";"";"25914.76";"315";"2586";"8.4";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Tour por la Sofía comunista";"https://www.civitatis.com/es/sofia/tour-sofia-comunista/";"365 Association";"info@freesofiatour.com";"+359 988 920 461";"365 LTD | G. S. Rakovski street 145, B, ap 20, Sofía, Bulgaria";"";"19436.07";"186";"1612";"9.4";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Excursión a Nis";"https://www.civitatis.com/es/sofia/excursion-nis/";"Bultrips Ltd";"ask@trips-bg.com";"+359 888 898 318";"Bultrips Ltd | Liulin 5, Bl 516, Vh. V, Et. 4, Ap. 58, Sofía, Bulgaria";"";"112297.32";"56";"422";"9.2";"CLP";"2026-02-16"
"Bulgaria";"Sofía";"Excursión a las rocas de Belogradchik y su fortaleza";"https://www.civitatis.com/es/sofia/excursion-rocas-belogradchick/";"P Group Plovdiv Ltd (Zelanos)";"info@zelanos.com";"+359 888 905 811";"Zelanos Tours | 53 Raiko Daskalov str., Plovdiv , Bulgaria";"";"102579.28";"56";"408";"9.6";"CLP";"2026-02-16"
