"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Maldivas";"Malé";"Traslado desde el aeropuerto de Malé en lancha rápida";"https://www.civitatis.com/es/male/traslado-aeropuerto-maafushi-lancha-rapida/";"Tuktukdude";"info@tuktukdude.com";"+94770424646";"Tuktukdude Leisure Pvt Ltd | 45/4 Hiththatiya central, Matara, Sri Lanka";"";"36401.02";"24";"754";"7.7";"CLP";"2026-02-16"
"Maldivas";"Malé";"Visita guiada por Malé";"https://www.civitatis.com/es/male/visita-guiada-male/";"Corallium Tours";"sarfaraz@coralliumtours.com";"+9607778798";"Corallium Maldives Pvt. Ltd. | G.Sallige, 4th FLoor, Raiyvilla Goalhi, Male'., Male', Maldivas";"";"39586.12";"7";"80";"6.9";"CLP";"2026-02-16"
"Maldivas";"Malé";"Snorkel en Villimalé";"https://www.civitatis.com/es/male/snorkel-villimale/";"Corallium Tours";"sarfaraz@coralliumtours.com";"+9607778798";"Corallium Maldives Pvt. Ltd. | G.Sallige, 4th FLoor, Raiyvilla Goalhi, Male'., Male', Maldivas";"";"71782.83";"1";"19";"10.0";"CLP";"2026-02-16"
"Maldivas";"Malé";"Snorkel en Maldivas";"https://www.civitatis.com/es/male/snorkel-maldivas/";"Secret Paradise Maldivas.";"sales@secretparadise.mv";"009603355590";"SECRET PARADISE PVT LTD. | 2-2-10 NIROLHUMAGU, HULHUMALE, Male., Maldivas";"";"91002.57";"0";"9";"0.0";"CLP";"2026-02-16"
"Maldivas";"Malé";"Paseo en barco al atardecer + Snorkel";"https://www.civitatis.com/es/male/paseo-barco-atardecer-snorkel/";"Secret Paradise Maldivas.";"sales@secretparadise.mv";"009603355590";"SECRET PARADISE PVT LTD. | 2-2-10 NIROLHUMAGU, HULHUMALE, Male., Maldivas";"";"145604.11";"0";"10";"0.0";"CLP";"2026-02-16"
"Maldivas";"Malé";"Excursión a Villimalé";"https://www.civitatis.com/es/male/excursion-villimale/";"Secret Paradise Maldivas.";"sales@secretparadise.mv";"009603355590";"SECRET PARADISE PVT LTD. | 2-2-10 NIROLHUMAGU, HULHUMALE, Male., Maldivas";"";"77352.18";"1";"9";"10.0";"CLP";"2026-02-16"
"Maldivas";"Malé";"Visita guiada por Malé + Excursión a Villimalé";"https://www.civitatis.com/es/male/tour-male-villimale/";"Secret Paradise Maldivas.";"sales@secretparadise.mv";"009603355590";"SECRET PARADISE PVT LTD. | 2-2-10 NIROLHUMAGU, HULHUMALE, Male., Maldivas";"";"104652.96";"4";"138";"10.0";"CLP";"2026-02-16"
"Maldivas";"Malé";"Excursión a las islas de Gulhi y Maafushi";"https://www.civitatis.com/es/male/excursion-gulhi-maafushi/";"Secret Paradise Maldivas.";"sales@secretparadise.mv";"009603355590";"SECRET PARADISE PVT LTD. | 2-2-10 NIROLHUMAGU, HULHUMALE, Male., Maldivas";"";"236606.69";"1";"22";"10.0";"CLP";"2026-02-16"
"Maldivas";"Malé";"Excursión a las islas de Himmafushi y Huraa";"https://www.civitatis.com/es/male/excursion-himmafushi-huraa/";"Secret Paradise Maldivas.";"sales@secretparadise.mv";"009603355590";"SECRET PARADISE PVT LTD. | 2-2-10 NIROLHUMAGU, HULHUMALE, Male., Maldivas";"";"186555.27";"2";"19";"9.0";"CLP";"2026-02-16"
"Maldivas";"Huraa";"Snorkel en Huraa";"https://www.civitatis.com/es/huraa/snorkel-huraa/";"Corallium Tours";"sarfaraz@coralliumtours.com";"+9607778798";"Corallium Maldives Pvt. Ltd. | G.Sallige, 4th FLoor, Raiyvilla Goalhi, Male'., Male', Maldivas";"";"59115.27";"1";"3";"10.0";"CLP";"2026-02-16"
"Maldivas";"Huraa";"Avistamiento de delfines en Huraa";"https://www.civitatis.com/es/huraa/avistamiento-delfines-huraa/";"Corallium Tours";"sarfaraz@coralliumtours.com";"+9607778798";"Corallium Maldives Pvt. Ltd. | G.Sallige, 4th FLoor, Raiyvilla Goalhi, Male'., Male', Maldivas";"";"72838.46";"1";"3";"10.0";"CLP";"2026-02-16"
"Maldivas";"Huraa";"Pesca nocturna en Huraa";"https://www.civitatis.com/es/huraa/pesca-nocturna-huraa/";"Corallium Tours";"sarfaraz@coralliumtours.com";"+9607778798";"Corallium Maldives Pvt. Ltd. | G.Sallige, 4th FLoor, Raiyvilla Goalhi, Male'., Male', Maldivas";"";"84450.38";"0";"1";"0.0";"CLP";"2026-02-16"
"Maldivas";"Dhiffushi";"Snorkel en Dhiffushi";"https://www.civitatis.com/es/dhiffushi/snorkel-dhiffushi/";"Corallium Tours";"sarfaraz@coralliumtours.com";"+9607778798";"Corallium Maldives Pvt. Ltd. | G.Sallige, 4th FLoor, Raiyvilla Goalhi, Male'., Male', Maldivas";"";"59115.27";"1";"14";"10.0";"CLP";"2026-02-16"
"Maldivas";"Dhiffushi";"Avistamiento de delfines en Dhiffushi";"https://www.civitatis.com/es/dhiffushi/avistamiento-delfines-dhiffushi/";"Corallium Tours";"sarfaraz@coralliumtours.com";"+9607778798";"Corallium Maldives Pvt. Ltd. | G.Sallige, 4th FLoor, Raiyvilla Goalhi, Male'., Male', Maldivas";"";"72838.46";"2";"7";"10.0";"CLP";"2026-02-16"
"Maldivas";"Dhiffushi";"Pesca nocturna en Dhiffushi";"https://www.civitatis.com/es/dhiffushi/pesca-nocturna-dhiffushi/";"Corallium Tours";"sarfaraz@coralliumtours.com";"+9607778798";"Corallium Maldives Pvt. Ltd. | G.Sallige, 4th FLoor, Raiyvilla Goalhi, Male'., Male', Maldivas";"";"84450.38";"0";"3";"0.0";"CLP";"2026-02-16"
